run	trial	onset	stimtype	itemnum	cresp	resp	acc	rt
2	1	12	2	2	1	1	1	0.813
2	2	15	2	52	1	1	1	0.633
2	3	18	2	54	1	1	1	0.401
2	4	21	2	19	1	1	1	0.416
2	5	24	2	19	2	2	1	0.469
2	6	27	2	37	1	1	1	0.422
2	7	30	2	5	1	1	1	0.521
2	8	33	2	27	1	1	1	0.564
2	9	36	NaN	NaN	NaN	NaN	NaN	NaN
2	10	39	NaN	NaN	NaN	NaN	NaN	NaN
2	11	42	NaN	NaN	NaN	NaN	NaN	NaN
2	12	45	NaN	NaN	NaN	NaN	NaN	NaN
2	13	48	1	6	1	1	1	0.508
2	14	51	1	42	1	1	1	0.425
2	15	54	1	19	1	1	1	0.485
2	16	57	1	17	1	1	1	0.477
2	17	60	1	7	1	1	1	0.491
2	18	63	1	7	2	2	1	0.466
2	19	66	1	62	1	1	1	0.358
2	20	69	1	44	1	1	1	0.509
2	21	72	NaN	NaN	NaN	NaN	NaN	NaN
2	22	75	NaN	NaN	NaN	NaN	NaN	NaN
2	23	78	NaN	NaN	NaN	NaN	NaN	NaN
2	24	81	NaN	NaN	NaN	NaN	NaN	NaN
2	25	84	3	16	1	1	1	0.646
2	26	87	3	45	1	1	1	0.368
2	27	90	3	12	1	1	1	0.391
2	28	93	3	23	1	1	1	0.540
2	29	96	3	23	2	2	1	0.407
2	30	99	3	11	1	1	1	0.401
2	31	102	3	52	1	1	1	0.465
2	32	105	3	55	1	1	1	0.425
2	33	108	NaN	NaN	NaN	NaN	NaN	NaN
2	34	111	NaN	NaN	NaN	NaN	NaN	NaN
2	35	114	NaN	NaN	NaN	NaN	NaN	NaN
2	36	117	NaN	NaN	NaN	NaN	NaN	NaN
2	37	120	3	54	1	1	1	0.525
2	38	123	3	39	1	1	1	0.590
2	39	126	3	24	1	1	1	0.864
2	40	129	3	58	1	1	1	0.700
2	41	132	3	58	2	2	1	0.577
2	42	135	3	7	1	1	1	0.449
2	43	138	3	63	1	1	1	0.602
2	44	141	3	30	1	1	1	0.513
2	45	144	NaN	NaN	NaN	NaN	NaN	NaN
2	46	147	NaN	NaN	NaN	NaN	NaN	NaN
2	47	150	NaN	NaN	NaN	NaN	NaN	NaN
2	48	153	NaN	NaN	NaN	NaN	NaN	NaN
2	49	156	1	52	1	1	1	0.633
2	50	159	1	20	1	1	1	0.845
2	51	162	1	63	1	1	1	0.960
2	52	165	1	63	2	2	1	0.612
2	53	168	1	38	1	1	1	0.540
2	54	171	1	49	1	1	1	0.562
2	55	174	1	34	1	NaN	0	NaN
2	56	177	1	60	1	1	1	0.670
2	57	180	NaN	NaN	NaN	NaN	NaN	NaN
2	58	183	NaN	NaN	NaN	NaN	NaN	NaN
2	59	186	NaN	NaN	NaN	NaN	NaN	NaN
2	60	189	NaN	NaN	NaN	NaN	NaN	NaN
2	61	192	2	38	1	1	1	0.563
2	62	195	2	53	1	1	1	0.557
2	63	198	2	53	2	2	1	0.607
2	64	201	2	25	1	1	1	0.428
2	65	204	2	57	1	1	1	0.863
2	66	207	2	61	1	1	1	0.537
2	67	210	2	32	1	1	1	0.803
2	68	213	2	42	1	1	1	0.555
2	69	216	NaN	NaN	NaN	NaN	NaN	NaN
2	70	219	NaN	NaN	NaN	NaN	NaN	NaN
2	71	222	NaN	NaN	NaN	NaN	NaN	NaN
2	72	225	NaN	NaN	NaN	NaN	NaN	NaN
2	73	228	1	12	1	1	1	0.572
2	74	231	1	57	1	1	1	0.989
2	75	234	1	18	1	1	1	0.516
2	76	237	1	29	1	1	1	0.727
2	77	240	1	45	1	1	1	0.404
2	78	243	1	22	1	1	1	0.453
2	79	246	1	13	1	1	1	0.913
2	80	249	1	13	2	2	1	0.388
2	81	252	NaN	NaN	NaN	NaN	NaN	NaN
2	82	255	NaN	NaN	NaN	NaN	NaN	NaN
2	83	258	NaN	NaN	NaN	NaN	NaN	NaN
2	84	261	NaN	NaN	NaN	NaN	NaN	NaN
2	85	264	3	61	1	1	1	0.729
2	86	267	3	53	1	1	1	0.416
2	87	270	3	53	2	2	1	0.776
2	88	273	3	9	1	1	1	0.514
2	89	276	3	5	1	1	1	0.524
2	90	279	3	26	1	1	1	0.667
2	91	282	3	44	1	1	1	1.357
2	92	285	3	14	1	1	1	0.532
2	93	288	NaN	NaN	NaN	NaN	NaN	NaN
2	94	291	NaN	NaN	NaN	NaN	NaN	NaN
2	95	294	NaN	NaN	NaN	NaN	NaN	NaN
2	96	297	NaN	NaN	NaN	NaN	NaN	NaN
2	97	300	2	7	1	NaN	0	NaN
2	98	303	2	46	1	2	0	0.561
2	99	306	2	16	1	1	1	0.561
2	100	309	2	22	1	1	1	0.496
2	101	312	2	58	1	1	1	0.495
2	102	315	2	35	1	1	1	0.473
2	103	318	2	35	2	2	1	0.555
2	104	321	2	49	1	1	1	0.425
2	105	324	NaN	NaN	NaN	NaN	NaN	NaN
2	106	327	NaN	NaN	NaN	NaN	NaN	NaN
2	107	330	NaN	NaN	NaN	NaN	NaN	NaN
2	108	333	NaN	NaN	NaN	NaN	NaN	NaN
