global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
574.7471913907284	n/a	n/a	330334.33401153056	842.3635184347645	n/a	n/a	709576.2971897959	535.6073088896021	n/a	n/a	286875.18933596165	567.9380520977597	534.6828887629048	n/a	n/a	n/a	n/a	-0.0437115574	-0.0247336753	0.0734173485	-0.0433806982	0.0988575309	-0.0752805607	0.0012120852	-0.1794957411	0.0263594258	-0.0169677995	0.3351823624	-0.0862120012	0.1331014522	-0.2997429754	0.1017548096	-0.1904042647	0.1459513855	-0.1298550726	0.0937018669	-0.0929057116	0.1717007933	-0.0053447486	0.0958017845	-0.11503839	0.008913919	-0.039908948	0.0428274342	-0.0045301579	0.1396915857	-0.017766821	0.0152416925	-0.0890089606	-0.0296011365	0.0765574529	-0.1257124479	-0.0064712563	-0.016146711	0.025477923	0.1063815534	-0.0834556203	-0.1161926897	0.1067849646	0.0257224481	-0.0808620951	-0.0007695008	-0.0617377778	0.0212459073	0.0410636518	0.0874602173	-0.0573457392	-0.0228802016	0.0338448814	-0.0402627868	0.0429923348	-0.0664271671	0.018243572	-0.0747271534	0.0214690357	-0.0505304723	0.0197042463	-0.0021014597	0.0224341024	-0.0097711666	0.0229346059	-0.0884328515	0.1402508023	-0.018070173	0.0043969912	-0.0386643759	0.0017266431	0.0086421219	-0.1242883911	0.0579311587	-0.0578105424	-0.0584738127	0.0574770473	0.0741942546	-0.0389114259	-0.0226713637	-0.0335677531	-0.0151756764	0.0940195063	0.0302829468	-0.0765151493	-0.0082161411	0.0217955772	0.0239611432	0.0379237819	-0.0546633943	-0.030753766	-0.0038027828	-0.0495948125	0.0091943781	0.0316052092	0.0965745182	-0.0396675034	-0.0110782706	-0.0758824068	0.1040801184	0.0875350191	-0.1738605099	-0.0767751159	-0.0008426941	-0.0697622266	0.0438430612	0.0437032533	0.0274340584	-0.0219427939	-0.0201498498	-0.0401652932	-0.0826480225	0.0554800781	0.1971339708	0.0238601651	-0.0337953376	0.0332194564	-0.0138369079	0.0929463527	-0.0773256024	0.0465704524	-0.1352170169	0.1028846972	-0.0323614865	0.142491376	-0.0246666221	0.1087108142	-0.0269577283	0.0282499049	-0.134010909	0.1381335429	-0.0705916196	0.0321959406	-0.0388469258	0.0245949598	-0.0845801218	0.0593222633	0.0082627509	-0.0559684779	-0.0984002646	0.0592826011	-0.0068591739	-0.0063355294	-0.0564725213	0.0572720876	-0.0069693985	-0.008771398	-0.0459106229	-0.0136965141	-0.0475712014	0.0864532802	0.0124064438	-0.0927063363	0.1511485686	0.0185612868	0.038236285	0.0778958021	-0.0685488319	-0.0105181937	-0.0467260031	-0.009324788	-0.0103377154	0.0564646249	0.1068411239	-0.0171023464	-0.0647794455	-0.182166302	0.0946687434	0.1070974414	0.0060771356	0.0595456349	-0.0800592972	-0.2293784814	0.0664125712	0.0344113443	0.0766064693	-0.0390369176	0.0571923788	-0.0131893047	0.0461074648	-0.0946572636	0.1701927461	-0.0925337079	-0.0264672177	0.0904640318	-0.0627921226	0.0152914549	-0.1606737904	0.0169010566	-0.0382487232	0.0081652649	-0.0674714128	0.0528884709	-0.0582723028	0.0028476201	0.205226571	-0.061632519	0.0327348662	-0.0125408229	0.0121968048	0.1186709048	0.1186491225	0.1186128217	0.00350643	n/a	n/a	1.22950513449e-05	0.0189509	n/a	n/a	0.00035913661081	5.7593e-05	n/a	3.316953649e-09	n/a	0.000652458	n/a	4.2570144176400005e-07	n/a	-0.000671129	n/a	n/a	4.50414134641e-07	0.000327531	n/a	n/a	1.0727655596100001e-07
573.3561029307126	-1.3910884600157942	1.935127103589114	328737.2207678939	833.1214837361829	-9.24203469858162	85.41520536978665	694091.4066627788	535.884038735548	0.2767298459458516	0.0765794076372147	287171.7029715223	567.5474923784441	534.6149688851543	1.028277	41.432579	0.0179296504999999	0.00934851	-0.0184341372	0.0113691135	0.0718816719	0.0006737821	0.156132832	-0.045438256	-0.0114945518	-0.0351023429	0.104338722	-0.0377595568	0.0988822651	-0.065727471	0.1339613266	-0.0878683822	0.0332416099	-0.0875813015	-0.0611838098	-0.1984898967	0.1328354478	-0.0808950109	-0.053625165	0.0384667511	0.061497243	0.037500172	-0.0548498717	0.0220731958	-0.0841547362	-0.095254217	0.1213400482	0.0496096078	-0.0006488106	-0.0058364092	-0.0561631996	0.1202622526	-0.2354853685	-0.0323779599	-0.0043368124	-0.0913060005	-0.2047443434	0.067531615	-0.0211144735	-0.1036443859	0.0036283152	0.0151558495	-0.1203799042	-0.0276378489	-0.0756003964	-0.0558729105	-0.1236908239	-0.0479179362	-0.0032257607	0.0638015742	-0.0288848999	0.0391125544	-0.1989097618	-0.0212431609	-0.1340988796	-0.0210767631	-0.183473616	0.0439583695	-0.083686359	0.0797900476	0.0325298232	0.0768687169	-0.0197581583	0.1489223266	0.0279019987	-0.0367804302	-0.0768364834	0.0108799403	0.0487709006	-0.1406012192	-0.0304357325	0.0319107045	-0.0544653465	0.1557980966	-0.0344673507	-0.0731012892	-0.0374560138	0.0799920523	0.0323383169	0.0192877859	0.0777579715	-0.0402581157	0.0349152354	0.0502510083	0.1265210602	0.075041445	-0.0062170229	0.0054316943	0.0113910149	-0.0216657453	-0.0399379008	0.0700749502	0.0265185004	-0.0101380997	0.0274288371	0.0552902774	-0.0534168166	0.0282363445	-0.0947698007	0.108043541	0.1553688079	-0.0144753188	0.0533708631	0.0704936376	0.0305793056	-0.04688682	0.0600106036	0.0504421234	0.0637163287	0.1032113007	0.0928711583	0.0321782176	-0.0702576705	-0.0025390311	-0.0353258083	0.1390868827	-0.003522811	0.1603296981	-0.0457770497	0.1253739658	0.0332771323	0.2017603573	-0.0414985549	0.0644279097	-0.1284981141	-0.0899714875	-0.0595693607	0.1852459505	-0.0463233233	0.0388767574	-0.0170800761	-0.0426469227	-0.0342925946	0.0550359162	-0.072010688	0.0475708884	-0.1017932733	0.1330016964	-0.0079133796	-0.008331568	-0.0950383939	0.0924797692	-0.1085397689	0.1118183338	-0.0757408554	-0.0161463247	-0.0267260748	-0.0230747325	0.0092367457	-0.0030287414	0.0789316213	-0.0003828272	0.0114365917	0.0962392427	-0.0389145731	0.0412043765	0.0107502769	-0.0593709352	-0.0559334824	-0.1214413942	-0.0041342385	0.0872521276	-0.0758359835	0.0119201498	0.0597991747	-0.1156305623	0.0322887438	-0.015767541	0.1109807167	-0.1264245114	0.1435205859	0.0458875984	0.0274482274	-0.0540382505	0.0110775905	0.0237966099	-0.0018570197	-0.1203097655	0.0232033272	-0.0238720024	-0.1671980608	0.1097278491	-0.1181299835	-0.0442062824	-0.1783693492	0.0744061204	-0.026261928	0.048766494	-0.0350773466	0.0217865781	-0.1704062409	0.050762886	0.1335610813	-0.0690177333	-0.1697897463	0.0099960591	-0.0624634679	0.1186128217	0.1184168613	0.1180905004	1.08527e-05	-0.0034955773	1.2219060660275291e-05	1.1778109729e-10	0.0227939	0.0038429999999999	1.4768648999999992e-05	0.0005195618772099	3.21198e-05	-2.5473200000000005e-05	1.0316815520399996e-09	6.488839182400003e-10	0.000532303	-0.0001201549999999	2.83346483809e-07	1.4437224024999985e-08	-0.000671129	0.0	0.0	4.50414134641e-07	0.000236374	-9.1157e-05	8.309598649e-09	5.5872667876e-08
571.9076237888174	-1.4484791418951772	2.098091824505389	327078.3301477715	828.5830572813564	-4.538426454826436	20.597314685868447	686549.8828137196	535.4236565451322	-0.4603821904157712	0.2119517612520234	286678.49198815966	566.8532497368518	516.5535041970857	1.075292	43.326962	0.1006147275	0.0550093	-0.0426738896	-0.0374910395	0.0980228959	0.0652134383	0.0072888225	0.0115278181	-0.0366726757	-0.036168931	0.1438326731	0.0689742251	0.0384357165	0.0377363841	-0.0450147891	-0.0025959259	0.097008873	0.063315086	-0.0565253849	0.0116484334	0.1049947845	-0.0009979016	0.0049265944	-0.1129148734	0.0270578941	-0.095460851	-0.0262879131	-0.0632618916	0.022730628	0.0172555345	0.0546875986	0.0838338846	-0.0056662464	-0.0898579025	-0.0395261027	0.0026592117	0.1217351679	-0.0160756084	0.1077413867	0.0676943344	0.0539669535	0.0424739501	0.1433250333	-0.0932987961	0.0617252076	0.0466020657	-0.0236392767	-0.0161587613	-0.0649921046	0.0997345542	-0.0290391533	-0.0918288643	-0.0469165008	0.0018372312	-0.0206504342	0.0671135329	-0.1621002995	-0.0546526338	-0.1185792305	-0.0228089282	-0.0329221563	0.0300677305	0.0964107108	-0.2089048297	0.0895724461	-0.1330056664	-0.0218047483	-0.0965779431	0.1011504166	-0.0040730601	0.0942230132	-0.0514506095	-0.0366942246	-0.01631451	-0.033306843	0.0644839955	0.0414905404	-0.0525750548	0.0424404956	-0.0014629403	-0.069111846	-0.0163217865	0.0617314471	-0.1966790774	-0.0785782183	0.0823524912	-0.039522928	0.043809817	-0.0857236394	0.0218289042	-0.0185009702	0.0559568835	0.0312598506	0.08238773	0.189635263	-0.0144403615	0.1591790252	0.0060904339	0.03024351	-0.1357895539	0.0125959116	0.0017271107	-0.003272157	0.1876733152	0.0803702419	0.0631446678	-0.0048959717	-0.033176861	-0.0583188778	0.0461039555	0.1019033298	0.0840233061	0.1607488481	0.0754072928	-0.0163607182	0.0547366653	-0.0004995815	0.0261828385	-0.0193552247	0.1648472255	-0.0741711154	0.0245152312	-0.1373798034	0.0472071608	-0.0113444234	0.064041763	0.0170695246	-0.0420870339	0.1175180978	-0.0825984976	-0.0044968185	-0.0739059452	0.0658552855	-0.1335961272	0.0486973671	-0.0507761402	-0.0727636338	-0.0825352251	0.0243201009	-0.0101476414	0.0540322072	0.0454534868	-0.0214265143	0.0889594374	0.0191476524	-0.1601743877	0.0285716608	0.0309691078	-0.0863596604	-0.0174898627	0.1189889111	-0.0931822736	-0.008611152	-0.0164224815	-0.1795353116	0.0848179114	-0.0368577109	-0.1146896877	-0.0493203972	0.0179957569	0.0510226147	-0.0446732652	-0.0343820415	0.0991187358	-0.116645557	-0.0640944356	0.202346518	-0.0111590301	-0.0492862261	-0.1213654103	0.1435718053	-0.1499768576	0.1422873068	-0.0226368568	-0.0235691256	0.0851542008	-0.002199193	-0.0470739542	0.0838303306	-0.0610764797	-0.0921469443	-0.1091502077	0.1822652459	-0.014051128	-0.1392997775	0.0051588361	0.0415421568	-0.0443054239	0.0046818658	-0.0188718123	0.0758873543	-0.0378551747	-0.0050156961	-0.081908901	-0.0318226094	-0.09402294	-0.1381831975	0.1334693892	-0.1065858171	0.0860651655	0.1691782852	0.118496684	0.1179527935	0.1170481578	0.0138379	0.0138270473	0.0001911872370364	0.00019148747641	-0.0227053	-0.0454992	0.00207017720064	0.00051553064809	0.0179373	0.0179051802	0.00032174673129	0.0003205954779944	0.000232474	-0.000299829	5.4044160676000004e-08	8.989742924100003e-08	-0.000671129	0.0	0.0	4.50414134641e-07	0.000404211	0.000167837	2.8169258569000012e-08	1.6338653252100004e-07
570.8440510612638	-1.0635727275536055	1.131186946795816	325862.9306320348	827.1979610374951	-1.3850962438613124	1.918491604758716	684256.4667445893	535.0233938719629	-0.4002626731693226	0.1602102075326519	286250.0319902735	566.2171668645663	519.0157097190893	1.054209	42.477474	0.0895936565999999	0.0466593	-0.0333414223	-0.055052989	0.0872640665	0.014542869	-0.0072274963	0.0381122872	-0.0127143432	0.0131533848	0.0861975455	0.024174409	0.0223866511	-0.0870105822	0.0160302382	-0.1096306805	0.0810041628	-0.0599048012	-0.0873908138	0.0181761111	-0.0026532283	-0.1043326745	0.0392538284	-0.0448816915	-0.0521287774	0.0753061244	-0.0147957383	0.0577669988	-0.0212054061	0.0296693081	-0.0522271129	-0.1910013118	0.0145278301	-0.0487378472	0.0565471759	-0.0078847363	0.1263605608	0.0420636321	0.0342089999	-0.0261491824	0.0202515537	-0.0956302207	-0.0900267486	0.0512858301	0.1088727758	0.0167295657	0.0184538464	-0.1414950774	0.0952951474	-0.1174742641	-0.025140135	-0.0382612104	-0.048223075	-0.0330798786	0.0499571728	0.0139776445	-0.1359050697	0.0214817234	-0.0876991624	-0.0430155333	0.0629334667	-0.0282832287	0.0857291787	-0.0786928001	-0.0508112446	0.022872926	0.0462129302	0.1216968293	-0.1285067952	-0.0507135409	0.0646266797	0.0260763081	-0.1613065539	0.0677281326	-0.0399985622	-0.0702217173	-0.0424247786	-0.1435780133	0.1403900451	0.1256132789	-0.0457006846	-0.1791969183	0.0026805895	-0.0960530583	-0.0957221708	0.0698891867	-0.1157022914	-0.0184140534	-0.0381174013	0.1198514788	0.0011905327	0.0104227262	0.0247443828	-0.0317096649	-0.0488098271	-0.0613428382	-0.1434344705	-0.0693427766	0.1337886029	-0.0017646493	0.0003703856	0.1028730598	-0.0721941989	-0.0135860301	0.005997823	-0.0489225136	-0.0783163791	-0.0226350685	-0.0914694686	-0.0327483111	0.0466577274	0.0268573497	0.1060815008	0.1471919026	0.03837734	0.0482737718	0.0069826747	-0.0430910019	-0.0103621788	0.1258270203	-0.0093581837	0.1492618874	-0.0726989131	0.0107421956	0.0852350764	-0.0246154227	0.0516356214	-0.0465923902	0.1297014111	-0.0386296581	-0.0692034443	0.0513199962	-0.0012493665	-0.1382484586	0.0731521337	0.053230856	-0.0897784921	0.059677955	0.0115526748	-0.000874096	-0.0738930895	-0.1302241027	-0.0466838672	-0.032661863	0.0311656409	-0.1193655545	0.0649548708	-0.0851475887	0.0366214428	0.0891524741	0.0584867867	0.003237271	0.0404876297	-0.0761367937	0.0565513457	0.0366701244	-0.0631216532	-0.0296317009	-0.0861730568	0.1656543069	0.212123178	0.0307537356	0.0776164423	0.1233702138	0.1517971591	-0.0870437307	-0.1142638241	-0.0637214107	-0.1532301921	-0.0041204902	-0.0026074785	-0.0138008219	0.0546031375	0.0489913963	-0.1112456242	-0.1406092128	-0.0003265879	-0.0188465474	0.089612451	-0.0661755106	-0.0854157356	-0.1610957503	-0.0385309225	-0.1117445992	-0.1255182317	0.0955245822	0.0319720838	-0.0100648	-0.0437545388	0.0541509946	0.0154126025	-0.0869738901	0.0409923109	-0.1388111726	-0.058586954	-0.0728112411	-0.1139695475	0.0813496588	-0.0559663815	0.1226721057	0.127771337	0.1183225485	0.1172578276	0.115490384	3.50084e-05	-0.0138028916	0.0001905198165213	1.22558807056e-09	0.0151593	0.0378646	0.0014337279331599	0.00022980437649	0.0244919	0.0065546	0.00059985316561	4.296278116000001e-05	-7.0362e-05	-0.000302836	4.950811044e-09	9.1709642896e-08	-0.000671129	0.0	0.0	4.50414134641e-07	7.961569999999998e-05	-0.0003245953	1.0536210878209005e-07	6.338659686489998e-09
571.9074987549997	1.0634476937358386	1.130920997312074	327078.18713219994	826.9951171147557	-0.2028439227394756	0.0411456569923383	683920.9237316485	535.4444734043307	0.4210795323677985	0.1773079725790838	286700.78409924096	566.4795336588023	505.9512097094705	1.105001	44.524036	0.0540793432	0.0376938	-0.0289751585	0.0118802447	0.1014704684	-0.0083046459	-0.0348496434	0.048991883	-0.0248391071	-0.1262475169	0.1011435661	-0.0092363679	-0.1336895564	-0.0856082706	0.0226620737	-0.0259869981	0.0766158319	-0.1020582939	-0.0222174078	0.0041009809	-0.0066650555	0.0344816211	-0.1995178171	-0.0606396526	-0.0325426227	-0.0274806297	0.1003211761	-0.0457388715	0.0211285913	0.0314069953	-0.1352228422	0.0857061051	-0.1063455538	-0.1186909694	-0.0990772141	0.0834420436	0.087286066	-0.1036761918	-0.0292645652	-0.0143292412	0.09402593	-0.1224575701	-0.0083494666	0.056056988	0.0752644978	0.0375718679	-0.0833434883	-0.0106225005	0.0009371128	-0.0736636853	0.0821914502	0.0803725123	-0.0358848107	0.0212627593	0.0575097084	0.048564682	-0.1959305148	-0.0582565673	-0.0176423745	-0.0599055028	0.1354070187	0.1211235311	0.0360075075	0.1002619278	0.0185834731	-0.0431056838	-0.005704283	-0.1256725565	0.0840408094	0.034337866	-0.0543471876	0.1335033506	-0.0545644226	-0.1063049196	0.0072627176	0.1019035287	-0.0781724899	-0.1233174183	-0.0023527959	0.039884167	0.1170466035	-0.0552646711	-0.0234544817	0.0685892709	0.0101995121	-0.0829669521	0.0019568096	0.097614703	-0.0134880535	0.0921345547	-0.0818330135	0.017664202	0.0513009483	0.0437771189	-0.1435068294	-0.0248542226	-0.0510578698	-0.036623061	-0.0238622519	0.0795528919	0.0441957173	-0.1006221218	-0.0673304451	-0.0594668075	0.1360413064	-0.043053035	0.1195104362	-0.0480917781	-0.1568953959	0.0241934184	-0.0093182426	0.0220690007	0.0493099072	0.0044500924	-0.2083948405	0.0341320124	-0.0050247196	-0.0075713085	0.0336895686	0.0989382164	-0.1079821861	0.0764906608	0.0662931519	0.2179316755	0.0048440158	-0.0458256759	0.0176794842	-0.1211519355	0.101562173	-0.0297760786	0.044461534	-0.1306562672	-0.0711929249	0.012117959	0.0838006485	-0.0716481364	-0.0050165082	-0.0540896224	-0.1019107325	-0.1562856367	-0.0192771169	0.1039604618	0.0068633042	0.0848940532	0.0493375899	-0.0080274758	0.0039916372	-0.0664593408	-0.0259987371	-0.0565263283	-0.0645484097	0.0488196325	0.0306056724	-0.0753204278	0.1120438499	-0.0580924549	-0.0469420535	0.0797895506	0.1756302515	-0.0080516113	0.1619618804	0.091790019	-0.0672167898	-0.1215685413	-0.0407774642	-0.0860851745	-0.0488737027	-0.0260714992	-0.0754156728	0.0936887812	-0.0478588984	-0.0187551633	0.0501796488	0.1289728235	-0.0628505536	0.0721055527	-0.025977883	-0.0113731629	0.0264152131	-0.0205328345	-0.0769411257	-0.1100177621	0.1100669174	0.0511685629	-0.0118850568	0.2009785774	0.0223761292	-0.037910875	0.0011067337	-0.1702870904	0.1281486233	-0.0631537967	0.0449804673	-0.0523028526	-0.1411433844	0.0633832736	-0.0227638769	-0.0706322568	-0.1426769936	0.0618014493	-0.0799962136	0.1180905004	0.1163333239	0.1134240387	3.71366e-05	2.1281999999999977e-06	4.529235239999991e-12	1.37912705956e-09	-0.0199223	-0.0350816	0.00123071865856	0.00039689803729	0.0212517	-0.0032402	0.0004516347528899	1.0498896040000014e-05	0.000208657	0.000279019	4.3537743649e-08	7.785160236100003e-08	-0.000671129	0.0	0.0	4.50414134641e-07	4.35264e-05	-3.608929999999999e-05	1.302437574489999e-09	1.89454749696e-09
573.1460726540482	1.2385738990485606	1.534065303404354	328496.42059875955	828.7109199041125	1.7158027893568717	2.9439792119648205	686761.7887683205	535.6113648454677	0.1668914411370679	0.0278527531248073	286879.5341516248	566.8274373345207	511.42051912516223	1.045776	42.137665	0.0447412107	0.0218306	-0.0275076762	0.0214663434	0.0948735683	-0.0392339539	0.0238430698	0.008306608	-0.0295657402	0.0236136329	-0.0318411369	0.0387121817	-0.0468742411	-0.05541905	-0.1082812368	-0.0149321412	-0.0005883364	0.1024710414	-0.0749310223	-0.0148048734	-0.0009993969	-0.0577584104	-0.0046759608	0.0895578999	-0.0163523409	0.0869571428	-0.1199217948	0.1110671726	0.0355707274	-0.1063380141	-0.0991156241	0.0574045185	-0.0272578695	-0.1017618361	0.0314368935	0.0367529931	0.0474127825	-0.0919350731	-0.0594168216	-0.0201243165	-0.0387380656	0.1855978571	0.0242104016	0.0695709922	0.0537250658	0.0585924816	0.0194610341	0.1449516869	0.0974810592	-0.0345081293	0.114255649	0.0109313311	-0.0123511845	0.0121943508	0.0729677641	0.1202811624	-0.1447666391	-0.0350079391	-0.0425188256	0.0507057878	0.0119983447	0.0013112203	-0.0678001817	0.0266428135	0.1697182151	0.0980929549	-0.1001640119	-0.1644768349	-0.0829641014	0.0213691979	-0.0621267448	0.0487450438	-0.0975747655	0.0961783718	0.0352119197	-0.0301658541	0.0245056644	0.0066012849	-0.0200320273	-0.0711784051	0.0428764034	-0.0613446754	0.0892471898	0.1940134617	0.1112843806	-0.1105950675	0.0384472279	0.0072630095	-0.0060003551	-0.0258101457	0.1424026285	0.0609773641	-0.1521222651	0.0143836572	-0.0211263431	-0.0387252583	-0.0826156576	0.0308781695	0.1477143781	-0.0809206111	0.1402767543	-0.0413412202	0.1072790765	-0.0862137732	-0.1145694864	0.1061810892	0.0626448337	-0.0784100565	0.0461801599	0.0518337097	0.0785923151	0.0260749732	-0.152260795	-0.0691332918	-0.025188841	0.0194318051	-0.0212370649	-0.0115970509	0.0646449245	0.1045194297	-0.0131963806	0.1281300573	-0.0309174916	0.055014387	-0.1249872008	-0.0886239829	-0.0140378615	-0.093179369	-0.1409853214	-0.0447694422	0.0899892611	-0.0606985705	-0.153107431	0.0666868339	0.0498090426	0.0779361675	0.126739053	-0.0754250166	-0.003608881	0.021083836	0.0731897629	-0.0728385734	-0.0080539456	0.0172094582	-0.0269728438	-0.0250601664	-0.0151678697	-0.1318739541	-0.1489355406	0.0800347405	0.0538413528	-0.0917576334	-0.014820769	-0.1190481869	-0.0693770291	-0.2260481342	0.0490059531	0.0108140384	-0.1259544416	-0.0669642722	-0.0498286302	0.002634641	0.1489201868	-0.1088349606	-0.1125805075	0.0172512086	-0.0307748113	0.0946715661	0.057144559	0.0674112355	-0.1193253253	-0.0012875008	-0.0053636435	0.0221733827	-7.17819e-05	0.073524146	0.0288026418	-0.0327813641	0.009516737	0.0014193243	-0.0225750246	-0.0925915063	0.0219997294	-0.0735760639	-0.1662247654	0.1157809556	-0.0271704014	0.000159131	0.0864168484	-0.1021692184	0.0394873742	0.0089563663	0.076155428	0.0030517618	-0.0864176773	0.0236492798	-0.0078774111	-0.0234233308	-0.0664301778	0.1052474746	0.0120940824	0.1178006533	0.1151810923	0.1108582214	1.32459e-05	-2.38907e-05	5.707655464899998e-10	1.7545386681e-10	-0.00356801	0.01635429	0.0002674628014041	1.27306953601e-05	0.0165599	-0.0046917999999999	0.0002742302880099	2.2012987239999994e-05	0.0	-0.000208657	0.0	4.3537743649e-08	-0.000509032	0.000162097	2.6275437409000012e-08	2.59113577024e-07	0.000146197	0.0001026706	1.0541252104360002e-08	2.1373562809000006e-08
