global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19
566.4317169918439	n/a	n/a	320844.89001432835	846.905278284537	n/a	n/a	717248.550386209	534.2391546285141	n/a	n/a	285411.47433818947	566.8665640589066	485.2115401027674	n/a	n/a	n/a	n/a	-0.0394757412	-0.1256666536	-0.0307739739	-0.1824084417	-0.1921224946	0.1193668106	-0.0763792916	0.027704012	-0.2951429805	-0.1064952754	0.3672126173	-0.2608171427	0.023939	-0.2414572282	0.081623268	-0.1234959108	0.0852829559	-0.1552647649	0.1063690101	-0.0198526486	0.000480859	-0.1528269142	0.1349538447	-0.0023444795	0.0426310749	-0.0395099877	0.0349996196	-0.0365255333	0.0505540675	-0.0402263346	0.0026244718	0.0774312695	-0.0632437677	-0.0226845873	0.128240881	-0.0041695062	-0.0029535219	-0.0965370127	0.0734370798	0.0275864885	-0.075516382	-0.0250662015	-0.0620827651	0.0252157134	0.0845755589	-0.0065660991	-0.0593111253	-0.0056082495	0.0012020147	-0.0273648617	0.0449199236	-0.1519455879	-0.0078215922	0.0654921367	-0.0358800467	0.0515666864	-0.094654345	0.0329575446	-0.0434125462	0.0483132808	-0.0772674353	0.0499557512	-0.0102740355	0.0079552687	-0.0220103735	0.0671628973	-0.1218103574	0.0952709731	-0.0372205304	0.0752240061	0.003683624	0.1377921524	-0.0318587827	0.0252160227	0.0408984672	0.0464210711	-0.0849564668	0.0167122311	0.0113386463	0.0938545081	-0.0177678509	-0.0229840776	0.0216846529	0.0158388522	0.0091819994	-0.0151727458	-0.0184782551	-0.0062915626	-0.0297589118	0.1489452934	0.0497122987	0.0550970574	-0.0130700388	-0.100711817	-0.0464368396	0.0844825004	0.0712351837	-0.0371726315	-0.0160032167	-0.035902251	-0.015318469	0.0866260878	0.0141167276	0.0652019096	-0.0939002567	-0.0170207355	-0.0009024867	-0.103858899	0.0102050981	0.0239312272	0.0330813046	-0.144383082	0.0060514094	-0.0692584909	0.1348384598	0.0249683898	-0.0220500097	0.0738764467	-0.231518806	0.1606444203	0.0694632188	-0.093982887	0.0787807544	-0.0182741086	0.1315744844	-0.128838577	0.1338032175	-0.0146519685	0.0204271562	-0.0648714481	0.1245873669	-0.014033483	0.0289671671	-0.0203472688	-0.0324630773	0.0309016369	0.0342761597	-0.0893249175	-0.0689939729	0.1212275337	-0.0562964679	-0.0310429028	-0.053625829	0.1372111184	-0.0057174592	-0.0097147638	-0.0248531526	-0.064522185	-0.0507564313	0.1198964441	-0.0845992138	-0.1210719526	0.0236745912	0.0473673216	0.0389558966	0.0246145186	-0.0534569744	-0.0854638119	-0.0705958173	0.0337998686	0.0216847681	0.0369890417	0.0730017613	-0.0032219112	-0.0694443617	-0.0421671955	-0.0276529269	-0.0150299311	0.0147689114	0.106591678	-0.0279347448	-0.0130657599	-0.0087413207	-0.1806303724	0.0956365815	-0.0123172728	0.0841040807	-0.1085752788	0.0735898995	-0.0260995767	-0.1061618951	0.0832425271	-0.021354804	0.0234574976	-0.0781958775	0.1064661636	-0.0055621395	0.0033806886	-0.0199505752	0.0006672801	0.0718309573	-0.1436314695	0.1556609468	-0.0097194632	0.1444906096	-0.0125543475	0.0185420701	0.1186709048	0.1186491225	0.1186128217	-0.0149757	n/a	n/a	0.00022427159049	-0.0277066	n/a	n/a	0.00076765568356	-0.0167904	n/a	0.00028191753216	n/a	0.00227982	n/a	5.1975792324e-06	n/a	-0.00022459	n/a	n/a	5.04406681e-08	0.000330843	n/a	n/a	1.0945709064900001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
567.7583176515029	1.3266006596589932	1.759869310207676	322349.5072624649	836.58971573321	-10.315562551326934	106.41083075033865	699882.3524705732	535.282658211598	1.0435035830838617	1.0888997279088577	286527.52418207447	566.9505873166804	501.1820989936906	1.098837	46.474041	0.0588410207999999	0.0318619	-0.0607602077	-0.0797502161	-0.0480426491	-0.1467792622	-0.0704100979	0.0722952976	0.0163679122	-0.0231455852	-0.1596039784	-0.0316417063	0.2459791525	-0.055083157	0.1893638356	-0.0205818322	-0.0659272242	0.128234589	0.078669644	-0.0179396747	0.0255978946	0.0104814807	-0.0080545272	-0.0463768105	0.0355105073	-0.0377353654	0.1085278102	0.0760107909	-0.1129905606	0.0957184997	0.1029227513	-0.0070239829	0.015738463	0.0260365433	0.1739443748	0.0135513835	0.0301164425	0.0462135847	0.1575030547	-0.0249721989	-0.0267505003	-0.0164251168	-0.0159661459	0.1421821136	-0.0009169144	-0.0784330575	-0.0302147083	0.0476928802	0.0130433902	0.0803147578	-0.0557689926	0.0385110723	0.0552022511	-0.1731275202	-0.0182172446	0.1119137777	-0.0249335195	0.0550466296	-0.0738180324	0.1648950435	-0.0315770533	-0.0825258379	0.0547095349	0.0615797582	0.0554319657	-0.112552866	-0.0913094432	0.1082070849	-0.065154431	0.1871852077	-0.0023472303	0.1363631616	0.0089629595	0.0856677185	-0.1517502294	-0.0018467857	-0.0581442421	0.08625326	-0.027419769	0.0438290175	-0.0829545977	0.1114488149	0.1161605686	-0.007903297	-0.0440351968	0.0304810613	0.0652439442	-0.1176503293	-0.0632749126	0.053597202	0.0156637201	-0.0181503007	0.1790694967	0.034680194	-0.0436066569	-0.1067491502	-0.0257972336	0.0399188207	0.0231705884	-0.0066824069	0.0562328214	0.0614738477	0.0305814666	0.0900171762	-0.0781183829	-0.0107055275	-0.0486717119	0.0527616284	0.0972581588	0.013208325	0.0827857722	-0.063637371	0.1168878242	-0.109470708	-0.0483626687	-0.122733825	0.0689053127	0.0137165318	0.0384737945	-0.0062655014	-0.2566782386	0.0732526457	0.0162330091	-0.1652425685	0.1673177935	-0.0420409684	0.0839406905	-0.1477943553	0.1208252309	0.0637769736	0.0303037195	0.0304637857	0.1927328762	0.0010566043	0.1397629078	-0.0350390018	-0.0249238434	-0.0934400497	0.080962041	-0.0894051268	0.0029180586	0.0055010931	-0.0119568969	-0.1001021589	0.0218889641	-0.0040052121	-0.0467002484	-0.0354581553	-0.1073351764	-0.0314251388	0.0658439706	0.1207466182	-0.062437451	0.0241412297	-0.0302825308	0.0319629611	-0.0174972935	-0.0840988138	0.0426997968	-0.0644480981	0.0037841548	-0.0263301115	-0.0151772463	-0.0245662615	-0.0221680994	-0.0099231606	-0.0040759554	0.0446112036	-0.0126155562	-0.0178897262	-0.0167693258	0.0504027669	0.0006279836	0.0355639229	0.1819243112	-0.1509090245	0.0572692237	0.0233123267	0.0666775571	-0.106331937	0.0734897333	-0.1227407282	-0.0402086343	-0.0297948667	0.1097489812	0.0039884637	-0.1575141848	0.1626890953	-0.0750722972	-0.0236940891	-0.0504132065	0.0212641188	0.0900869112	-0.0816568475	0.1214927914	-0.0279550241	0.0944664206	-0.0335697617	0.0415193447	0.1186128217	0.1184168613	0.1180905004	-0.0114992	0.0034765	1.2086052250000002e-05	0.00013223160064	6.83708e-05	0.0277749708	0.0007714490029408	4.67456629264e-09	-0.0265215	-0.0097311	0.00070338996225	9.469430721e-05	0.0023022	2.23799999999998e-05	5.30012484e-06	5.008643999999907e-10	-0.000337132	-0.000112542	1.2665701764000008e-08	1.1365798542400003e-07	0.000108596	-0.000222247	4.939372900899999e-08	1.1793091216e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
568.6125209006893	0.854203249186412	0.7296631909206235	323320.1989250369	830.712857376647	-5.876858356563048	34.53746414310493	690083.8514108735	535.1497007504341	-0.132957461163869	0.0176776864791417	286385.2022132792	566.5429950019922	498.1627521097544	1.023318	43.280052	0.0724685408	0.0418041	-0.0704732642	-0.0739810194	-0.0611474103	-0.1387218345	-0.0110762472	0.0851174705	0.0861209344	0.0005025239	-0.0746342039	-0.0082838675	0.0704981809	0.0083116944	0.0020249196	-0.0255851654	0.0125934283	0.0364454818	0.0740035155	-0.0790312438	0.0383592447	0.0084456493	0.0536806487	0.0102006308	-0.0272093014	-0.0581689935	-0.0955957566	0.08256513	-0.0856218128	-0.0914525963	-0.0499297272	-0.007624909	-0.0252162729	0.1315104374	0.045982809	0.069000076	-0.1632423567	-0.1987794329	-0.0578901087	0.1347195038	-0.1098751063	0.0235548953	0.0583798914	-0.0604415477	0.0110684447	-0.0226199682	0.1303610169	0.1226250071	0.0845293494	-0.0493073365	-0.0478946878	0.0444113312	0.0643962137	-0.1354219407	0.0075991473	0.0711690548	-0.130075836	0.0042318186	-0.0834713809	0.0615034016	0.0129029341	0.0866060738	0.0631398795	0.0529726025	-0.0528074372	-0.0053589537	0.0529441084	0.0520008587	-0.0089081723	0.0036966726	-0.0561649803	-0.077147709	-0.0763958702	0.0597402742	-0.1314201711	-0.0682762187	0.0148263434	0.1062272648	0.0736915627	0.0562016892	0.0666194241	0.1023206236	-0.0116343028	0.1168248786	-0.1343062239	0.1549696841	0.0701427812	-0.0093978318	0.0577069581	-0.0401913408	0.0412813312	-0.1219093026	0.0324672702	-0.0016366894	0.1011351519	-0.0181064715	-0.0392468648	-0.0673976237	-0.0376361948	0.0624399399	0.0069115395	-0.0159080615	0.1301265945	0.0065048568	-0.0181450368	0.0236722614	0.1672980736	-0.0736405122	-0.045685596	0.1144334664	0.17822054	0.2340965125	-0.0471529373	-0.0949620822	-0.0701557593	-0.136123699	0.0616528589	-0.0152234823	0.0253608902	0.0676074822	-0.1526380616	0.0070802089	-0.0150322929	-0.1397138663	0.1587607136	0.0717129158	-0.0371949326	-0.0571376039	0.0228185975	-0.0810509343	-0.0362989993	-0.1619019609	-0.0331947897	-0.0818609437	0.0594842523	-0.0345590313	-0.0558125121	0.0522773843	-0.0258192356	-0.0423646566	0.042276109	-0.1221496574	0.0282397596	0.0603491479	0.0015241355	-0.1166171627	0.1051268771	0.0835320536	-0.0858373437	0.1227702852	-0.099532719	-0.0218624778	-0.0950798598	0.0413858274	0.049194301	0.0008115433	-3.79404e-05	-0.0170885799	0.1462090161	0.0114503822	0.0201709981	-0.0151896682	-0.1137454756	-0.043120021	0.0188468896	0.0824538903	0.0061562297	0.072442821	0.1025966355	-0.0995037405	0.1379891323	-0.1728443897	0.1225897577	-0.0012140321	-0.0348113696	-0.1392740589	0.0468942179	-0.0055836542	0.1014639043	-0.0201004894	0.0772124984	-0.026291321	-0.0303234018	0.145401599	0.081685267	0.0104377877	-0.1803537106	0.0946683944	-0.0452475854	0.0415265522	0.0534369741	0.0151416595	0.0524081549	-0.045480861	0.0819249305	-0.0387084199	0.0439048844	0.0016486026	0.0789986388	0.118496684	0.1179527935	0.1170481578	-0.0115862	-8.700000000000027e-05	7.569000000000048e-09	0.0001342400304399	-0.0373538	-0.0374221708	0.0014004188673843	0.0013953063744399	-0.0248256	0.0016959	0.00061631041536	2.8760768100000007e-06	0.00247449	0.00017229	6.123100760100001e-06	2.96838441000001e-08	-4.14666e-05	0.0002956654	8.741802875716e-08	1.71947891556e-09	0.00030591	0.000197314	3.8932814596e-08	9.358092810000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
567.9512752751715	-0.6612456255178358	0.4372457772664739	322568.65108669363	833.9809405078963	3.268083131249341	10.680367352756498	695524.2091304353	534.5088009217985	-0.6408998286356109	0.4107525903451554	285699.65826285887	566.1277770887713	502.0871325980489	1.07933	45.649025	0.0325203299999999	0.0223598	0.0027825759	-0.1294949503	-0.0355062955	-0.1347526382	-0.1279571079	0.0468707594	0.1124754318	0.023133801	0.0875368864	0.0742707092	-0.0257673356	-0.0506713912	0.0840190591	0.0155885818	-0.1406296645	0.0164758258	0.0656466154	-0.0377606627	0.1038270477	-0.0827820711	-0.0659171028	0.0229628264	0.0243719345	-0.0693307072	0.0729813109	0.1269359067	-0.0849801237	0.0118327346	-0.0869006128	0.0563674573	0.0131433151	0.0169010246	-0.0428022779	-0.036480232	-0.1762271083	-0.0804710891	0.0196390596	-0.0536553576	0.0335135153	-0.030833177	0.1023998319	0.1883350949	0.0513546184	0.0015025924	-0.1172391132	0.0217909778	0.1662868963	-0.0199013281	0.0416214617	0.0684816079	0.0123122845	-0.1803726184	0.0129728904	-0.0011484372	-0.11303573	-0.048372437	-0.0246964733	0.0044113857	0.0931147201	0.1160112755	-0.1006377662	0.1233560361	-0.0384683783	0.0806303413	0.0410169527	0.0785473365	-0.0966488808	-0.0091251074	-0.1061130707	-0.0129910051	-0.1436167395	-0.1487158279	-0.0097894859	-0.0716115138	0.0659890925	0.0110875355	0.0563583106	-0.0811485277	0.0815060323	0.0909615849	-0.0005539171	-0.0287783739	-0.0402542153	-0.0850129105	-0.137149075	0.046538235	0.1633491961	-0.0129782588	0.0968458086	0.1801661849	-0.0353620754	0.0289070921	0.0476609346	-0.0632723858	-0.0722109351	-0.0350489352	-0.0298944767	0.0331388751	0.0801044418	7.88601e-05	0.0434433149	-0.0328561833	0.0200841246	-0.0224613385	0.0255501547	-0.0104056751	0.1494866391	0.0370735277	0.0287706897	-0.0637698342	-0.0247706356	-0.167644826	0.0129356109	-0.1179319749	0.0538591249	0.0059652232	-0.0154316956	0.0205856455	-0.0110351219	0.0496360101	-0.028176598	-0.1464206057	0.0403392286	0.1464830024	0.0180770783	0.014283206	-0.0492575783	-0.0916756649	-0.1494586062	-0.1458465116	0.0126768381	-0.1318695408	-0.0645995033	0.064744361	0.0083800352	0.1197362103	-0.1230602485	0.0548503038	0.0044282425	0.0362808997	-0.0167025329	-0.0662398859	-0.1117946377	-0.0524819247	0.097318884	0.0406852507	-0.0164647627	0.0011415055	0.1101414629	-0.0919255362	-0.0754611978	-0.0300427832	-0.0573137683	-0.0887109181	-0.0413750803	0.0208687614	-0.0418584155	0.0292456016	-0.0268176167	0.0097922539	0.0659528459	-0.0455206912	0.0955916426	0.0986040201	0.0936282616	-0.0603367474	-0.0123087669	0.0424200337	0.0688175174	-0.0050243911	-0.1493413196	-0.0813217755	0.0530424077	-0.113918636	0.1333576421	-0.0457803721	0.0469789663	-0.0543896065	-0.0808423937	-0.0689262884	-0.0165095439	0.0764974832	0.1094350177	0.0146777085	-0.1579554796	-0.0755317487	0.054963405	0.0377898174	0.0804554934	-0.0099771673	0.0088651942	0.014147423	0.1636463039	0.0204992843	0.0488352029	-0.0199181516	0.0290575945	0.1183225485	0.1172578276	0.115490384	-0.0147789	-0.0031926999999999	1.0193333289999998e-05	0.00021841588521	-0.015696	0.0216577999999999	0.0004690603008399	0.000246364416	-0.026352	-0.0015264	0.000694427904	2.329896960000002e-06	0.00249222	1.7729999999999656e-05	6.211160528399999e-06	3.1435289999998775e-10	2.2998e-05	6.44646e-05	4.15568465316e-09	5.289080039999998e-10	0.000265236	-4.0673999999999984e-05	1.6543742759999986e-09	7.035013569600003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
566.8562065717347	-1.095068703436823	1.1991754652468043	321325.9589288971	829.6354014877619	-4.345539020134424	18.88370937551085	688294.8994017598	533.3118687274283	-1.1969321943702198	1.4326466779199096	284421.5493255417	564.985678127137	491.3612396155201	1.16682	49.349308	0.05923486	0.0287229	0.0428493508	-0.1224776577	0.1143667328	-0.120318883	-0.0998074278	-0.1279515145	0.0968359354	0.1391959885	0.0164476127	0.0662758655	-0.1065189893	0.0086271933	0.0444945039	0.0089103007	-0.0950813931	0.053997498	-0.0736536476	0.010317295	0.1815756783	-0.095637868	-0.1055033575	-0.2011570187	0.0617421029	-0.0532507517	0.0289320245	-0.0566191221	0.0467416976	-0.0269978132	0.0329132946	-0.0707185579	-0.0062551144	-0.0400725225	-0.0589126052	0.0996295085	-0.0760119795	0.036006447	0.0133193116	0.0152524392	-0.1344742524	0.1099464791	0.0282424652	0.1104535054	-0.0856385367	0.0321112009	-0.073418673	0.0475259054	0.0813123982	0.0776517931	0.1001507864	-0.0349542816	-0.1048558702	-0.1556663397	-0.0107424396	0.0874023958	-0.0488877951	-0.108472589	0.1242199605	0.0290121622	-0.0182469925	-0.0816150014	0.0439709234	0.0270260463	-0.1058602509	0.0122458717	0.1092073392	-0.1892930076	-0.0522757669	-0.0609804902	-0.0005335019	-0.1872255475	-0.0625035428	-0.057863371	0.1194558046	0.1304749995	-0.0340164538	-0.0894603643	0.0867045215	-0.0060589173	-0.049812835	-0.0755252212	-0.0161201957	0.0465389295	-0.0299473992	-0.0316212116	0.0164006261	-0.032133687	0.0047493087	-0.0711947844	0.0827575027	0.0495308087	0.0352725365	-0.0879672457	-0.0491918532	-0.0870250941	-0.0096855387	-0.0340438193	0.0128219812	0.0483378219	-0.0946103845	0.0152221968	-0.0601395045	0.1133141201	-0.0391205445	-0.0743455491	-0.1699319399	0.066978928	-0.0689870747	0.1733659532	0.037596475	-0.0636955443	-0.0567124682	-0.2132976326	-0.037647767	0.0617485896	0.0523407118	0.0639028181	0.0197053894	0.0257947093	0.0543434138	-0.141109879	-0.07536885	0.053819243	0.1373169624	-0.0506567679	-0.0131984465	0.0282266336	-0.1434781826	-0.0042475316	0.0868659291	-0.0622547183	-0.0959228909	-0.1501018623	-0.1327469956	0.0406867875	0.06746315	-0.1083008626	-0.1205658093	0.0152470666	0.0729909619	-0.0461017362	-0.0423608345	0.0628328323	0.0764463995	-0.003026272	0.0343004531	0.141481046	0.0138131362	-0.1817730697	0.110261473	-0.1067970927	0.0067317658	0.0291018362	0.0281717885	0.1577660121	-0.0519947939	-0.0892676187	0.0043776279	-0.056696595	-0.0185393516	0.0741629455	-0.0517122997	-0.0933267974	0.0141376425	0.0407431867	-0.0134386501	-0.1430532545	-0.0359352368	-0.0031304146	-0.0244229407	0.156406688	-0.0003571995	0.1408414289	0.0564289108	-0.0928175647	0.0974776391	-0.149343109	-0.0374834995	-0.0906560633	0.0489116243	-0.0208683686	0.0101820296	0.0096595228	0.1593053784	-0.0187224351	-0.087573013	-0.0619235301	0.0648248972	-0.0894390453	0.0704050369	0.0143926798	-0.0424773829	-0.0250213773	0.0056037205	0.0725535314	-0.0225057573	-0.0581833659	0.0640227893	0.1180905004	0.1163333239	0.1134240387	-0.0173782	-0.0025993	6.756360490000003e-06	0.00030200183524	0.00559192	0.02128792	0.0004531755379264	3.1269569286400005e-05	-0.0160499	0.0103021	0.0002575992900099	0.00010613326441	0.00223313	-0.00025909	4.9868695969e-06	6.712762810000001e-08	-9.19848e-05	-0.0001149827999999	1.3221044295839998e-08	8.46120343104e-09	0.000138398	-0.000126838	1.6087878244000006e-08	1.9154006404e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
567.811038990125	0.9548324183903104	0.911704947209089	322409.3759990452	826.018195931714	-3.6172055560479066	13.084176034703844	682306.0600102835	532.7768906781752	-0.5349780492531409	0.286201513182696	283851.2152407042	563.6168212082114	493.41719791109375	1.083507	45.82568	0.07702808	0.039812	-0.0122440528	-0.0425587313	0.153585295	-0.0827454824	0.0123609829	-0.1469333136	0.0698767119	0.0935353751	-0.047044262	0.1341561579	0.0264327663	0.0727874185	-0.1285247283	0.0404154734	0.0228780849	0.0298308319	0.1083857509	0.0710412024	0.0605565976	-0.0854467318	-0.0178224658	0.0505710871	-0.0205103351	0.0867808637	-0.0202777966	-0.0729016006	0.0344726227	0.0969375207	0.0755755423	0.0176833381	0.0118405147	0.046593225	-0.156132548	0.0108148297	-0.1067604155	0.1702566198	0.0294010565	0.1603697591	-0.1066556999	-0.0144762038	0.0661363988	-0.0262919986	-0.0883956654	-0.02063661	-0.0377338089	0.0193364987	0.0357624356	0.0483445008	0.0929326041	-0.1519202654	-0.0887980058	-0.0406137415	-0.1247092165	0.065306496	-0.006903957	-0.0481959643	-0.0971713637	-0.0767485786	-0.0019149093	-0.0047403691	0.0428759628	-0.1113795783	-0.0904818441	-0.0486228822	-0.0044943525	-0.1045576619	-0.0158608309	-0.1178056539	-0.0106410848	-0.2426884982	-0.1157026917	-0.0133391042	0.0446616778	0.0992502694	0.021799565	-0.0563794255	-0.0575253486	-0.030342974	-0.0172411518	0.0110239796	-0.060704533	0.1100482016	0.0421363405	0.1208398629	0.0273256872	0.0208456726	0.026290875	-0.1174696616	-0.0578918544	-0.0601612565	0.0088255032	0.1137331682	0.0562749138	0.0879703852	-0.1575065164	0.0736600583	0.034521258	-0.0170016496	-0.1056433196	0.0429127439	0.0266625475	-0.0055909606	-0.0264918746	-0.0947501844	-0.0160491933	-0.0790557009	0.1415051332	-0.062952894	-0.1108728538	0.0023302178	-0.0050237654	-0.0773448277	-0.0564359342	0.1642656381	0.0954009501	0.1232931509	0.0207267533	0.0500643725	0.007983583	-0.0580874835	-0.0884454545	0.0828756589	0.0753428784	0.0320254213	-0.076712191	0.1337906169	0.0296025213	-0.0538096289	-0.0332969821	-0.0232434079	-0.1583081428	-0.041009275	0.0080096766	-0.0950596523	-0.0426081935	-0.0341119391	-0.1292606563	0.1292779175	0.0350690145	-0.0525159124	0.0230038666	0.0947313441	0.0673654848	0.1161817115	0.0363674901	0.06928659	-0.0216122855	-0.1201109968	-0.1198119968	0.0523164191	-0.0340601603	-0.0643781528	0.0525425327	-0.0549156665	0.1609310753	0.0132751842	0.086781396	0.1036612986	-0.0557200012	-0.0632701501	0.1020821313	0.125459698	-0.1219050713	0.1002077859	-0.1215473358	0.083733273	-0.0722102924	0.1624567414	-0.025287887	-0.0506595334	-0.0654123165	-0.086306107	-0.0071899514	-0.0960125203	-0.0050262376	-0.1454305449	-0.0317326585	-0.0566584681	0.0349403239	-0.0433678146	-0.1108269952	0.0803085117	0.0784000753	-0.0217460792	-0.042998124	0.1112899084	0.0524714778	0.0521073622	0.0050434809	0.001847273	-0.0061134267	0.081734825	-0.0856402547	-0.0629490106	-0.1132339627	0.0093221405	0.0559789614	0.1178006533	0.1151810923	0.1108582214	-0.00389576	0.01348244	0.0001817761883536	1.5176945977599998e-05	-0.022494	-0.02808592	0.0007888189022464	0.000505980036	-0.0131826	0.0028672999999999	0.0001737809427599	8.221409289999999e-06	0.00181616	-0.0004169699999999	3.2984371456e-06	1.7386398089999986e-07	8.866659999999998e-05	0.0001806513999999	3.2634928321959994e-08	7.861765955559997e-09	0.000192625	5.422700000000001e-05	2.940567529000001e-09	3.7104390625e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
