onset	duration	node	response_time	accuracy
12	1	2	0.457	1
16	1	5	0.297	1
20	1	8	0.377	1
24	1	6	0.362	1
28	1	13	0.467	1
32	1	10	0.378	1
36	1	3	0.320	1
40	1	1	0.411	1
44	1	9	0.393	0
48	1	12	0.358	1
52	1	11	0.412	1
56	1	7	0.455	1
64	1	4	0.362	1
68	1	13	0.256	1
76	1	9	0.360	1
80	1	3	0.359	1
84	1	2	0.415	1
96	1	11	0.712	1
100	1	5	0.311	1
104	1	7	0.291	1
108	1	6	0.416	1
112	1	8	0.382	1
116	1	4	0.393	1
124	1	12	0.388	1
128	1	10	0.274	1
136	1	1	0.353	1
140	1	12	0.336	0
148	1	2	0.406	1
156	1	13	0.273	1
160	1	9	0.317	1
164	1	11	0.296	1
168	1	1	0.288	1
172	1	5	0.329	1
176	1	3	0.279	1
180	1	4	0.376	1
184	1	8	0.408	1
188	1	7	0.315	1
192	1	10	0.596	1
196	1	6	0.423	1
200	1	11	0.402	1
208	1	12	0.325	1
212	1	6	0.250	1
216	1	7	0.316	1
220	1	13	0.391	1
224	1	5	0.333	1
228	1	2	0.236	1
232	1	1	0.362	1
236	1	4	0.296	1
240	1	3	0.355	1
244	1	9	0.349	1
264	1	10	0.367	1
268	1	8	0.321	1
