onset	duration	node	response_time	accuracy
12	1	13	0.389	1
16	1	12	0.364	1
28	1	7	0.376	1
32	1	1	0.350	1
36	1	10	0.301	1
40	1	9	0.282	1
44	1	6	0.314	1
48	1	5	0.459	1
56	1	3	0.368	1
60	1	4	0.389	1
64	1	11	0.362	1
68	1	8	0.372	1
72	1	2	0.446	1
76	1	3	0.397	1
80	1	5	0.325	1
84	1	1	0.287	1
88	1	4	0.428	1
92	1	2	0.421	1
96	1	11	0.297	1
100	1	7	0.310	1
104	1	12	0.418	1
108	1	10	0.415	1
112	1	13	0.444	1
116	1	6	0.284	1
120	1	8	0.417	1
124	1	9	0.318	1
128	1	6	0.400	1
132	1	9	0.393	1
144	1	12	0.388	1
148	1	4	0.361	1
152	1	3	0.503	1
168	1	2	0.340	1
172	1	8	0.335	1
176	1	5	0.329	1
180	1	11	0.313	1
184	1	1	0.318	1
188	1	10	0.356	1
192	1	13	0.359	1
196	1	7	0.346	1
204	1	11	0.458	1
208	1	2	0.303	0
212	1	6	0.367	1
216	1	7	0.272	1
220	1	3	0.413	1
228	1	8	0.341	1
232	1	12	0.379	1
236	1	5	0.370	1
240	1	1	0.377	1
244	1	9	0.382	1
252	1	13	0.446	1
256	1	4	0.332	1
264	1	10	0.411	1
