onset	duration	node	response_time	accuracy
12	1	5	0.441	1
16	1	11	0.435	1
24	1	8	0.376	1
28	1	2	0.394	1
32	1	12	0.400	1
36	1	10	0.495	1
44	1	4	0.340	1
48	1	7	0.271	1
52	1	13	0.283	1
56	1	9	0.352	1
60	1	3	0.419	1
64	1	6	0.629	1
68	1	1	0.407	1
72	1	5	0.340	1
76	1	11	0.317	1
80	1	6	0.388	1
84	1	9	0.295	1
88	1	13	0.234	1
96	1	10	0.345	1
100	1	2	0.425	0
108	1	1	0.383	1
112	1	7	0.370	1
120	1	12	0.392	1
128	1	3	0.455	1
140	1	4	0.543	1
144	1	8	0.345	1
148	1	7	0.624	1
152	1	2	0.417	1
160	1	9	0.483	1
164	1	1	0.376	1
168	1	11	0.341	1
172	1	10	0.588	1
176	1	12	0.448	1
180	1	13	0.433	1
184	1	6	0.469	1
188	1	4	0.505	1
192	1	5	0.422	1
200	1	3	0.421	1
208	1	8	0.472	1
212	1	7	0.345	1
216	1	2	0.373	1
220	1	12	0.537	1
224	1	3	0.432	1
228	1	8	0.376	1
232	1	1	0.856	1
236	1	9	0.400	1
240	1	13	0.421	1
248	1	11	0.390	1
252	1	4	0.406	1
260	1	5	0.414	1
264	1	6	0.573	1
268	1	10	0.401	1
