onset	duration	node	response_time	accuracy
12	1	5	0.480	1
16	1	11	0.491	1
24	1	8	0.417	1
28	1	2	0.435	1
32	1	12	0.385	1
36	1	10	0.492	1
44	1	4	0.492	1
48	1	7	0.405	1
52	1	13	0.382	1
56	1	9	0.419	1
60	1	3	0.446	1
64	1	6	0.483	1
68	1	1	0.425	1
72	1	5	0.438	1
76	1	11	0.368	1
80	1	6	0.469	1
84	1	9	0.424	1
88	1	13	0.430	1
96	1	10	0.340	1
100	1	2	0.445	1
108	1	1	0.404	1
112	1	7	0.404	1
120	1	12	0.470	1
128	1	3	0.343	1
140	1	4	0.410	1
144	1	8	0.377	1
148	1	7	0.362	1
152	1	2	0.448	1
160	1	9	0.420	1
164	1	1	0.415	1
168	1	11	0.317	1
172	1	10	0.683	1
176	1	12	0.356	1
180	1	13	0.367	1
184	1	6	0.345	1
188	1	4	0.515	1
192	1	5	0.350	1
200	1	3	0.340	1
208	1	8	0.499	1
212	1	7	0.406	1
216	1	2	0.386	1
220	1	12	0.387	1
224	1	3	0.367	1
228	1	8	0.347	1
232	1	1	0.372	1
236	1	9	0.425	1
240	1	13	0.388	1
248	1	11	0.318	1
252	1	4	0.369	1
260	1	5	0.402	1
264	1	6	0.475	1
268	1	10	0.302	1
