onset	duration	node	response_time	accuracy
12	1	6	0.455	1
16	1	3	0.809	1
20	1	10	0.781	1
24	1	5	0.290	1
28	1	7	0.448	1
32	1	2	0.368	1
36	1	1	0.465	1
40	1	4	0.416	1
44	1	9	0.449	1
48	1	13	0.418	1
52	1	8	0.415	1
60	1	12	0.405	1
64	1	11	0.632	1
68	1	13	0.360	1
72	1	12	0.358	1
76	1	4	0.376	1
80	1	8	0.397	1
88	1	9	0.328	1
92	1	11	0.405	1
108	1	10	0.342	1
112	1	2	0.488	1
116	1	6	0.453	1
120	1	7	0.315	1
124	1	3	0.434	1
128	1	1	0.463	1
132	1	5	0.384	1
136	1	3	0.319	1
144	1	10	0.414	1
148	1	5	0.331	1
152	1	4	0.491	1
156	1	9	0.428	1
160	1	7	0.317	1
164	1	12	0.405	1
168	1	6	0.490	1
172	1	11	0.467	0
188	1	8	0.367	1
192	1	13	0.362	1
196	1	2	0.528	1
200	1	1	0.504	1
204	1	10	0.587	1
212	1	1	0.470	1
216	1	6	0.355	1
220	1	5	0.386	1
224	1	4	0.393	1
228	1	7	0.428	1
232	1	2	0.416	1
236	1	12	0.442	1
240	1	11	0.371	1
244	1	9	0.402	1
256	1	3	0.388	1
260	1	8	0.397	1
268	1	13	0.326	1
