task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	1	1	12	2	0.300	2	2	1	0.525
2	1	2	16	10	0.450	1	1	1	0.422
2	1	3	20	5	0.300	1	1	1	0.418
2	1	4	24	7	0.750	1	1	1	0.387
2	1	5	28	9	0.550	2	2	1	0.466
2	1	6	32	3	0.450	1	1	1	0.394
2	1	7	36	12	0.550	2	2	1	0.342
2	1	8	40	NaN	NaN	NaN	NaN	NaN	NaN
2	1	9	44	1	0.300	1	1	1	0.400
2	1	10	48	NaN	NaN	NaN	NaN	NaN	NaN
2	1	11	52	13	0.100	1	1	1	0.423
2	1	12	56	NaN	NaN	NaN	NaN	NaN	NaN
2	1	13	60	4	0.400	1	1	1	0.435
2	1	14	64	6	0.900	2	2	1	0.408
2	1	15	68	11	0.300	1	1	1	0.312
2	1	16	72	NaN	NaN	NaN	NaN	NaN	NaN
2	1	17	76	8	0.800	2	2	1	0.306
2	1	18	80	10	0.350	2	2	1	0.553
2	1	19	84	7	0.750	1	1	1	0.371
2	1	20	88	13	0.850	2	2	1	0.301
2	1	21	92	5	0.750	1	1	1	0.338
2	1	22	96	12	0.500	1	1	1	0.409
2	1	23	100	2	0.800	2	2	1	0.297
2	1	24	104	4	0.800	1	1	1	0.350
2	1	25	108	1	0.850	2	2	1	0.441
2	1	26	112	8	0.900	1	1	1	0.379
2	1	27	116	6	0.800	2	2	1	0.380
2	1	28	120	11	0.450	1	1	1	0.420
2	1	29	124	3	0.100	2	2	1	0.470
2	1	30	128	9	0.350	2	2	1	0.424
2	1	31	132	7	0.150	2	2	1	0.385
2	1	32	136	2	0.450	1	1	1	0.401
2	1	33	140	8	0.450	2	2	1	0.302
2	1	34	144	6	0.800	1	1	1	0.317
2	1	35	148	4	0.200	2	2	1	0.358
2	1	36	152	13	0.150	2	2	1	0.723
2	1	37	156	NaN	NaN	NaN	NaN	NaN	NaN
2	1	38	160	9	0.700	2	2	1	0.502
2	1	39	164	10	0.800	1	1	1	0.387
2	1	40	168	1	0.350	2	2	1	0.360
2	1	41	172	3	0.250	1	1	1	0.455
2	1	42	176	NaN	NaN	NaN	NaN	NaN	NaN
2	1	43	180	11	0.750	1	1	1	0.452
2	1	44	184	12	0.800	1	1	1	0.382
2	1	45	188	5	0.750	2	2	1	0.405
2	1	46	192	NaN	NaN	NaN	NaN	NaN	NaN
2	1	47	196	4	0.400	2	2	1	0.565
2	1	48	200	10	0.300	1	1	1	0.430
2	1	49	204	8	0.500	1	1	1	0.516
2	1	50	208	6	0.450	2	2	1	0.462
2	1	51	212	12	0.350	2	2	1	0.356
2	1	52	216	9	0.550	1	1	1	0.417
2	1	53	220	NaN	NaN	NaN	NaN	NaN	NaN
2	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN
2	1	55	228	2	0.900	1	1	1	0.439
2	1	56	232	11	0.550	2	2	1	0.377
2	1	57	236	3	0.750	2	2	1	0.390
2	1	58	240	NaN	NaN	NaN	NaN	NaN	NaN
2	1	59	244	NaN	NaN	NaN	NaN	NaN	NaN
2	1	60	248	13	0.300	2	2	1	0.584
2	1	61	252	NaN	NaN	NaN	NaN	NaN	NaN
2	1	62	256	1	0.250	2	2	1	0.388
2	1	63	260	5	0.300	1	1	1	0.472
2	1	64	264	7	0.650	1	1	1	0.516
2	1	65	268	NaN	NaN	NaN	NaN	NaN	NaN
