global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
9583.12954798915	n/a	91836371.93354274	n/a	8852.71975270654	n/a	78370647.01996054	n/a	6560.773103903206	n/a	n/a	43043743.72089971	6590.740349302424	8007.359193316846	n/a	n/a	n/a	n/a	-0.4632974361	0.2813001759	0.0644613567	-0.2523861213	0.2291637051	0.1741715677	-0.0646354395	0.1624919514	-0.0662747456	0.1778671045	-0.1659432399	0.4045932608	-0.0087560182	0.2887798818	-0.1354268408	0.1210046008	-0.0179725797	0.3066314481	-0.2006329177	0.0941813833	0.0713686876	-0.0476844127	0.0629416567	-0.0191808181	0.0423420319	-0.0750305491	0.0204633524	-0.073250846	0.074802975	-0.0913379036	0.0043220831	-0.0077403224	0.2109940241	-0.0383518545	0.0245984787	-0.0454171289	-0.0497882011	0.1051535105	-0.0090501066	-0.0276048159	0.2031619531	-0.1374057918	0.1892117654	0.0627842087	-0.2107126304	0.0959670487	-0.1408207652	0.1910605662	0.0276431099	-0.2977801572	0.089792272	-0.079655577	0.0190699887	-0.1363049505	0.0608061194	-0.0285092254	0.2093106326	-0.1278296851	0.1960725608	-0.0828837483	0.0118029427	-0.0191400941	-0.0611915841	0.0267156057	-0.0131062886	-0.0208352222	0.0746541939	0.0392842971	-0.1189995994	-0.0010450969	0.0322236085	0.0975804626	-0.0900032097	-0.0264367969	-0.0358032413	0.0855148695	-0.0693745884	-0.0298611875	-0.0051862243	-0.0546725115	0.0861323284	0.0353139936	0.0961657135	-0.057302261	-0.054743639	-0.0275219458	0.1906919527	0.0100478956	-0.1079590854	-0.0088739287	-0.1021005093	0.0135789754	0.0733237185	0.0254018708	0.1471453499	-0.0991162317	-0.0199973652	-0.0389375477	0.06000947	0.030482644	-0.1646779788	0.1799171416	-0.1647665167	0.0815938806	-0.2833546443	0.008267077	-0.2570748419	0.0554886667	-0.0063985053	0.1427311985	-0.0461710283	0.028270264	-0.3012192887	0.1029018259	-0.0736715979	0.0122420491	-0.079473533	0.3263813502	-0.0849995333	0.0958180308	-0.0687391427	0.0005763011	0.0755959659	-0.0893707044	0.0125622237	0.0372781568	-0.0415655323	0.0169874403	0.0177724314	-0.0597398835	-0.0935604723	0.0951384005	-0.0535378166	-0.0233582395	-0.0301292734	0.1179392825	0.0322163771	-0.0124454083	-0.0301292712	-0.0947812124	0.1027956578	0.0735586992	-0.0076956255	-0.0452134994	-0.1312281619	0.0262946633	0.0027617903	0.0024294587	0.1008093649	-0.002271689	-0.0003282233	-0.0716985908	-0.0044878246	0.10366692	0.0059068561	0.0283763981	-0.0576000033	-0.045786418	-0.0122350011	-0.0198472477	-0.3588982042	0.0683646641	-0.127082158	0.0407824264	-0.1116642517	-0.1257617376	0.1031643207	-0.0514569435	0.0747917305	-0.0851015055	0.1163960858	-0.2460380496	0.1817414653	-0.1479867428	0.2009120463	-0.0819989203	0.0588353678	-0.1699664641	-0.0242048868	0.0777598494	0.0309797502	-0.0404764559	-0.0616587118	0.1186709048	0.1186491225	0.1186128217	-0.0200869	n/a	0.00040348355161	n/a	-0.0320377	n/a	0.00102641422129	n/a	0.0896161	n/a	0.00803104537921	n/a	-0.000160745	n/a	2.5838955025e-08	n/a	-0.000201624	n/a	n/a	4.0652237376e-08	-0.000570811	n/a	n/a	3.25825197721e-07	0.0
9533.609870513166	-49.51967747598428	90889717.16314606	2452.198457325505	8716.788470079944	-135.93128262659593	75982401.23211865	18477.3135965115	6564.908621636752	4.135517733546294	17.102506924475875	43098025.21044056	6586.46278344375	7839.173620953747	1.167618	47.108326	0.10188253	0.0488605	-0.4797716875	0.2169393797	0.1118878481	-0.2928024307	0.1232758685	0.134327223	-0.1683894046	-0.0204378672	0.0123845805	0.1019945111	-0.1140543382	0.3285480037	-0.0866835248	0.1003428107	-0.1216474253	-0.0226942125	-0.0741163947	0.0870322782	0.0580887528	-0.0077704312	0.0821561278	0.1178601312	-0.0064173714	0.0616339636	-0.0634961529	0.071922908	-0.0347456815	0.121401951	-0.0351199173	0.0252081071	0.1485053291	-0.0057357148	-0.0021633527	-0.0236104111	0.0323775619	-0.0490100839	0.0295361746	0.0032569253	0.0285086341	0.0013366636	0.2449592885	-0.0810543735	0.1790551629	0.1400606641	-0.1430473046	0.0848854498	-0.2419458697	-0.0450545307	-0.0546921097	-0.3814605043	0.0849895436	-0.0315965089	0.0169681411	0.1749825183	0.0116217663	0.0293509402	0.0038115162	-0.0027480431	-0.068186525	0.1726193453	0.1076604449	0.024380452	-0.1347678309	0.0466698096	0.114980923	0.1175100143	-0.0429421169	0.0067281196	0.0844075857	0.0447882184	-0.0470110454	-0.0605287645	0.1428042418	-0.0378082192	0.0288939223	0.0404695806	0.0722026868	-0.0030770581	-0.0685701936	0.1353810265	-0.1208349003	-0.0235743234	0.067208133	0.0734525033	0.0049220721	-0.0234666667	-0.1630740656	0.0470020272	0.0219997688	-0.126860171	-0.0469353924	-0.004649934	-0.047696102	0.0008143997	-0.036531864	-0.0138124157	0.1808166842	0.0434067688	-0.1027428943	0.0129618209	-0.2102570333	0.1551430879	-0.1572755582	0.1168323841	-0.1491336608	0.1331246522	-0.2196046854	0.0658874348	-5.86533e-05	0.2623565368	-0.2642100318	-0.1320684231	-0.1637019889	0.1406735851	-0.0251051398	-0.0253056517	0.0545931257	-0.1233822657	0.0403558709	0.0022236062	0.1796555716	0.1067297179	-0.0648130647	-0.0063142476	-0.0357209257	-0.0710424618	-0.0492267521	0.0190018585	-0.0686927195	0.0017950884	0.0478203872	-0.1002635516	-0.0192786098	-0.1248555323	-0.0147534422	-0.1606858218	-0.0738636994	0.0162162537	-0.1207730008	0.0274083902	-0.1279673838	-0.0821876548	0.0153422345	0.0049552308	0.0290776045	-0.0737988937	-0.0166907674	0.1411658638	-0.0908852529	0.0927185725	0.0663999763	0.0453595308	0.0415943836	0.039826974	0.0377236666	-0.1090081271	0.0394630101	-0.0343212408	-0.0160015905	0.0097689971	-0.3368690957	0.1157018932	-0.0915096436	0.0091457511	-0.1115867922	-0.0834001054	-0.0199678701	-0.0930730824	-0.0093651325	-0.0878935609	0.0583653827	-0.2202539914	0.2271563195	-0.0435628361	-0.1083377542	-0.0860597253	0.1139083636	-0.080453965	-0.0311046636	0.1960934575	-0.0381638931	-0.0305382758	-0.0173671593	0.1186128217	0.1184168613	0.1180905004	-0.00188232	0.01820458	3.5431285824e-06	0.0003314067329764	-0.0296748	0.0023629	0.00088059375504	5.583296410000005e-06	0.0629695	-0.0266466	0.00396515793025	0.00071004129156	-0.000915264	-0.000754519	8.377081896960001e-07	5.69298921361e-07	-0.000115776	8.5848e-05	7.369879103999999e-09	1.3404082176e-08	-0.000317809	0.0002530019999999	6.401001200399997e-08	1.0100256048100001e-07	0.0
9542.16822767615	8.558357162983157	91052974.48527218	73.2454773291851	8534.066025071843	-182.7224450081012	72830282.92028552	33387.49190973857	6577.223309050947	12.31468741419485	151.65152610932904	43259866.45712309	6590.595453041161	8349.35540051674	1.402274	56.575684	0.0797585999999999	0.0377694	-0.3393617576	0.0726342106	0.0563739464	0.255329448	-0.1189739279	0.0201244277	-0.2331945762	0.0495308222	0.0502127012	0.1850869255	0.0048854264	0.0862826051	0.034663615	-0.1480862501	-0.1071436093	-0.2147401915	-0.0424599339	-0.0677505888	-0.0006870726	-0.2107788171	-0.0061852583	-0.0285799804	0.1758973924	-0.0562221915	-0.1240464026	0.2616559956	0.1617164724	-0.0522194731	-0.0413010285	-0.0395021022	-0.062817562	-0.0296123215	-0.0707644531	-0.0639477506	-0.1460728087	0.065085582	-0.1642392346	-0.1807305843	0.0351536339	-0.1040288518	0.2096264654	-0.027632419	0.1854230274	0.0251183331	-0.1273596859	-0.0406580045	0.0989769144	-0.186534169	-0.1652781078	0.1200709566	0.0197362749	0.0481233242	-0.0356818274	0.0239428107	-0.1522384172	0.1855091635	-0.1345459882	0.0624204367	-0.220838253	0.0452292255	0.0804447312	-0.0823986481	-0.0612060577	0.0133941919	-0.0703419211	0.0193172828	0.0370609921	-0.1207451806	-0.0728576582	-0.0573571934	-0.2167093775	-0.0649021661	0.1557374324	0.095242928	0.0368082327	-0.1523720737	-0.0099723771	0.054006144	-0.1227596508	-0.0272499782	-0.0327331374	0.2207653093	0.0411787292	-0.1452679736	-0.1053914058	-0.0423191119	0.0355433562	-0.0627377322	-0.1151024471	-0.0601497774	0.1473982563	-0.0217543581	-0.0118710698	-0.0500958797	-0.1462384641	0.1698989786	-0.1221638885	-0.021961781	-0.176256702	-0.0779909614	-0.2000911397	0.1099606885	-0.1458447477	0.0571242789	-0.0057388645	0.1089676099	-0.0024765824	-0.2058196475	-0.1586644743	0.0379743161	0.1648668748	-0.0665970256	0.1342814836	-0.1702658323	-0.0371348647	-0.049764945	0.0894906602	-0.2923625812	0.1820337271	0.1583955252	0.126693584	0.0081005948	-0.1790697213	0.0993451248	0.0493971641	0.0286276372	-0.0176091315	-0.0735153199	0.1136961177	-0.0772978028	0.1361881246	-5.9058e-06	-0.0570411035	0.007523197	-0.0892554568	0.0244741204	-0.1521330546	0.0098368009	0.2375309872	0.131728523	-0.0324169877	0.1906300325	0.0545294544	-0.0428343377	0.0771412295	-0.1450330792	0.0198545685	0.116487394	0.1754666868	-0.0231735812	-0.0316800134	-0.0011195409	-0.023832697	-0.013301577	0.056880676	0.0299092946	-0.0292215672	0.1348198035	0.0880662871	0.0056632469	-0.2786718795	0.0923277792	0.0493351144	-0.0140360086	-0.0491687042	0.0132180351	0.0094573485	-0.0036466949	0.1267587067	-0.0543738007	-0.0490685048	-0.0313251438	0.0647704057	0.1071144716	-0.1357936542	0.0779320038	-0.0663262022	-0.097797443	0.1169882334	-0.0345196573	-0.1020939369	-0.0337121389	0.0597331408	0.118496684	0.1179527935	0.1170481578	-0.00125997	0.00062235	1.5875244009e-06	3.873195225e-07	-0.0352273	-0.0055525	0.00124096266529	3.083025625000002e-05	0.0365522	-0.0264172999999999	0.00133606332484	0.0006978737392899	-0.00132615	-0.0004108859999999	1.7586738224999996e-06	1.6882730499599986e-07	-0.0	0.000115776	1.3404082176e-08	0.0	9.8858e-05	0.000416667	1.73611388889e-07	9.772904163999998e-09	0.0
9631.263392278855	89.09516460270606	92761234.5314508	7937.948355583288	8608.630507183683	74.56448211184033	74108519.2092136	5559.861992606957	6605.311463551812	28.08815450086513	788.9444232644701	43630139.530528985	6616.674935010745	8765.410134193302	1.263667	50.983486	0.13864399	0.080069	-0.2372853473	0.1374485341	0.0267791003	0.3511214626	-0.2485684893	-0.0491714661	-0.0474760512	-0.0857406374	-0.1521713654	0.2076083364	0.2124028111	0.2361117764	0.0479671582	-0.039673226	-0.0581012583	-0.1534441173	-0.0629993605	-0.0400300767	0.0660325379	0.0598976709	-0.1035468671	-0.0897833251	0.0895431092	0.081428022	0.0550753638	-0.1580171556	-0.2156675413	0.1589078644	-0.083020306	0.0756108485	-0.1465643115	0.0169578533	-0.1675840646	0.1066615064	-0.0764557088	0.0365094293	-0.0618250164	-0.065230689	0.0244654016	-0.1446107629	0.0801238469	-0.0015189935	0.3141449684	-0.1678255678	-0.1242242672	0.039202907	-0.071419357	-0.1391860672	-0.1985619694	0.1652630434	-0.1178886934	-0.0218427175	0.0126239759	0.0361898267	0.1596683117	0.1632042416	0.1887831354	0.1275863812	-0.1289718709	-0.0599846789	-0.054932373	0.1187237894	0.1167754438	0.0374080828	-0.0725350233	-0.097828872	0.089552105	-0.0275570027	-0.0587056076	-0.0799733486	-0.1198687913	0.1317636069	-0.2351868299	-0.0900168874	0.0287448847	-0.0216707107	-0.0295328391	0.1339999261	0.1148518103	-0.0077019384	0.0636549801	-0.0108760291	-0.1269872694	0.0780613633	0.1564418179	0.1345364482	0.0272112019	0.0679420768	0.0899744644	0.2256264397	-0.0737683638	0.0138298709	0.0238155662	0.0228110835	-0.023504899	0.0148618977	-0.0006653114	0.0055242106	0.1648631911	0.1702972215	-0.1151437738	0.0535459371	-0.3217807251	-0.1250016127	0.0628903378	0.114702492	-0.119271211	0.0021592863	-0.2001698816	0.0029235807	0.1909962874	-0.0292105816	0.1846587767	0.0527184903	-0.0310711064	0.1412956897	-0.0094146332	0.1001426018	0.2221519643	-0.0368036184	-0.006005174	-0.1204490036	0.1302946113	-0.1027132305	0.0312224714	-0.0066226723	0.1015895931	0.0762431143	0.1649993335	-0.0331098481	-0.0283078926	0.0056648131	-0.0146708835	0.3255765223	-0.0402959472	0.0404607635	0.1886359236	-0.0647071042	0.000684628	-0.0862609076	0.0059803904	-0.1288719271	-0.040553844	0.0841752938	0.107509939	0.1500287736	-0.0140604453	-0.0307304762	-0.1861646366	-0.1627921115	-0.0008249503	0.0366282271	-0.0559340432	-0.1035761735	-0.1360505072	0.0606605756	-0.0267003189	-0.0822584526	-0.0879131843	-0.016020022	-0.2760973286	-0.0386055618	0.1166794484	-0.0922656008	-0.0591645493	0.1657254202	-0.1059307315	-0.0022496276	0.1442917272	-0.0133352131	0.1163240837	0.0594327603	0.0945063832	-0.0612523328	-0.0304544043	0.1087155701	0.0291418979	0.015165042	0.1129294206	-0.132304396	0.0424315765	0.0271890959	0.0621307878	0.1183225485	0.1172578276	0.115490384	0.00393566	0.00519563	1.5489419635599998e-05	2.69945710969e-05	-0.0553829	-0.0201555999999999	0.00306726561241	0.0004062482113599	0.00516074	-0.03139146	2.66332373476e-05	0.0009854237609316	-0.000223204	0.0011029459999999	4.9820025616e-08	1.2164898789159997e-06	-0.0	0.0	0.0	0.0	0.000633938	0.00053508	2.863106064000001e-07	4.0187738784400003e-07	0.0
9656.3287184998	25.06532622094528	93244684.319724	628.270578562407	8615.23378185102	6.603274667337246	74222253.11594704	43.60323633229781	6616.262033922919	10.95057037110655	119.91499145255666	43774923.30152984	6630.531524408271	9782.44508753629	1.419412	57.267162	0.10456605	0.0562089	-0.0245223771	0.1277741703	-0.0434688048	0.2277560313	-0.3156325583	-0.1498361026	0.0158444736	-0.0268370688	-0.0307296373	-0.0335599086	-0.1208539481	0.194836633	0.0847822296	-0.1749856433	0.0760101554	-0.0735872973	-0.0159082326	-0.2614152846	0.0169963099	-0.1218523808	-0.1069085989	-0.011626071	0.0634638931	0.1576383556	0.0159862404	-0.0910275642	-0.041424584	0.0256656704	0.0302461878	-0.067015719	0.3060347991	0.1467536121	-0.0494848532	0.028609786	0.0642338637	-0.01095642	0.1384479022	0.1581327552	-0.1457443087	-0.0364605724	-0.0453229727	0.0406154616	0.2555517114	-0.0477365766	0.1738327092	0.0864853613	-0.1053192073	0.0191551854	-0.1233858252	0.2018727479	-0.1635791344	0.0758867078	0.02021482	-0.0597371031	0.0503135946	-0.1838139146	-0.0948962352	0.2199172264	0.3084873239	-0.0221680414	0.1170602758	0.1178138511	0.0795620549	-0.0917787718	0.2004188905	0.0086807327	-0.0906322816	-0.0349481679	0.0378826074	0.1432329763	0.0495281755	-0.0274022845	0.0265139836	0.1031127104	0.0177670373	0.1932031061	-0.0371718243	0.1683174552	-0.0031133229	-0.0042851298	-0.0072440354	-0.0821615431	-0.0324748911	-0.0274909538	-0.0688378493	-0.0229082775	-0.0202420905	-0.1035686365	-0.0029427412	0.0189604127	0.0226779473	-0.0557600809	0.0981219216	0.0332371353	-0.029076944	0.0236510958	-0.0323813149	-0.0404750608	-0.1722360768	-0.0482321112	0.0310960351	-0.0363412474	-0.2674035621	0.0602467884	0.1600443656	-0.0540850314	-0.0543924191	0.1051893319	0.0338056075	0.0357277005	0.0059347045	0.0561712664	0.2899532136	-0.0030750722	0.1293017004	-0.0001918877	0.097257806	0.0237060122	-0.1579253347	-0.224512528	-0.1887653973	0.1881554788	-0.0598235946	-0.0605924408	-0.102960257	-0.2500731693	-0.1278698138	-0.1003705807	-0.0517528785	0.0592750436	0.102483153	0.0530040287	-0.0358872707	0.0652926649	0.0398848362	0.0198421266	-0.025324187	0.0243905356	-0.1533967244	-0.0666496136	0.1915508383	0.0839487784	0.0897093632	-0.1135536713	0.0014234271	-0.0615476235	0.1423911789	-0.1463576108	0.0330124752	0.0309061971	0.0657620751	0.121663755	-0.0671425444	0.010362317	0.0186130047	0.0968199599	0.03062817	0.0472602498	0.0425252652	-0.0446105831	-0.2027602487	-0.1933765055	0.0358417937	-0.1730243381	0.0133132604	0.0264777162	-0.0579162339	0.0618677578	-0.0500824328	-0.0998711447	-0.0495158634	-0.0893270237	-0.1034376342	0.0418083888	-0.0683098241	0.0088489113	0.0559068967	0.0898932704	-0.1083701849	-0.1105792532	0.1080958496	-0.0629362169	-0.2353697921	0.1180905004	0.1163333239	0.1134240387	0.0207965	0.01686084	0.0004324944122499	0.0002842879255055	-0.0986627	-0.0432798	0.00973432837129	0.00187314108804	0.00769405	0.00253331	5.91984054025e-05	6.417659556100002e-06	-0.000716786	-0.000493582	5.137821697959999e-07	2.43623190724e-07	-0.000296183	-0.000296183	8.7724369489e-08	8.7724369489e-08	0.000585861	-4.8077e-05	2.311397928999999e-09	3.43233111321e-07	0.0
9644.317834402766	-12.01088409703516	93012866.49097924	144.2613367924121	8593.754432824007	-21.47934902701309	73852615.25168228	461.362434624248	6606.6892921589415	-9.57274176397732	91.6373848797956	43648343.40312762	6621.994679389099	10014.198708768983	1.327613	53.563442	0.19210035	0.140512	0.0703279324	-0.0383921861	-0.0978217782	-0.0151598118	-0.231851447	-0.145386263	0.068554532	0.0359432115	0.1015696273	-0.0924039034	0.039812944	0.0949379792	0.1175734979	-0.0316168019	-0.0061820741	0.0701109679	0.0729386207	-0.1130894379	-0.0368725462	0.1076947651	-0.1259347836	0.0735151693	-0.0062853831	0.1630250502	-0.0367658337	0.1251883866	0.1816082085	0.0649771917	0.164004728	0.1414582436	-0.0319482879	0.0668911146	-0.0674452309	-0.2235596993	0.1962491622	0.0142599795	-0.1113368361	0.0236477425	-0.0644822886	0.0979573427	-0.0798813267	-0.0195005881	0.1341677514	0.1946199941	0.2413712032	0.1765986527	0.0508652216	0.0047735063	0.0987104059	0.1545848884	0.0584274055	-0.0058106233	0.0675381384	0.0418339565	-0.2204644193	-0.2341617929	0.131227458	-0.0783928782	0.0680866938	0.1843156436	-0.1598193893	0.015865944	0.0897100568	-0.1390603845	-0.2593734518	-0.11668891	0.1042494566	0.0195672952	-0.1345416799	0.0414294901	0.0032691302	-0.0389381059	0.0362114772	-0.0576646267	0.0527416018	-0.0149119244	-0.106720543	0.1072871271	-0.013311193	-0.1711908456	0.0006377783	0.029763598	0.1213103865	0.003003359	-0.0739391815	0.0240611809	-0.0688045066	0.0300786814	-0.2046123958	-0.1286630703	-0.0733306676	-0.0946748512	-0.1244910019	0.0422841621	-0.0191362382	0.060787334	0.0621990105	0.0356023168	0.0458442434	-0.0263375521	0.1019129362	-0.0104635907	-0.1026156888	0.1972262024	0.1411185359	-0.0494483339	-0.0264710277	-0.0016931204	0.1290174629	-0.1923997476	-0.0604198472	0.0642443861	0.0369373939	0.0635046133	-0.1483440058	-0.3265524819	0.169313124	-0.0056099676	-0.1146001459	-0.1062705611	0.000551168	-0.292137183	0.1778878089	-0.0601384702	0.0147432588	0.1694904938	0.0484864324	-0.138651314	0.1435549498	-0.0365664202	-0.0170974279	0.0901570828	-0.0016874433	0.0077000498	-0.0556059707	0.0614808727	-0.0309085406	0.1410256926	0.0123156344	0.0392097485	0.1274964319	0.0210280632	0.0350774587	-0.0212347986	-0.0695388894	-0.1978508586	-0.0075943392	0.0667327738	0.0506932176	0.0924371185	-0.0065266239	0.0825927539	-0.0897845007	-0.0178297648	0.1930545877	-0.1443408624	-0.0346039449	-0.0016716948	-0.0032199943	-0.0874732601	-0.0123699336	-0.1739497544	-0.0570966431	-0.2244539768	0.1346348583	-0.0543351553	-0.0333971818	0.0638533234	-0.1790856378	-0.0285552861	-0.0078396596	0.2451860808	-0.1171708698	0.106965487	-0.1105280773	0.0398834343	0.075448372	0.0683257916	-0.0514772283	0.0091119823	-0.0724314464	0.1046790897	-0.1811758133	0.1178006533	0.1151810923	0.1108582214	0.0225239	0.0017274	0.00050732607121	2.9839107600000017e-06	-0.109176	-0.0105132999999999	0.0119193989759999	0.0001105294768899	-0.121319	-0.12901305	0.014718299761	0.0166443670703024	-0.000181492	0.000535294	3.2939346064e-08	2.86539666436e-07	-0.000130547	0.0001656359999999	2.7435284496e-08	1.7042519209e-08	0.000269859	-0.000316002	9.9857264004e-08	7.2823879881e-08	0.0
