global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
9643.794495895909	n/a	n/a	93002772.27907224	6943.468876375697	n/a	48211760.03719798	n/a	6023.932240537805	n/a	n/a	36287759.63859082	6019.95369949235	10175.91697740186	n/a	n/a	n/a	n/a	-0.1877236565	-0.0070317872	0.0210361231	-0.0793520152	0.0861846836	0.1976835516	0.0770237129	-0.0157138727	0.0022254863	-0.1188256846	0.1133682537	-0.0232553158	0.0943084352	-0.1298961555	0.0455151345	-0.0833799974	0.011193271	-0.1352531531	0.0371323833	-0.25897424	0.0042882115	-0.1380857408	0.0339597874	0.0669416063	-0.1644152834	0.1136953561	-0.03380037	0.2117363817	-0.0503438075	0.0209238453	-0.0087266473	0.0327720517	-0.0122883767	0.1424485055	-0.0464832515	0.0045874795	-0.0326819984	0.0572833492	-0.0791736336	0.0338637233	-0.0411463854	0.0293187721	-0.1417812953	0.073917114	0.0115964439	0.0344414242	-0.0993741761	-0.0217213053	0.0385113536	-0.1463117779	0.0167401656	0.0399963756	0.0309767923	0.0808251546	-0.0710441925	-0.0312429356	-0.0292697863	0.0204034129	0.0670630848	-0.0439887234	-0.0103585018	-0.0715172248	0.0877077794	0.080558731	-0.0576521369	-0.1234210854	0.0200721602	0.1609618845	0.0256903501	0.0705502918	-0.195506834	0.1060249317	0.0218111115	0.0244710479	0.0321708315	0.126863403	-0.0488595511	-0.1211204144	0.0143881961	0.0230493801	0.0356199073	0.032824462	0.0825672917	-0.1394373696	0.1500679747	-0.021536213	0.0641515865	-0.1596590812	0.0482041827	-0.0039626517	0.1231841567	-0.0174074102	0.1045659938	-0.1080221592	0.0160808524	-0.0563341997	0.017117193	-0.0233978445	0.0331524048	-0.0091301634	-0.0185356465	0.1403474673	-0.1310750498	0.0163157639	0.0233263593	0.0498892165	-0.1339198231	0.092974194	-0.0433170125	-0.0320409383	-0.0175118873	0.0815220974	0.0572545027	-0.1018798821	-0.0007322922	0.0815729719	0.0401971097	0.033458054	-0.034034679	-0.1069440327	0.0731653772	0.1358633394	0.0211668393	-0.0055286339	-0.1795771934	0.0579351829	0.0495613008	0.0426830089	-4.52519e-05	-0.0766508977	-0.1130942944	-0.0482276731	0.1060855583	0.0289175364	0.0365963116	-0.049449102	-0.1076321486	-0.121498625	0.0245676177	0.1665581791	-0.0099752167	-0.1756301613	-0.1389866876	0.007395865	-0.0467658107	0.1199459376	-0.0308780389	0.0318021728	-0.0429312577	0.1510499625	-0.0076077505	0.3101164651	-0.0410517179	0.0996466418	-0.0803447355	0.0739193362	-0.0482794931	0.1862024101	-0.0470576567	0.3237593417	-0.0840361817	0.0802562617	-0.2982049736	0.2241367938	-0.1296552412	0.1186709048	0.1186491225	0.1186128217	-0.0180347	n/a	n/a	0.00032525040409	-0.00951762	n/a	n/a	9.058509046439998e-05	0.0604753	n/a	0.00365726191009	n/a	0.000323679	n/a	1.04768095041e-07	n/a	0.000212158	n/a	4.5011016964e-08	n/a	0.000364634	n/a	n/a	1.32957953956e-07	0.0
9617.165340823316	-26.629155072592766	709.111899880193	92489869.19273324	6813.4611756890645	-130.00770068663223	46423253.19262221	16902.002237824956	6030.047286569383	6.115046031577549	37.39378796831233	36361470.27826278	6026.579786713874	10031.988698779514	1.176656	45.108833	0.049230705	0.0286685	-0.2031840613	-0.1144699774	0.0041600193	0.0559599038	0.0816989391	-0.051377472	0.0656130248	-0.0753590382	-0.0552131028	-0.2310977156	0.1734259846	0.0294539086	-0.0128409696	-0.1021791144	0.056598906	0.0618719185	0.1395039405	-0.0950604158	-0.0327675931	-0.0298657651	0.0959763131	-0.0249914654	-0.1018779745	-0.0224749268	-0.1819436843	0.089441523	0.088800785	0.0280783412	-0.0274266082	0.1597601879	0.0568086113	0.0850619596	0.1230854672	0.2059864989	0.0673489723	-0.0927090151	-0.023893924	-0.0853088451	0.0556703878	0.0117947129	0.0735019383	0.0960127835	0.1115263475	0.0585436201	0.031389886	0.1145045012	-0.0627488761	-0.1172215957	-0.1276612653	-0.0195101645	0.0821684123	0.1202920799	-0.0996359993	-0.1516875879	-0.0015804211	0.0789090175	-0.0457285867	-0.0552030487	0.0315106843	-0.0133520098	0.0894267991	-0.0139731851	0.0647797785	0.0998237404	-0.1728196326	0.1130382667	0.0443121922	0.0871291167	-0.0192305463	-0.1667073603	0.0159736384	0.0422289072	0.0503812845	0.0704070569	-0.0182121202	0.0334519879	0.0099078959	-0.1129431159	-0.0700857692	0.1751629357	-0.0075711585	0.0106600683	-0.0013464756	-0.1213530127	0.1670577515	0.1219226093	-0.0280293022	-0.1029740064	-0.0642191342	0.1410682122	0.0674247504	0.1617322577	0.1651330918	-0.0515964114	-0.1475102561	-0.0916313322	0.0239759309	-0.0441572288	-0.092684958	0.0487039719	-0.0576901123	-0.0726286679	0.0358388902	-0.0793620503	-0.0248552676	0.182185364	-8.64784e-05	-0.0652579943	-0.1483806882	0.1103828706	0.0736257937	0.0257146764	-0.0825045862	-0.0999935357	-0.1034997619	-0.0412945452	-0.068641014	0.0522829012	0.0388539263	-0.0848569046	0.0984361979	0.0713039348	-0.0343560388	-0.1028240918	-0.0654597563	-0.0771665543	-0.1292806035	-0.1460366824	-0.0881526007	-0.008962275	0.0496485658	0.0340703904	-0.067226562	-0.0286848888	-0.0442090759	-0.0358826132	-0.0127625097	-0.025964883	0.0186265306	0.0890067558	0.0004404417	-0.194126986	-0.1501566379	-0.0411624085	-0.0917639427	0.0835317806	0.0552859699	-0.032066172	-0.0802104654	-0.0055591364	-0.1058666205	0.2111633067	-0.0060337469	0.1588284268	-0.1637558577	0.0849807994	0.0623678558	-0.0821690519	-0.0418927866	0.0572999182	-0.0299412918	-0.0914685487	0.2437761189	-0.1266581033	0.1155972221	0.1186128217	0.1184168613	0.1180905004	-0.0270186	-0.0089839	8.071045920999999e-05	0.00073000474596	-0.00754186	0.0019757599999999	3.903627577599996e-06	5.68796522596e-05	0.083177	0.0227017	0.006918413329	0.0005153671828899	7.38021e-05	-0.0002498769	5.44674996441e-09	6.243846515360999e-08	0.000243308	3.115e-05	5.9198782864e-08	9.703225e-10	0.000394994	3.036e-05	9.217296e-10	1.5602026003600005e-07	0.0
9596.248894815984	-20.91644600733161	437.4977135776186	92087992.851257	6765.290338666608	-48.17083702245691	45769153.36645574	2320.429539444105	6020.200093562474	-9.847193006909038	96.96721011531824	36242809.16652962	6014.4178996050405	9907.489288074268	1.089008	41.748734	0.082919935	0.0407392	-0.2078935441	-0.0297139497	-0.1041231643	-0.0160466487	0.0694491945	0.0755336427	-0.027127052	-0.2356075232	0.1201714208	-0.0903666756	0.0707141793	0.031854771	0.1516849996	-0.180326865	0.0365921424	-0.0368703888	-0.0496333254	0.0381811734	-0.1530796599	0.0558450819	0.019208886	0.129436207	0.1351320547	0.072229954	-0.1548694651	0.0342068303	0.077089258	-0.0432348404	0.0356473373	-0.0660738968	-0.1411645765	0.0534817955	-0.0440909784	-0.2255824404	-0.0255233921	0.0054075946	-0.0263937526	0.0989878376	0.0318497721	0.0093750871	0.1774022754	-0.0375084449	0.0460188408	0.2332421372	-0.0168218494	0.0391103484	-0.0687669259	-0.0065774426	-0.1048579976	-0.1269816006	-0.1361612617	0.0506335221	-0.0444046349	-0.0645219648	0.1059737285	0.0052870374	-0.0026541372	-0.1789275195	0.018607367	0.0859504181	0.0411013175	-0.0415108406	-0.1904948109	-0.1127097437	0.0404711645	0.0770282895	0.1070150605	0.0349441596	0.0291278023	-0.0133930751	0.1406802803	0.0507222984	0.0775932623	-0.0776330995	-0.0890688342	-0.0876785469	0.045161971	0.0417406052	-0.0076033367	0.0930330976	-0.0010290395	0.004262232	0.0959408669	-0.1558102273	0.0695765458	0.0865321199	-0.0111005359	0.0551781675	0.0082218592	-0.1595359429	-0.0127665455	0.0450635978	-0.2426906103	0.0499672664	0.1225331334	0.0167819952	-0.053739585	0.0983516033	-0.0137819922	-0.0154458796	-0.1634362184	-0.0168342257	0.0483392755	-0.1130783916	0.1025992525	0.1362671836	-0.0967923285	-0.026287224	-0.1041288974	0.0215602156	-0.0295081355	0.0790462928	0.0297862043	0.0420498476	0.0578985331	-0.1729573805	0.0177710258	0.0713112245	-0.0746565029	0.1415462154	0.0159681616	-0.1874763581	0.0469510214	-0.0388422798	-0.0191506509	-0.1247766937	0.0598257471	-0.0752397561	-0.0822992661	0.0011790976	0.0277873729	0.1085859215	-0.0544479538	0.0051895871	0.0584442721	0.0203319584	0.1265000048	0.0365038417	-0.0296623941	-0.0776132757	-0.1462862957	-0.1781878701	-0.1445923053	-0.0070978123	-0.0161413272	0.1016008272	0.0431409983	0.0184199274	-0.0745427549	0.089702975	0.0686512143	0.1335364424	0.0342757741	0.0636225462	0.0159155424	0.0611919082	-0.018374036	0.0709841951	-0.041410401	0.0828370551	-0.1141123556	0.0422172019	-0.0341694451	0.0765238508	0.0572389004	0.118496684	0.1179527935	0.1170481578	-0.0393165	-0.0122978999999999	0.0001512383444099	0.0015457871722499	-0.0289039	-0.02136204	0.0004563367529616	0.00083543543521	0.0647448	-0.0184321999999999	0.00419188912704	0.0003397459968399	0.000561654	0.0004878518999999	3.15455215716e-07	2.3799947633360998e-07	0.000150231	-9.3077e-05	2.2569353361e-08	8.663327929000001e-09	0.000430621	3.562699999999999e-05	1.269283128999999e-09	1.85434445641e-07	0.0
9595.69143032838	-0.5574644876051025	0.3107666549408194	92077294.0260775	6770.1829408511085	4.892602184500902	45835377.05259136	23.937556135782994	6032.803975472709	12.603881910235032	158.85783920714988	36394723.80647932	6025.048730231721	9883.0715535236	1.075917	41.246861	0.087303	0.0430595	-0.2117982062	-0.1564094763	-0.009897887	-0.0649714279	0.080724407	0.0294544405	0.1875853879	-0.0253198479	0.0263839381	0.013215346	0.2170150188	0.072662547	0.0897305905	-0.0751383664	-0.021218734	0.0529338526	-0.0242015436	0.1595408853	-0.0182920371	0.0149082278	0.0032449369	-0.1971197462	-0.0769159339	-0.0649943299	-0.1519383766	0.0896340175	0.1317545085	0.0930937811	-0.0327807136	0.0534365616	-0.1502366533	0.0463042565	0.0303205729	-0.1810185046	-0.0603838108	-0.0155857514	-0.0478829931	0.0082942428	0.0496776976	-0.0611411038	0.0089634804	-0.1470619734	-0.2159045317	-0.2250491679	0.0713004157	0.0311159619	-0.0851197355	-0.0489940563	-0.0596897952	0.0359090168	-0.0159005602	0.0353920042	0.1713590463	-0.0085549285	0.0521571181	-0.2153805015	0.0800928557	-0.070334028	-0.012318224	-0.0684337661	-0.0958153346	0.0113046465	-0.0503384118	-0.1301146868	-0.0134356469	0.011891898	-0.0576865799	-0.1274373497	0.0030657657	0.0162203836	-0.0436228429	0.1198350291	0.1091817949	0.0238276587	0.0645144382	0.014536703	0.0902901946	-0.0115926159	0.0436865932	-0.0933373846	0.0900890732	0.0218931462	-0.0441835903	-0.1416300713	0.1788138324	0.1208139278	-0.0067849047	-0.0866311375	0.0721437275	-0.0872397395	-0.0518240338	0.1507127019	-0.1224531305	0.044286364	0.020683512	0.1562120452	-0.0901857155	0.0568462404	-0.0841787284	-0.0314158887	0.0485660569	0.1073779583	-0.11937957	0.2896830908	-0.0090962319	-0.0770742728	0.01524909	-0.1006730399	-0.0186938422	0.0066136797	-0.0311336525	-0.1657951145	0.1232332011	0.0153547882	-0.0097327236	-0.0306161304	0.1233905924	0.0374312903	-0.1436332224	0.1283758133	0.0545716818	-0.0307276688	-0.0417860496	0.1033640967	0.0420782687	0.0411710517	-0.0034044656	-0.0489015483	-0.0209635922	0.0682059038	-0.0439526243	0.0123340839	0.0550359927	0.1132473106	0.1186168775	0.015376148	0.0836156678	-0.0436611515	0.1097052665	-0.0350064719	0.0087083257	-0.1834945784	-0.14243829	-0.0283749992	-0.1175678058	0.0557384512	-0.0065699245	0.0387380623	-0.0618097506	0.080807879	-0.0976398876	0.1160344194	0.0155483053	0.0820137549	-0.0786864319	0.1285422498	0.032585407	0.0197188087	0.0902652466	-0.0609769537	0.0423316517	-0.0559034752	-0.079987238	-0.1496620442	-0.0172813035	0.1183225485	0.1172578276	0.115490384	-0.0315207	0.0077957999999999	6.077449763999998e-05	0.0009935545284899	0.00391755	0.03282145	0.0010772475801025	1.5347198002499996e-05	0.0807029999999999	0.0159581999999998	0.0065129742089999	0.0002546641472399	0.000222611	-0.0003390429999999	4.9555657321e-08	1.14950155849e-07	0.000179048	2.881700000000002e-05	3.2058186304000014e-08	8.30419489000001e-10	0.00018393	-0.000246691	6.0856449481e-08	3.3830244900000006e-08	0.0
9586.57756566527	-9.11386466310978	83.06252909748115	91902469.42251664	6736.895337116669	-33.28760373443947	45385758.78326432	1108.0645623810688	6018.556823544725	-14.247151927983396	202.98133805904095	36223026.23823678	6014.940762917443	9903.257874746883	1.106033	42.401398	0.0758414	0.0371867	-0.2113830819	-0.0906585154	-0.0949948302	0.0899445944	0.0947446056	-0.0314778663	-0.0472037949	-0.1258430185	-0.1458489981	-0.2527864981	0.0582732647	0.0895052637	0.1786767212	-0.0272183651	0.0762254208	0.0407302008	0.095690515	0.0021124715	0.0256328681	0.0506848925	0.0897399163	0.1192355776	0.0194778447	0.0935192155	-0.1781112615	-0.0746882011	0.184569831	0.0311136533	0.1390944577	0.0253518065	-0.0041119534	0.1185131644	0.0852360291	-0.1932468544	-0.0106233537	0.0733047965	0.1694242497	-0.0935032002	0.0941257294	0.0777648498	0.0559154112	-0.0191322184	-0.0284039287	-0.1276516469	0.0719645714	-0.2054565271	0.1160933391	0.1128949296	-0.1033512602	0.2188847963	0.1068209319	-0.1314967696	-0.0647515576	0.0197734812	-0.066818268	0.0831234231	-0.1025602575	-0.0950707861	-0.0150547935	0.1117549917	0.0236279319	-0.0916885484	-0.0037775611	0.0323388264	0.0086288686	-0.0957991617	0.0509242357	-0.0577742824	0.0988787052	-2.88021e-05	0.0144570751	0.0025540529	-0.0759405839	0.0086233286	0.0430363346	0.0694378487	-0.2387179961	0.0562863842	0.0452232599	0.0282401916	0.0340935516	-0.0214716749	0.1150717969	-0.1351505951	0.0473329466	0.2105245126	0.1148400485	0.0508132957	0.0250947169	0.0256313177	-0.1537327311	0.1770589956	-0.0832033081	0.1413653235	-0.01454502	0.0778349362	-0.0669785329	-0.0512203591	0.0936302446	0.1344065502	0.0628230835	-0.0735115707	0.0933858666	-0.03979637	0.0749760508	-0.243362764	0.1158595183	-0.1136896806	0.1379474413	-0.0703888578	0.1340347656	0.1317265564	-0.045039589	-0.0522362286	-0.0298492434	-0.0710860739	-0.125497418	0.117567754	0.0291484905	-0.1344804501	-0.0161839798	-0.0444168102	0.0617781993	0.1342276031	-0.0983387825	0.0525338894	-0.0400830046	0.1437230531	-0.0521948981	0.0807977357	-0.0135336003	-0.0723858986	0.0261118183	0.0953056894	-0.1385915644	-0.0635473382	0.0093742098	0.0794080489	0.0477349367	0.0827773314	0.0693694091	-0.1810069645	-0.1278888912	-0.0027737446	-0.0454478164	0.0885818115	0.1047764596	-0.0691003242	-0.0814015192	-0.0037667767	0.052269404	0.0320809736	0.0860867501	0.0395030574	0.1179482088	-0.009003792	0.0131426487	-0.1066225289	0.0808150823	-0.0138357947	0.0463729611	0.0357711236	0.1118675145	-0.1073639264	-0.0032838138	0.1180905004	0.1163333239	0.1134240387	-0.0264129	0.0051077999999999	2.6089620839999992e-05	0.00069764128641	-0.0261768	-0.03009435	0.0009056699019224	0.00068522485824	0.0698119	-0.0108910999999999	0.0048737013816099	0.0001186160592099	0.000464393	0.000241782	2.1566085844900002e-07	5.8458535524000014e-08	0.00034644	0.0001673919999999	1.200206736e-07	2.8020081663999998e-08	0.000369719	0.000185789	3.4517552521e-08	1.36692138961e-07	0.0
9610.197325239678	23.619759574408818	557.893042352877	92355892.63004386	6816.351815504652	79.45647838798322	46462652.072733566	6313.331957820045	6039.127196894139	20.570373349413785	423.1402597342729	36471057.30026646	6031.308551761876	9836.758533179018	1.142395	43.795376	0.12460935	0.0675171	-0.2325035548	0.0158905534	-0.128957612	-0.0635381751	0.1224999762	0.1249044063	-0.0382793218	-0.071299577	-0.1219597333	-0.0472885687	0.0589112074	-0.0752659214	0.1640671363	0.205440788	-0.0946002853	0.0484411441	0.0249299197	-0.0298495686	0.0335843714	-0.1016423752	0.0253261465	0.1091161209	0.1507796503	-0.1530003219	-0.3104673604	0.0522939046	0.00283799	0.157822104	0.0615823758	0.1105623874	-0.264091626	0.0565774265	0.0004715079	0.0535532644	-0.0274817569	0.0104170734	0.1121819649	-0.0852657096	-0.103556977	0.1250707015	-0.0084347317	-0.0934501934	-0.0503334501	0.0798449365	-0.0604809878	0.0371302492	0.080256634	-0.0446437153	0.0981980129	0.0113417898	0.0971519549	0.0701762112	-0.0883133647	0.1720542468	0.0361793833	0.0120797728	-0.0438519907	0.1238131582	-0.0738375208	-0.0428706623	0.059095113	0.1846287025	-0.0043251621	0.0734693288	0.005166799	-0.078933224	-0.0393044059	-0.0203039034	-0.0832996856	0.0687557234	-0.0915703551	-0.0374793701	-0.0761993321	-0.0138014619	-0.0566336792	-0.0511767404	-0.0202358132	-0.0304528719	0.0225609634	-0.0282475286	-0.0901080932	-0.1178784549	-0.136732991	-0.2997184006	0.1351942342	0.0387626909	0.0949029912	-0.1205285539	-0.0195670624	-0.2068870033	0.0806721196	0.171413087	0.0482182791	-0.0651885141	-0.0097725068	-0.043175778	0.0915506451	-0.1081238507	0.1635238774	-0.0637280226	-0.142699277	-0.0293474493	-0.0321271636	-0.0193393019	0.0045301016	0.0014489949	0.0964014879	0.0474337934	0.0200266321	0.0026111735	0.1204131219	-0.0554716232	0.092451862	-0.0850816276	0.1313116377	0.1481004689	-0.0244145396	-0.125310033	0.1654194481	0.0589329414	-0.1094898015	0.035915349	-0.0122928036	-0.0241340393	0.0402677596	0.0408971024	-0.0699163833	0.0486989541	0.0894142954	-0.0738414436	-0.0712128061	0.0029335343	0.0562751667	-0.0557102469	0.0137737052	-0.0544964041	0.0222367958	0.0736563255	-0.030816393	-0.0275252383	0.0541726715	-0.1837716372	-0.1052601513	-0.0784565492	-0.0139339779	0.1101832939	0.02830587	0.096655122	0.0222573662	0.0909514208	0.0497460899	-0.0866035313	-0.0115626763	-0.1675543569	-0.1277795146	0.1316408121	-0.2288610322	0.1076918693	0.0099821373	-0.299416586	0.0168854052	0.2562559864	-0.062488488	0.0092367339	-0.0447917431	0.1178006533	0.1151810923	0.1108582214	-0.0253594	0.0010534999999999	1.1098622499999977e-06	0.00064309916836	0.024629	0.0508058	0.00258122931364	0.000606587641	0.10655	0.0367381	0.0113529025	0.00134968799161	7.4899e-05	-0.000389494	5.6098602010000005e-09	1.51705576036e-07	0.000501921	0.000155481	2.51924690241e-07	2.4174341361000004e-08	0.000194455	-0.000175264	3.0717469696e-08	3.7812747025000003e-08	0.0
9599.167719687155	-11.029605552523208	121.65219864425076	92144020.9106839	6768.305089420303	-48.04672608434885	45809953.783472784	2308.487887424448	6011.957384013143	-27.169812880995774	738.1987319883241	36143631.58719016	6008.434250390083	10040.986739681468	1.27939	49.047291	0.1108112	0.0601	-0.1903653122	-0.0296506897	0.0527392808	-0.0261537561	0.0948464704	0.0320147587	0.0637316767	-0.0567860689	0.0338891922	-0.1483607459	0.1092251413	-0.0065375247	0.0065831367	-0.0547028145	-0.0173163551	-0.0515580189	-0.080026081	0.2642998453	0.1020946073	0.0784426707	0.1432306441	-0.1812687834	-0.0460011185	0.3565204846	-0.040635497	0.1700737552	-0.1382161533	-0.0439160135	0.1029199887	-0.0873340588	-0.08276586	0.1068466747	-0.1001292533	0.1260412394	0.0217737261	-0.1235733869	-0.0481400924	0.0345422088	0.0027233416	0.0107282644	-0.1482847402	0.1930652143	0.0432704682	0.0076496027	0.005708032	0.0043814704	0.1409768799	-0.0520286177	-0.1006716271	0.1666067991	0.0973632837	0.0609544747	0.0072652008	-0.0969590245	-0.0929731761	-0.0104377916	0.2021177019	-0.0189141034	-0.0445554051	-0.1140953011	-0.0319474144	0.1050829798	0.0805357843	-0.1125342537	-0.0462789702	0.0117557618	-0.1606639079	-0.0441014622	0.2089375063	0.13781464	0.0478456981	-0.0221849354	0.0297773545	-0.030360767	-0.0449700304	-0.0211643722	-0.0157196764	0.0974413986	0.0175812407	0.0125412329	0.0064819434	-0.0501897471	0.3453865388	-0.0492581975	0.0731651519	-0.1421422806	0.0592696169	0.1734210773	-0.0352212383	-0.076781682	0.1742908479	-0.0178503396	0.1113214817	-0.1207377415	-0.094550244	-0.084604864	-0.0862593095	0.0414617646	0.0208081153	0.1161805257	0.1353311869	-0.0578523677	-0.1090764557	-0.060543387	-0.0203020807	-0.0146142283	0.1565590952	0.0232186179	0.0294940599	0.0428558984	-0.0196344501	-0.1569799879	-0.2713194203	-0.1010505742	0.0538756339	-0.0571353311	0.0228358679	0.0166638158	-0.0024968148	0.094395505	-0.0319199424	0.0877945574	-0.1805442392	0.2081836876	0.1427786215	0.0057729504	0.0414324823	0.0116439007	-0.0995557343	0.0250340847	0.1183232163	0.0798037551	0.0100574448	-0.0251061044	-0.0181583285	0.0250110114	-0.006372848	0.1248006161	0.0823410078	-0.0393124906	-0.0840884337	-0.1831110165	-0.1191764034	-0.002606228	-0.0217036883	0.0586176403	-0.0325263064	-0.073773099	-0.0367998364	-0.0471718217	-0.0592622964	0.0423431933	0.0237019249	-0.0122072267	0.1127896668	-0.1755767254	0.1687490325	-0.3630968292	0.0754755117	-0.0950265573	0.0273896904	-0.2469312334	0.2001748665	-0.0682646591	-0.2054305628	0.117453149	0.1138033884	0.1078042307	-0.0227943	0.0025651	6.579738010000004e-06	0.00051958011249	-0.0260785	-0.0507075	0.00257125055625	0.00068008816225	0.0808698	-0.0256802	0.00653992455204	0.00065947267204	0.000314869	0.00023997	9.914248716100001e-08	5.75856009e-08	0.000304173	-0.000197748	9.252121392899998e-08	3.910427150400001e-08	0.000393905	0.00019945	3.97803025e-08	1.55161149025e-07	0.0
