global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
9562.598589134292	n/a	n/a	91443291.77691317	9283.156542834522	n/a	86176995.39877139	n/a	6876.634522656266	n/a	n/a	47288102.35818797	7256.651621033007	7869.444606826712	n/a	n/a	n/a	n/a	-0.0718749493	0.2408096682	-0.2874528581	0.1975191366	-0.0101713171	0.0969133744	-0.570256033	0.0511884837	-0.0341358748	0.0226876201	-0.2152632407	0.0531062492	-0.2278690527	0.2427291678	0.4379749475	-0.0563301783	0.1346460209	-0.4506421115	0.2444484647	-0.0308510724	0.1018123417	-0.2514247331	0.1645561057	0.1195727236	-0.0450746718	0.0662069834	-0.048088609	0.0896721518	-0.0014150703	0.0568234446	-0.0445380555	0.0289502175	-0.0544662416	0.038371893	-0.032088313	0.0540278984	-0.0856961315	0.0384313276	0.0196464704	-0.0069362308	-0.0087238551	-0.0019032919	0.073965741	-0.0450061025	0.0373330713	0.0291060875	-0.076251769	0.0845560535	-0.1323540182	0.0125705535	-0.0928864155	0.0787222422	-0.0115797451	0.0699805051	-0.0031255811	0.1765330354	-0.0170611961	0.0189403267	-0.0660671981	0.1113010164	-0.0307607495	0.0038245244	-0.0253262625	0.0258350867	-0.0421706788	0.0491989076	-0.0194576181	-0.0494092806	0.01937618	0.0490027359	-0.0297000971	-0.0492642937	0.0025215996	0.0127182208	-0.0462124997	-0.0005120417	-0.0846870656	0.0531858132	-0.090608077	-0.0815679206	0.0377378355	0.0466999632	0.01647142	-0.0574530297	-0.0002673013	-0.0740581278	-0.0312239632	0.1333924572	0.0925794571	-0.0050883474	-0.0323188333	-0.0113816856	-0.0047539574	0.0311234973	0.0128029583	0.0315031206	0.0222248744	0.0338442876	-0.1205001593	-0.1383498874	0.1172346178	0.1378007748	0.0235019042	-0.092470433	-0.0418720979	-0.0292431814	0.1107398215	0.0878489396	-0.0622901925	0.07385824	-0.0517045976	0.1621588058	-0.1743314867	-0.2328087184	0.0550010748	-0.2376779939	0.0632906487	0.0795690824	-0.0294289223	0.2650177495	-0.1475851647	0.1057710271	-0.1595330015	0.0201649985	-0.1956673444	0.0190893068	-0.0625183881	0.1196017159	-0.0893182157	0.0910592405	-0.0024688206	-0.0193443189	0.1039792605	0.1725190971	-0.0939090793	-0.07729337	0.1383678337	0.0074673171	-0.1293379462	0.1281194072	0.0360171185	-0.1779846574	-0.0738994522	0.0824634419	0.0587857602	0.00457497	0.0294884656	-0.0174016555	-0.0500281432	-0.0767122612	0.0026089738	0.0317123421	0.0213099428	0.0172274913	-0.0880667421	-0.0793137076	-0.0541876612	-0.0296266823	0.0672124926	0.0331711421	0.1032353314	-0.0778068222	-0.0179909537	-0.0001403951	0.0077347656	0.0511240891	0.0601581779	-0.0377288205	0.0513242718	-0.0039543153	0.1133657722	-0.0300570109	0.015057177	-0.0909086524	0.1396595547	-0.1774563386	0.0799960057	-0.1332559398	0.0808747373	-0.0382880689	0.2011854087	-0.0333011781	0.0902071035	-0.2015754813	0.1676818041	-0.1429618974	0.0300801481	-0.0042588795	0.1408941419	-0.2176540609	0.0688304414	0.1186709048	0.1186491225	0.1186128217	-0.000238505	n/a	n/a	5.6884635025e-08	0.00511758	n/a	n/a	2.61896250564e-05	0.0397447	n/a	0.00157964117809	n/a	-0.000477635	n/a	n/a	2.2813519322500002e-07	-0.000747548	n/a	5.58828012304e-07	n/a	0.0	n/a	0.0	n/a
9542.63676813208	-19.96182100221085	398.4742977243063	91061916.48850629	9060.38479447304	-222.7717483614815	82090572.62391828	49627.25186803124	6866.043804084312	-10.590718571954312	112.163319870338	47142557.51960457	7210.759524675655	7869.324098724506	1.128645	45.238022	0.039124635	0.0239113	-0.0739791623	0.2601303116	-0.0421334968	0.1259839136	0.0003874291	0.1247855102	-0.3482114161	0.0530005741	-0.0163586844	0.0458170296	0.13093909	-0.0701275216	0.0044514596	0.0633722916	0.0557935834	0.1198837697	0.0442976026	-0.1049361886	0.1725872449	0.0596955906	0.1544129375	-0.0390366368	0.0991591246	0.0544835722	0.0164979204	-0.1816009203	0.0710908952	0.1020910512	-0.0841824232	-0.0183928369	0.0817837694	-0.0394335605	0.0550369955	0.0196435561	0.0121188307	-0.0146513685	0.0317271072	-0.0101134897	-0.0128838424	0.1114158638	-0.093930713	0.0237560201	0.0014955173	-0.009171556	-0.0411074769	0.1129995726	-0.1285180444	0.053091019	-0.0786297503	-0.1317442554	0.0289206858	0.0505110056	-0.0478394738	-0.0369445154	-0.0746715428	0.0835833883	0.0008797513	0.075855923	-0.0295418857	0.0012672434	0.0202401984	-0.2048196669	0.0441031703	-0.012894553	0.163629758	0.1188827629	-0.0356035354	0.0569959199	-0.0005641962	0.0613626052	0.0466013646	0.0080584628	-0.0243888082	-0.0408671674	-0.112798259	0.0431842387	-0.1547742352	0.0111685251	-0.0438673906	-0.0687137246	0.0285574392	0.0026910096	0.0536643271	-0.0086668572	0.0151389775	0.0856615083	-0.0223906146	-0.0417482291	0.1499557579	-0.0195138995	0.0597549111	0.0923626099	-0.0213483566	-0.0003131891	0.0040085399	0.0247879772	-0.0908915865	-0.0338253257	-0.0504217097	0.0021133136	0.0335471313	0.1276121494	-0.2242113683	0.0798814354	-0.0414355596	-0.046642783	0.2346532185	-0.023824931	-0.0349685378	0.0008963226	-0.071493571	-0.1283239175	-0.1055898514	-0.1261938342	-0.0541887911	-0.1326818328	0.0793798009	0.0463644966	0.0173115227	0.077114315	-0.0305006355	0.0680465163	0.0101312318	0.0806705157	-0.1198966417	-0.0773422359	0.1168040487	0.1095246604	0.0609993266	-0.0142112895	0.0839205466	0.0413778878	0.1514937523	0.0363864956	-0.0217487796	-0.088593509	0.0428211777	-0.0008926887	-0.1615193897	0.0484987412	0.0469588905	0.0118709206	-0.0003867736	-0.0423602929	-0.0004475042	-0.0753971624	0.0898609647	-0.0691662634	0.093544605	0.098462919	0.1588106193	-0.0985054881	0.0208784876	0.036261152	-0.0207641386	-0.0030570558	-0.1294230394	0.0205652823	-0.0863918977	0.1326292364	0.0217263825	0.0826290632	0.0149923578	-0.0425489153	0.0491834785	-0.1245101661	0.0919186425	-0.0024028395	-0.0022281657	0.1404849668	0.0519341335	0.0197624862	-0.1305952603	-0.0155935787	0.0610011431	-0.1899425011	0.0572399257	-0.1190756315	0.0858795354	-0.071701468	0.1751663382	-0.0054141671	0.1117789826	0.0795068383	0.0790955532	-0.0143040175	0.081931481	0.0037485445	0.2353214014	-0.1855782509	0.1578212425	0.1186128217	0.1184168613	0.1180905004	0.0064372	0.006675705	4.4565037247025e-05	4.143754384e-05	-0.0165237	-0.02164128	0.0004683450000383	0.00027303266169	0.0328156	-0.0069291	0.00107686360336	4.801242681000001e-05	-0.000408215	6.942e-05	4.8191364e-09	1.66639486225e-07	-0.0007556989999999	-8.150999999900006e-06	5.710809786008489e-07	6.643880099836989e-11	0.0	0.0	0.0	0.0
9557.490875055282	14.85410692320147	220.64449248590185	91345631.826765	9008.454351632476	-51.93044284056487	81152249.80544609	2696.770893617175	6870.217257428283	4.173453343971232	17.41771281430466	47199885.1642654	7207.310846277185	8186.657840193648	1.184968	47.495533	0.0759512199999999	0.0488876	-0.0143657276	0.1754902488	-0.0056698915	-0.1029469106	-0.0230423333	0.0646847186	-0.1557630412	-0.0177255343	0.080862386	0.068987864	-0.0549256781	0.0530388334	0.0674823831	0.0889317624	-0.0902652725	-0.0087433191	-0.024524695	-0.028024755	-0.0110719557	-0.0411286842	-0.1122393706	-0.0449477379	-0.1239775026	0.0069307459	0.0308184716	0.1134899784	-0.0183666947	-0.0228646301	0.0969563286	0.0152066823	-0.1513959143	0.0170352372	0.1378929692	0.1890064318	0.014451386	0.0296649739	-0.1036076999	-0.1859267555	0.0630748581	0.0676305536	0.0303190654	0.0395333631	-0.0016070952	0.0327716455	-0.0488230794	0.0562244975	-0.1153730206	-0.1180970799	-0.0257444962	-0.0814632907	-0.1009581092	-0.120642537	-0.1347428301	-0.0049021743	-0.1339137983	0.0317140886	-0.0204762274	-0.0872108133	0.0323757142	-0.1280291658	-0.1500812063	-0.08182871	0.0061232858	-0.1141313643	0.2686544618	0.126463469	0.0100221175	0.0414197926	0.0157174346	0.1378149392	0.1072991996	0.1410585058	-0.0447225096	-0.126186502	-0.1393804036	0.0011007811	0.0929968358	-0.0247041438	0.0216447766	0.0152883252	0.0915788462	-0.0427072394	0.1742647898	0.1506422735	0.0197852048	-0.08244159	0.0158649791	0.0845826465	0.0698398779	0.0848447345	-0.0847376735	0.0492364161	0.0231975661	-0.0131007713	-0.112895209	0.0623144293	0.0875842088	0.0445846712	0.0228260377	0.0511691793	-0.1916008721	-0.1214188479	0.0091161568	0.2049697214	-0.0191452504	0.0392774684	-0.0193171839	-0.1025196867	-0.0361037136	-0.140765996	-0.0174678836	0.0679556364	-0.0598492493	-0.0011135223	-0.0951485789	0.0677524996	0.0827831554	0.0641822995	0.1565198339	0.0874006784	0.0580157177	-0.0373559013	-0.0692330336	0.0307610285	0.0482342293	0.1305812028	0.1155501735	0.1340500568	-0.0531627371	-0.11087953	0.0548860251	0.0508982367	0.1987826511	-0.2137167158	0.0504954781	-0.0374840705	-0.207844918	0.0255281432	-0.1272780925	-0.0106862251	0.085046999	0.1263712605	0.0919127654	0.0766230698	0.039901467	0.0342056881	0.115691412	0.0056857728	0.0425504817	0.1258217102	0.0485823615	0.1675047542	-0.1500470757	-0.0594203722	0.079906619	0.0702124765	0.1397104724	0.0895559329	-0.139862718	-0.1103161255	0.0618960571	0.0545503249	-0.0501282922	-0.0634867323	-0.1343421056	0.020315179	0.0301852711	-0.0868657839	0.0744003621	0.0101226355	0.0599074129	-0.0014097795	-0.0880316854	0.1220068437	0.104881614	-0.1878797144	-0.0334500737	-0.1249882403	0.0979196467	-0.1065643468	0.1037504014	-0.1674989504	0.1560278217	-0.0108263272	0.0072131521	-0.0200051817	-0.0750248103	0.0287653688	-0.0437139481	-0.1095383497	-0.0224701061	0.118496684	0.1179527935	0.1170481578	0.00622478	-0.0002124199999999	4.512225639999984e-08	3.87478860484e-05	0.0296694	0.0461931	0.00213380248761	0.0008802732963599	0.033513	0.0006974	0.001123121169	4.863667600000011e-07	-0.000664476	-0.000256261	6.5669700121e-08	4.41528354576e-07	-0.000868153	-0.000112454	7.53689631409e-07	1.2645902116022485e-08	-0.000208251	-0.000208251	4.3368479001e-08	4.3368479001e-08
9568.58044206714	11.08956701185707	122.97849651046856	91557731.67630976	8933.623204776566	-74.83114685590954	79809623.56492232	5599.7005397707	6877.907351598207	7.690094169924123	59.13754834230099	47305609.53716867	7202.601598409608	8641.476311305174	1.204455	48.276619	0.09708185	0.0532227	0.0158944916	-0.0298859936	-0.0961956051	-0.1369847737	-0.0360107055	0.0965401757	0.0888915631	0.0100980967	-0.1135047485	-0.0209552683	0.0497859822	0.1437044835	0.0336134709	-0.0697828127	-0.02554741	0.0593925014	-0.0645637695	0.0267359945	-0.0072597325	-0.11878109	-0.0562995502	0.0251370513	0.0542899843	0.0129132503	0.1287897498	0.0267770148	-0.1585101881	0.1577445048	0.1832936624	0.1166921377	-0.0691158867	-0.0142477244	0.0771349624	0.0606028004	-0.1233192309	-0.1326524149	0.0918718615	0.0017017224	-0.1032977299	-0.0175480976	0.1066934503	-0.0096257803	0.0740288097	-0.215282873	-0.0191240407	-0.0146955821	-0.0236596639	-0.1240779999	0.0030567638	0.0881473077	-0.026040068	-0.0450999169	-0.0193328613	0.0967157737	0.0726826532	-0.0818744369	0.1026755321	0.0268590066	-0.2107951538	0.1861431241	0.0379453001	0.0550751374	-0.0240980109	0.0504508793	0.052845538	-0.023708444	0.0126449829	0.1901537573	0.0445705991	0.0284028748	-0.1740756693	-0.0036856602	-0.0870214769	0.0909950539	-0.1240867994	0.0404607561	-0.0190300752	0.0002126525	0.1636104969	-0.109594904	0.1084875168	-0.0681722963	-0.0349945783	0.2478801545	-0.0189891152	-0.0500676411	-0.0530079565	0.0970545875	0.0945627281	-0.0059533408	0.0148283908	0.0697669304	-0.141141206	0.1611171803	0.0142743322	-0.123107821	0.183447317	0.1434717161	0.0766348273	-0.045566876	0.1222452668	-0.0999009737	0.1278574263	-0.027839455	-0.0501846341	-0.1094707431	0.0222640068	0.0881707921	-0.0113308102	-0.0553374292	0.1356504211	-0.0390921046	0.0019873479	0.027287905	-0.0838742048	-0.0593095988	-0.021238697	-0.0733884902	0.1488386621	-0.0525854219	0.0833223896	-0.0060622481	-0.0694306414	-0.1680238845	-0.056228632	0.076267883	-0.1437856457	-0.1848810591	0.0372542784	0.0020167041	0.154364375	0.0174813886	0.1370120362	-0.1130373094	-0.1690917347	-0.027160105	-0.0079956242	0.0963317996	-0.1763331972	-0.0277403112	-0.0889449703	-0.1783087118	0.0873386332	-0.0670765661	-0.0806278732	0.0887266845	-0.0477351493	0.1239705875	0.1075472844	0.0081568427	0.0482214194	0.0367687485	-0.0360026436	0.0241785194	-0.0216506457	-0.1340609724	0.2846381996	-0.0198272212	0.1484724549	-0.0783386661	0.0384557165	-0.0646253882	0.0621219461	0.0174518758	-0.0388500494	-0.0289863607	-0.1010973225	-0.026198316	-0.0532099888	0.1000821838	0.0712854045	0.0371395548	0.1005897591	0.0340882106	0.0983596847	-0.1584822586	-0.0688115025	-0.089646469	0.0774124702	-0.0264048533	0.0237110332	0.0800930783	0.0527749726	-0.0152964731	0.0375530877	0.0703320427	0.1062727115	0.11367832	-0.0173323716	-0.0919209634	-0.0518330381	0.1183225485	0.1172578276	0.115490384	0.0102674	0.0040426199999999	1.6342776464399996e-05	0.0001054195027599	-0.0139187	-0.0435881	0.0018999224616099	0.00019373020969	0.00972947	-0.02378353	9.46625864809e-05	0.0005656562992609	-0.000334202	0.000330274	1.0908091507599998e-07	1.1169097680400003e-07	-0.0007797979999999	8.83550000001e-05	6.08084920803844e-07	7.806606025017669e-09	-0.000113528	9.4723e-05	1.2888606784e-08	8.972446729000002e-09
9551.17537408722	-17.405067979920204	302.9363913856436	91224951.02657013	8983.704494502665	50.08128972609848	80706946.44454737	2508.135580629417	6872.05409850743	-5.853253090776889	34.2605717446892	47225127.53281277	7203.219752162116	8561.316270796957	1.05435	42.260147	0.08160739	0.0421829	-0.0145953755	-0.00710345	-0.1549835225	-0.0389387012	-0.0852538045	0.052082388	0.1021601647	-0.0158396304	0.0127052062	-0.0300312847	-0.053702636	0.0179138468	-0.1124215633	-0.0211581039	-0.0610559071	0.1005178685	-0.0043201714	-0.0119262133	-0.1111639457	0.1001674569	-0.1040594587	-0.0110909718	0.0785229142	-0.1328317946	0.023081237	0.0367306057	0.0407844822	-0.0760995527	0.095257572	-0.2315978979	0.1416582224	-0.0460575184	0.0199654363	-0.0179324376	0.0543351958	-0.0443806555	0.0994971161	-0.0041092584	0.0371587781	-0.0552627737	-0.0966696674	-0.1250367178	0.0785660793	0.0094852689	0.0668434671	-0.0373843007	-0.0801708282	0.0319151634	-0.0426017767	0.1290585206	-0.0873330986	0.1327892859	-0.1094950328	-0.0158264613	0.0226539983	-0.0575416952	-0.0244831051	0.0609304706	-0.1305620825	-0.0089823043	0.0672255063	-0.0807213495	0.1013444785	-0.1172055169	0.0133755699	0.09218079	-0.0757723523	-0.0676270291	-0.0584174798	-0.0031945231	0.0681799373	0.0145946809	0.0317891684	0.0195037962	0.1021461216	0.1251256998	-0.1056060949	-0.0128020591	0.0023371947	0.113582028	0.0766614158	-0.030294034	-0.0035376756	0.2260157982	0.0873387525	-0.0265173951	0.0612534241	0.05524841	-0.005774542	-0.0710331858	0.1900619316	0.0065966283	-0.1501551589	-0.1499463426	0.0259093727	-0.0796017621	-0.2260585351	-0.1930296263	0.0062761715	0.0802403667	0.1930106252	0.0029133033	-0.0824900863	0.0414397026	0.1107398691	0.0983162229	-0.0842624506	0.0100432062	-0.0066362254	0.0955409571	0.072626066	0.0901369878	-0.057560543	-0.0545461298	-0.0439446784	-0.0494094349	0.0617531965	0.078798809	0.0836583508	-0.0733384578	0.030683594	0.0157270493	-0.0012031797	-0.0450550279	0.1086506905	-0.032078337	0.0481112101	-0.0646053427	0.1037331667	0.0088636842	-0.0950038839	0.0112735055	0.0190814154	0.0414889124	0.181022512	-0.2002400682	-0.0257079613	-0.0754405012	0.0358322352	-0.001684806	0.0136821872	0.0647709449	0.1419335753	-0.093089537	-0.0042446166	-0.1552266921	0.0867267649	0.0637970819	0.0906449667	-0.0996409141	0.0600565048	-0.0851488902	-0.1542807965	0.0117457136	-0.0607722742	0.1291867371	-0.0793388757	-0.0254465151	0.1280638449	0.0007355405	-0.1466347264	0.0125555428	0.0647199	0.0058179539	-0.0043737248	0.2043876068	-0.0234227952	-0.073783778	0.0746147822	0.010870611	0.0407118794	-0.0024985938	0.1286668485	-0.0421860047	0.0983318057	-0.2125673834	0.0304495001	0.0544340155	-0.005990309	-0.0216557685	0.0938879017	-0.0900827103	0.0956061489	0.0128349433	-0.0956187528	-0.0452933963	-0.0938036449	-0.0543128152	-0.1192572795	0.0911872231	-0.0301415603	0.1180905004	0.1163333239	0.1134240387	0.00669204	-0.0035753599999999	1.2783199129599995e-05	4.47833993616e-05	0.0215549	0.0354736	0.00125837629696	0.0004646137140099	0.0192101	0.00948063	0.00036902794201	8.98823451969e-05	-0.000666593	-0.000332391	1.1048377688100003e-07	4.4434622764900004e-07	-0.00100111	-0.000221312	1.0022212321e-06	4.8979001344044244e-08	-0.000221381	-0.0001078529999999	4.9009547161e-08	1.1632269608999996e-08
9539.568726102254	-11.606647984965091	134.71427744689427	91003371.48002818	8941.194164968065	-42.510329534599805	79944953.09565897	1807.1281171402684	6868.018778977305	-4.03531953012498	16.283803710208087	47169681.94838492	7192.737371727504	8423.036161531018	1.08733	43.58205	0.04596624	0.0315257	-0.0227144502	0.0420689953	-0.0907579396	0.0491606149	-0.0698933705	0.050386752	0.1890458892	-0.0112757039	-0.0996943908	0.0236509397	0.117087628	-0.0569676416	-0.0488915096	-0.0421306031	-0.0782887262	-0.0031234991	0.0348002872	-0.0147326281	0.1066008817	0.0197383503	-0.0621227926	0.0172340604	0.0157690787	0.0405107683	0.1110006319	0.07038484	0.083413255	-0.0173587538	0.0295360568	0.1018537001	-0.0607110779	0.0050382433	-0.1291877699	0.1509933605	-0.1290081657	-0.0228069311	-0.0800007903	0.002855091	-0.0044682399	0.0631722722	0.1109372026	0.0814487054	0.0521565817	0.0997750287	-0.0986032226	-0.097742564	-0.1104705051	0.11565348	-0.0774431353	-0.0707477516	0.0726333248	0.1065795894	-0.0249526603	0.2524584213	-0.0597889935	0.0175036099	0.0764246881	-0.0114492855	-0.0448181337	-0.1380859203	-0.2170994903	0.1941463297	0.1584356136	-0.099764076	-0.0747968906	0.0748981535	0.0591902352	0.0012914721	0.0543416737	0.1160947864	0.0520294664	-0.098977264	0.0703194903	0.038859401	0.0815145471	-0.112171506	0.0415732566	0.0671643041	-0.0219552296	-0.1278645024	0.000344477	-0.056801282	-0.010184374	-0.0341364669	0.0692141226	-0.0816809268	-0.005674324	-0.0361781025	-0.0995462286	-0.0589321493	-0.0704792948	0.0451591836	0.0475765331	-0.0742106294	0.1008957958	-0.1000049783	-0.050797131	0.0460807024	-0.0560050907	0.0253713774	-0.0548795136	-0.0103373621	0.054069827	0.0282802233	-0.0310209939	-0.0150459689	-0.0267074172	0.0790261041	-0.0829524958	0.0956552804	-0.0097592665	-0.1447085749	-0.0312188866	-0.055645923	-0.0801957964	0.0438897179	0.0716939607	-0.0509390862	0.1054045926	0.0996587719	0.0052967012	0.0392686451	0.0194671075	-0.0236865321	-0.0109713549	0.1539503894	-0.0636116748	0.2659255104	-0.1116155229	-0.0093729632	-0.1618751639	-0.0430313254	0.0162065168	-0.1113221769	-0.1418205814	-0.1225604701	0.0435899238	0.0254049192	0.1471483269	-0.091142094	-0.055820454	0.1109389764	-0.025146626	-0.0634145763	-0.048127809	0.055332906	-0.1823689939	0.0332676378	-0.0641142487	0.0205471565	-0.0580261409	0.0428966715	0.0329899761	-0.0486121081	0.1340728094	-0.005463944	0.0907792632	0.0641989995	0.0712607636	0.0822560068	-0.2033326696	0.0518067911	-0.0551329504	-0.0565608371	0.0130297912	0.1324709597	-0.069964548	-0.0063347985	-0.0224204928	0.1402357517	0.1089712408	0.0683800156	-0.0055581341	-0.1092186521	0.0760498147	-0.0790092303	0.0145022775	-0.1804196846	0.0536231999	0.047421844	0.0916901996	0.050455694	-0.086631514	0.0147421073	0.0844888814	0.1953245007	0.1037030523	0.0404843064	-0.1198125229	0.1243020475	-0.0748370479	0.1178006533	0.1151810923	0.1108582214	0.0059071	-0.0007849399999999	6.161308035999993e-07	3.489383041e-05	-0.00823315	-0.0297880499999999	0.0008873279228024	6.77847589225e-05	0.0190082	-0.0002019	0.0003613116672399	4.0763610000000564e-08	-0.000441837	0.000224756	5.0515259536000026e-08	1.95219934569e-07	-0.00101618	-1.5070000000000056e-05	1.0326217924e-06	2.2710490000000171e-10	-0.000285382	-6.4001e-05	8.1442885924e-08	4.0961280009999995e-09
