global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
9519.584785936482	n/a	n/a	90622494.49663334	9235.581232067489	n/a	85295960.69411723	n/a	6824.304929494043	n/a	n/a	46571137.7707167	7200.210885513369	8033.522311335883	n/a	n/a	n/a	n/a	-0.1503357016	-0.3182742859	0.015998769	-0.1664060914	0.2331995889	-0.1217750831	-0.1904231508	-0.0123210345	0.2373582563	-0.1165916326	0.4497385237	-0.1357414149	-0.1491253406	0.1877421809	-0.2856099204	0.3962765774	-0.132582945	0.1155726188	-0.107388597	0.0145603153	-0.1319754066	-0.0443732901	0.0198519125	-0.0389075153	0.0453431675	-0.1184945291	0.0918370377	-0.2118264349	0.0973572337	-0.013176523	0.0424142925	-0.0767996111	0.0612687298	-0.0095547271	0.0742555184	0.0120636949	-0.0498402907	0.0438776167	-0.0458091361	0.0030620709	0.012030605	0.0857462368	-0.0169098069	-0.0264084419	0.0018604798	0.0490891868	0.1616785986	0.0292257176	-0.0227081033	0.0271722431	-0.0439516833	0.030101106	0.1110973331	-0.1835920727	0.0847988697	-0.0596532577	0.2963153139	-0.0522220096	0.0269375579	-0.0078436956	0.1465229084	-0.0473030568	0.0204966319	-0.0709258672	0.1249975808	-0.0598373636	0.1871465232	-0.0070584128	-0.0296453389	-0.0654388293	0.0706142545	0.1440404048	-0.0190216196	-0.2185771533	0.0228459946	0.1175688547	-0.0242977058	-0.0460128525	0.089670977	0.0556686608	-0.0285435798	-0.0845650137	-0.0069646829	0.0261718026	0.1286758666	-0.0070637246	-0.0321818422	-0.0811442029	-0.0339956912	0.1269576992	0.1778608984	-0.1479517579	-0.0157258789	-0.1074416773	-0.0399611483	0.0036335122	0.0886742275	-0.0350539445	-0.0574942348	-0.0359404563	-0.0976655842	0.0227910459	0.0582939112	0.0144226147	0.0799217088	-0.1001225454	0.1502733197	-0.003507455	0.0263684686	-0.2247714654	-0.2088667319	0.3460934556	-0.1507484365	0.3171820114	-0.0006315013	0.377006123	-0.2436916381	0.0284106858	-0.0783421375	0.0352126095	-0.0769332483	0.0008004074	-0.0351019778	0.0290190482	-0.0310697596	0.0545697435	-0.1311649773	0.0091430229	-0.0241921663	-0.0243509161	0.1844407273	-0.0255108861	-0.1053735682	0.049170906	0.0248422802	-0.0264548902	-0.0699875674	0.0329623549	0.0505749048	-0.0078410071	-0.028115455	0.0373670284	0.1146478324	0.066334972	-0.0861589232	-0.0481619626	-0.0164620842	0.1061518768	0.0443038871	0.0237290905	0.0703816746	-0.0062695107	-0.0242912246	0.0950008876	0.0390539843	0.0434686403	0.0172035119	-0.0049482673	-0.0437804988	-0.1074635104	0.0345747816	0.0018368818	0.0461750092	-0.0014007378	-0.0398012257	-0.1620294392	-0.1163233772	0.1512487804	-0.081794619	0.0008091609	-0.0225419298	-0.0015035138	0.271748653	-0.0834994187	0.1225334606	-0.1018445804	0.0816447106	-0.0760989386	0.2269551897	-0.1836126901	0.099358153	-0.1843740861	0.0356540169	-0.0067653393	-0.0586390335	0.0875755256	0.0040508265	-0.071514576	0.1676561369	0.1186709048	0.1186491225	0.1186128217	-0.00905231	n/a	n/a	8.194431633609999e-05	-0.0110666	n/a	n/a	0.00012246963556	0.0310985	n/a	0.00096711670225	n/a	-0.000719468	n/a	n/a	5.176342030240001e-07	-0.000500525	n/a	2.505252756250001e-07	n/a	0.0	n/a	0.0	n/a
9491.39550666246	-28.18927927402183	794.6354659887966	90086588.66389234	8985.230964493056	-250.35026757443305	80734375.4852848	62675.256474590205	6819.09474251435	-5.21018697969248	27.14604836335705	46500053.10738686	7157.075200067986	7954.579236035165	1.12353	43.82954	0.0513499999999999	0.0264485	-0.1267460759	-0.3315917117	0.0977265465	-0.1387670555	0.304799205	-0.07847229	-0.0119443078	0.1135234215	-0.0021719028	-0.0558117314	-0.0186729377	-0.1299452518	-0.0055039817	0.1034213532	-0.0645519924	0.1250849339	-0.1827056231	-0.1549802754	-0.1023448885	-0.0333585906	-0.0598591193	-0.1307481574	0.0142948129	-0.0401021085	-0.1138540865	-0.0388028764	0.0481959702	0.0962403653	0.0672884506	-0.094210223	0.0036317536	0.231611518	-0.0017443738	0.0006537525	-0.1388413643	-0.0288908204	-0.0433210493	-0.0663335871	-0.0043031089	-0.0591524535	0.0497951085	0.0621386297	-0.0501034015	0.0636009894	-0.0769740997	-0.1285628353	0.2179836585	0.0903713115	-0.0289104781	0.1089618827	0.0012648375	0.0806005454	0.1247901191	-0.23605189	0.1366568121	0.0341500272	0.1046739778	0.0016621479	0.1198664206	-0.0799972182	0.1159060811	0.000358163	-0.013922457	-0.2490805998	0.1191090796	0.0449946849	0.0091528332	-0.0718696872	-0.0142239495	0.0841771837	-0.042830991	0.0884405818	-0.0386150624	0.1180372573	0.0116580026	0.2836976609	0.0761391283	0.0285522445	-0.1723885252	-0.2182013733	-0.038990519	0.0218724791	0.0396088998	0.0330887719	-0.0257603559	0.0178042502	-0.1191158582	-0.0698645918	-0.0056036773	-0.0510275554	-0.0829705531	-0.0870048836	0.0600341649	0.1132963802	-0.1739047249	0.0233508878	-0.0547582853	0.0729422849	0.0102917934	0.0902389	-0.0464639668	-0.133113474	0.1764326195	-0.1163922265	-0.0192586997	0.0160670273	0.0057226994	-0.0620324139	0.1112238138	-0.1200812986	-0.0826569535	0.2025684664	0.2054385024	0.1459718919	-0.0108329978	0.2197853447	-0.1121565512	-0.0911248399	0.0450955033	-0.0854190184	0.0992285483	-0.2033234117	-0.0173972283	0.0082791048	0.0693465068	-0.0266195342	-0.0494518831	0.0902588139	0.1749655529	-0.0222617893	-0.1553158408	0.0073093065	0.0417033725	-0.0627044854	0.0815021488	-0.1103612384	0.025756726	0.0726385584	-0.0338429978	-0.1489812932	-0.0301927464	-0.126149927	-0.049094738	-0.0955446938	-0.0892413207	-0.0368189862	-0.068168542	-0.1334656359	0.0765104027	-0.1208776104	-0.0278335624	-0.1523352508	-0.033215955	-0.0496978356	-0.239888482	-0.0003891736	-0.0138050183	0.0211536145	0.0746987441	0.141338808	-0.0613943631	0.0574054619	-0.0176450011	0.0834292063	0.0286865458	-0.1554660183	-0.1096942847	0.1098218067	-0.0782716846	-0.0470397074	0.0088401618	-0.0001130907	0.2320734938	-0.0580928433	0.1324109876	-0.0247528968	0.011649635	-0.1609194619	0.2225671593	-0.062578325	0.0043592392	-0.1459009319	0.0733479565	-0.0494550597	-0.0619291604	0.0941935511	-0.0180624928	0.1186231962	-0.0118790505	0.1186128217	0.1184168613	0.1180905004	-0.00637521	0.0026770999999999	7.166864409999995e-06	4.06433025441e-05	0.0114276	0.0224942	0.00050598903364	0.0001305900417599	0.0361108	0.0050122999999999	0.00130398987664	2.512315128999997e-05	-0.00084031	-0.000120842	1.4602788964000004e-08	7.061208961000001e-07	-0.000413249	8.727600000000006e-05	1.70774736001e-07	7.617100176000011e-09	-0.00021521	-0.00021521	4.63153441e-08	4.63153441e-08
9501.94243116027	10.546924497810323	111.23761636251156	90286909.96508396	8904.341802743342	-80.88916174971382	79287302.94008255	6543.056488571366	6823.102618079094	4.007875564743699	16.063066542469628	46554729.33683779	7146.567938032799	8612.249418218445	1.40532	54.82233	0.0665222799999999	0.0439122	-0.1078158054	-0.1829379786	0.0545675108	-0.1349308626	0.0413582047	0.1048557106	0.0459712147	-0.0261306735	-0.1106222675	0.0295298107	0.0068775223	0.0593862799	-0.1712286688	0.0798060201	-0.0091360388	0.0838631424	0.0061426065	-0.210303754	-0.167299427	0.0522881613	-0.0231898658	0.0134266475	0.2354283068	0.0385976755	0.0130343782	0.0021465877	0.0467963042	0.0419961407	-0.2064803703	0.0448343675	-0.1274543872	-0.0018238379	-0.0815132032	-0.0781605341	0.0635261803	-0.0094488256	0.1088214219	0.1568355102	0.0095343431	0.0351060546	-0.0391429255	-0.1150071305	-0.122693414	-0.0312742402	0.1054441445	0.1278003606	0.1669705868	0.131737639	-0.1566753673	-0.0795317766	-0.0663489954	0.1240991616	0.0353381444	-0.1278425686	-0.220066229	0.1147891509	0.1382764203	0.1637136664	0.0068201816	0.0567552237	0.0734493642	-0.125543264	-0.0410159036	0.041401996	0.0266720782	-0.0317590581	0.0071764306	0.0226699531	-0.0783033088	0.0275794311	-0.219957052	-0.0652133617	0.0392219727	0.2695934915	-0.0934537245	0.0182156688	0.0133702569	0.0502463757	-0.0328380816	0.1606947355	0.0248882726	-0.1689944914	-0.1269111098	-0.0557695048	-0.1847713662	0.1742025442	0.1068740051	0.0378256322	0.0291451404	0.0792713308	0.0385494787	0.2003430567	0.0429768883	0.104963043	0.2037859315	-0.0430823914	0.0257602211	-0.0009369114	-0.0916543108	-0.0088757	0.1554573343	-0.0657293216	-0.00209123	0.042196831	-0.1996722813	0.0104894751	-0.0351641359	0.0906485765	0.1644052051	0.0109649052	-0.0673195896	0.0099131385	0.156126715	0.1290306676	-0.0100464839	0.1584985239	0.0674887029	-0.1638239607	0.1404414369	-0.0224405672	-0.1048430407	0.0510248827	0.0062236725	-0.0376316187	-0.0559019528	-0.0165791272	0.2591387653	-0.1134649116	0.1119013789	0.0106857197	-0.0982739951	0.0263427305	0.1429847	0.0759198856	-0.0521757261	0.1977466058	0.042980547	-0.02857814	0.0423168562	-0.1405506198	0.1316455705	0.0318267675	-0.0384779995	-0.1123844235	0.3375181211	-0.1441091822	0.0752414957	-0.0976862426	0.0034546834	0.1995540842	-0.0681017322	0.0447459801	-0.0039174056	-0.1024786438	0.1503333061	-0.1062334008	-0.0863534281	0.1517509635	0.0638083889	0.0012054524	0.1271535404	-0.1277012765	-0.1155157309	-0.0783864368	0.1154196536	-0.1686192209	-0.0660391228	0.1178630643	-0.0487350745	-0.0190225563	-0.0432169681	-0.1006367198	0.1240234295	-0.1049169457	0.1836915312	-0.1358104183	0.0222548588	-0.0275781719	0.1227810256	-0.115608943	0.0314891561	-0.111711137	0.0409528039	0.0031449495	0.0038686457	-0.0841564683	0.0424780031	-0.0577392706	-0.0420686258	0.118496684	0.1179527935	0.1170481578	-0.0073441899999999	-0.0009689799999998	9.389222403998056e-07	5.3937126756098526e-05	-0.0287665	-0.0401940999999999	0.0016155656748099	0.00082751152225	0.0193444	-0.0167663999999999	0.00037420581136	0.0002811121689599	-0.000745598	9.471200000000004e-05	8.97036294400001e-09	5.55916377604e-07	-0.000395243	1.800599999999999e-05	1.5621702904899998e-07	3.2421603599999964e-10	-0.000156072	5.9138e-05	2.4358469184e-08	3.497303044e-09
9543.18395048651	41.24151932623863	1700.8629163365144	91072359.9128233	8964.751223868074	60.40942112473204	80366764.50584413	3649.298160625221	6827.437823258953	4.335205179859258	18.794003951478544	46613907.23046696	7156.206551909371	9131.05912646972	1.065049	41.548168	0.05804939	0.0330533	-0.038938154	-0.0867088359	-0.1109244219	-0.1019527353	-0.0625260842	0.0384825383	-0.1319220348	-0.0619007846	-0.0129880124	0.0868667242	0.0082604669	0.0677136257	0.0007065671	0.0510386889	-0.0699410634	0.028920585	0.1279304642	-0.0328118602	-0.1133387297	0.0847388989	0.0350472325	0.0115982811	0.1077211623	0.0270005989	-0.1471959998	0.0104578325	-0.068548535	0.1680131948	-0.0037627582	0.0770394227	0.0141592685	0.0179086597	0.0745507846	0.1896849358	-0.1663579048	0.0228241314	0.0266130434	0.1649890255	0.0314483229	-0.0525628477	-0.0783036337	-0.1278840884	-0.0583029584	0.0962422666	-0.0121713449	-0.052088862	0.148899837	0.0979647678	0.0313465151	-0.1563181845	0.092127625	-0.0391453256	-0.1054255908	-0.0413232754	-0.1783176426	0.2132969318	0.165571025	0.0063950131	0.1030630716	-0.1267449681	0.119684998	-0.1130457874	0.0765796637	0.1094227782	0.0391543989	-0.1948168771	-0.0016583382	-0.1056614629	-0.0392542523	0.1034974991	0.0955982052	-0.0807293237	0.0287716167	-0.1965993397	-0.0308643821	-0.1508804145	-0.1428485715	-0.0947105277	-0.20853605	-0.023064158	0.3318552556	0.0290547126	0.0557041244	-0.0408946931	0.1051628247	-0.1195221485	0.1249451951	-0.0204092862	0.1179123819	-0.0188687766	-0.0064404867	0.0136602522	-0.1215436514	-0.0820099397	-0.0502308542	-0.0576452039	0.0430289421	-0.0466444409	-0.0547887987	0.1267710537	-0.0400895954	-0.0126991943	-0.0685354083	0.018603367	0.0762393674	-0.0185312612	0.1668906583	0.081081027	0.0182410903	0.0302633713	-0.0869610701	0.0220040821	0.0595752052	0.160338458	0.076879921	-0.0269969772	0.0861771918	-0.1721221546	-0.0503612684	0.0379131698	-0.0109811966	0.0579268449	-0.0803905689	0.1290594911	-0.0016604455	-0.0740987695	0.1024675346	-0.3487786206	0.0642069584	-0.1113556009	0.003394895	-0.0720873455	0.2017465223	-0.1211037418	-0.1241853045	0.0851693869	-0.0714711851	-0.1026827551	-0.1075974144	0.0392934729	0.0627607518	0.0485799869	-0.0435649695	0.1904145773	-0.0334792056	-0.0163026964	0.0651835378	0.1306510517	-0.3219087965	-0.0755730227	-0.0913624876	0.0455001561	-0.0276093205	-0.0064609814	0.0129685397	0.1669336443	0.0496086118	-0.1679389035	-0.1697993672	-0.073482749	-0.0957597353	0.1653237181	-0.0302776217	0.0393417822	-0.0148799818	-0.1448344589	-0.0527444061	0.0760129552	-0.0970170992	0.0455793219	0.0512390535	-0.06771718	-0.0209506564	-0.089566257	0.0549549929	-0.1760658774	0.0007885424	-0.0676885198	0.0618918616	0.0307588916	0.0497925546	-0.0583117152	0.0128694336	0.0053826055	-0.0638165185	-0.2499308142	-0.0669610281	0.1961729426	0.0109115905	0.1183225485	0.1172578276	0.115490384	-0.00912903	-0.0017848400000001	3.185653825600357e-06	8.33391887409e-05	-0.0010533	0.0277132	0.00076802145424	1.1094408900000002e-06	0.0175677	-0.0017767	0.0003086240832899	3.1566628900000094e-06	-0.00110797	-0.000362372	1.31313466384e-07	1.2275975209e-06	-0.000512054	-0.0001168109999999	2.62199298916e-07	1.3644809720999996e-08	-0.000212382	-5.631000000000001e-05	4.5106113924e-08	3.1708161000000013e-09
9607.810629956975	64.62667947046612	4176.607699378366	92310025.10111426	8968.541291744794	3.790067876720059	80434732.90173137	14.364614510145294	6855.385990489035	27.948167230081708	781.1000515206131	46996317.07859333	7176.430253919199	9813.389899530104	1.084206	42.295483	0.06352519	0.0347433	0.1050198169	-0.0956470531	-0.1851187044	0.1081791663	-0.2004076976	-0.1469882155	-0.1100218023	0.1069482509	-0.0008812773	0.0446993792	-0.0055271787	0.0614837927	0.153209771	0.0094697174	-0.0303373354	-0.0509567147	0.0014787615	0.0142734826	-0.1025621864	-0.0446173339	-0.0128665371	0.0156995836	-0.0898587289	-0.2329640822	0.0008100899	0.1073681388	-0.0388199742	0.1195158484	0.1010843283	-0.122236326	-0.0216946662	0.0270520827	0.2680370454	0.0275311464	0.0660012228	0.1191988181	0.1281914171	-0.1539284712	-0.1634041284	-0.0594382104	-0.0074050706	0.0062404581	-0.004501213	0.0440068093	0.0882996496	0.004560099	0.0699994966	-0.2411989782	0.1441856211	-0.0460733235	0.2895309584	0.1725535692	-0.2294350009	-0.0028009488	0.1376954415	-0.0485993517	-0.0686005521	0.0909541936	-0.2777414763	-0.0164052467	0.0846148755	-0.0809789572	-0.1798037443	-0.0768962648	-0.0473522653	0.1172335677	0.1280325905	-0.0080883089	-0.0822067746	0.0470971147	0.1623745176	0.0169692413	0.0419736197	0.3065163984	-0.0372998609	-0.1648232942	-0.0460581628	-0.0477759903	-0.111723756	0.061878729	0.0281656031	0.0972527757	0.256755475	0.039196339	-0.1406591443	0.1021723692	-0.0141827917	0.092999778	0.0263005365	-0.0167606254	-0.0437676798	-0.0007973421	-0.0218231721	-0.0263186715	-0.0388977041	-0.0215733898	-0.078091869	-0.1778493729	0.0240206323	-0.0104265174	-0.1105841832	0.0105831489	-0.0301232704	-0.0176524079	0.0406401369	-0.0040241159	0.1362757444	-0.1719115425	-0.0129932523	0.1175571894	-0.0612336703	0.0231374836	0.075807428	-0.0660417163	0.0935210159	-0.283169808	-0.0543629575	0.1130323469	0.2331694708	-0.1264312283	-0.0373116295	-0.015781879	-0.2291835207	0.1316100563	0.1720472188	0.1389326566	-0.0218405653	0.009252939	0.0532838818	-0.0263901421	0.1661036801	0.1697597896	0.1720576128	-0.0399215601	0.0970881115	-0.1338091225	-0.149800406	0.0339167658	0.1611546964	-0.0852883336	-0.0891347414	-0.0072559201	-0.0852841262	-0.2117216932	0.0010300723	0.0412350798	0.0090086569	-0.1510747552	-0.1353245083	-0.0600407114	0.0702585621	0.1717271817	0.0806482647	0.1403591321	0.0180281265	0.0950952806	-0.1631902106	0.1004892682	0.0061396158	0.0797153606	0.0222343011	-0.0001539714	0.0417447423	0.1310800664	-0.0468278423	-0.1353395912	0.0347188039	0.0192868598	-0.0697386692	0.0483078993	0.0963038348	-0.0483862723	0.1048943528	-0.1106782894	-0.0919843384	-0.1123572562	-0.0341871355	0.0826401873	-0.1622921793	0.2134941122	-0.0365801814	0.141310106	0.2029573739	0.0828540282	-0.0055352904	-0.2392042047	0.1704347883	-0.1245847016	0.1178225672	0.1180905004	0.1163333239	0.1134240387	-0.0140761	-0.00494707	2.44735015849e-05	0.0001981365912099	-0.0223053	-0.021252	0.000451647504	0.00049752640809	-0.00857692	-0.02614462	7.35635566864e-05	0.0006835411549444	-0.00118589	-7.791999999999999e-05	6.0715263999999985e-09	1.4063350921e-06	-0.000655499	-0.000143445	4.296789390010001e-07	2.057646802500002e-08	-0.000214647	-2.2649999999999927e-06	4.6073334609e-08	5.130224999999967e-12
9595.634030994835	-12.176598962139906	148.26956228478664	92076192.4567862	8863.561348326824	-104.97994341796948	78562719.77555323	11020.788520040074	6851.542053532944	-3.843936956091056	14.775851322402575	46943628.51133043	7160.931332196682	9871.825173578743	1.057082	41.237343	0.05595431	0.0294675	0.1396352582	-0.0457266901	-0.0110788368	0.1638520036	-0.0638577317	-0.0994168263	0.0328591525	0.1690417978	-0.0446446496	-0.0015271876	-0.0727353049	-0.0107888124	-0.0064469462	-0.0684638434	-0.0197300127	-0.0306237853	-0.1145003687	-0.116785729	0.0116988853	-0.0018911895	-0.1418743256	0.1292839593	-0.0446718893	-0.0366830843	-0.1174821674	-0.1572185073	-0.0986769487	0.0375675357	0.0242122601	0.0973514473	0.0502851501	0.077749037	-0.0029048109	-0.0318588051	0.1718666117	-0.0774157971	0.0209121335	-0.0345267657	-0.0294775827	0.0173413791	0.0362426842	-0.0660177368	0.0231318727	-0.1102882978	0.010869343	0.2142522767	0.0254642446	-0.2083927791	-0.0953968382	0.17933163	0.0941037338	0.0304967642	-0.0040898938	0.0487925745	-0.0365813625	-0.0582431802	-0.210462002	-0.1912608994	-0.1434663556	0.0945520182	0.0216436276	0.0813700689	0.0011308893	-0.0631886752	0.0029461995	0.001689109	0.1664171732	-0.056193194	-0.0278468754	0.1379794496	-0.2009857126	0.2930017308	-0.1412361504	-0.111122145	0.0496867086	0.0922047179	0.0130174146	-0.0268871133	0.0473248725	0.2016992937	-0.0522110895	-0.0637811202	-0.0238690368	-0.1412269229	0.1584593439	0.0944451567	0.1897173203	-0.0690481323	-0.0061519383	-0.0490367601	0.0161002683	0.0824657429	-0.1724376205	0.0803896852	0.1035126018	0.0260752048	0.2033731589	0.0124955793	0.0626220795	0.0052325143	-0.011668532	-0.0749943423	-0.0543597159	-0.0711715987	0.0779663898	0.0340146711	-0.0523153787	-0.1767273378	0.0654671033	0.0861410798	-0.0222938062	-0.0783333733	0.1108047027	0.0388816651	0.0494042932	-0.1079329473	-0.1725990229	0.0181774359	0.0017715586	0.0979639656	0.1631840514	-0.1084128123	0.15508094	-0.1494729981	0.0308332322	0.1580273611	-0.0677268178	0.0865128362	0.0433476222	0.0382658602	0.321767019	-0.1184652497	-0.0697875674	0.2407439276	-0.0007444455	0.1590152333	0.0396975245	-0.1204541381	0.0809534036	-0.0783484845	0.1493476489	-0.0818331568	0.1201552774	0.029777614	-0.1282174456	0.0660754317	-0.0088400273	0.0378267657	-0.1018582609	0.0215028254	-0.1135472129	0.092642451	-0.0155228516	-0.1149958122	0.0655241952	-0.138424624	-0.0780500333	-0.0021101978	-0.0747369133	-0.0480252592	-0.0547263282	-0.1602550121	0.0852052425	-0.000970769	-0.0720623065	-0.0834708474	0.1045826291	-0.0250538929	0.0012907908	0.0296784743	0.0216603289	-0.0334312045	0.1044201876	-0.0526174455	-0.1218733703	0.0484441686	-0.0508925875	0.0052605346	-0.0996811494	0.0781179633	-0.0238492298	0.0708480299	0.0038942632	0.0192407998	0.2556057521	0.0777773638	-0.0075480764	-0.103549121	0.2462244925	0.1178006533	0.1151810923	0.1108582214	-0.0172737	-0.0031976	1.022464576e-05	0.0002983807116899	-0.0159701	0.0063351999999999	4.013475903999999e-05	0.00025504409401	0.00468454	0.01326146	2.19449150116e-05	0.0001758663213315	-0.0016256	-0.00043971	1.9334488410000007e-07	2.6425753600000003e-06	-0.000819425	-0.000163926	6.71457330625e-07	2.6871733476e-08	-0.000274212	-5.956500000000003e-05	7.519222094400003e-08	3.5479892250000038e-09
