onset	duration	node	response_time	accuracy
12	1	11	0.429	1
16	1	3	0.410	1
20	1	6	0.464	1
28	1	12	0.428	1
40	1	7	0.516	1
44	1	4	0.399	1
48	1	2	0.321	1
52	1	5	NaN	0
56	1	8	0.357	1
60	1	13	0.387	1
64	1	10	0.404	1
68	1	9	0.402	1
72	1	1	0.395	0
76	1	8	0.434	1
80	1	3	0.418	1
84	1	2	0.518	1
88	1	1	0.457	1
92	1	5	0.427	1
96	1	9	0.458	1
100	1	6	0.485	1
104	1	4	0.581	1
108	1	11	0.468	1
112	1	7	NaN	0
116	1	13	1.055	1
124	1	10	0.464	1
128	1	12	0.438	1
132	1	10	0.537	1
136	1	2	0.440	1
140	1	8	0.490	1
144	1	1	0.475	1
148	1	9	0.433	1
152	1	6	0.329	1
156	1	5	0.391	1
160	1	12	0.360	1
164	1	13	0.510	1
168	1	7	0.428	1
172	1	3	0.399	1
180	1	4	0.602	1
184	1	11	0.379	1
188	1	13	0.487	1
196	1	1	0.374	1
212	1	5	0.404	1
216	1	9	NaN	0
220	1	12	0.654	1
224	1	3	NaN	0
236	1	4	1.103	1
240	1	7	0.595	1
244	1	2	0.478	1
248	1	8	0.373	1
252	1	11	0.485	1
256	1	10	NaN	0
264	1	6	0.486	1
