Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
65	546	1	65	72	17	59.3	71.6	25.8
64	161	1	38	28	28	39.4	30.3	31.3
63	145	1	66	48	36	60.6	48.9	41.9
62	138	1	25	73	16	28.6	73.6	20.6
61	116	1	46	76	25	43	80.1	30
60	107	1	51	67	43	51.1	66.7	47.8
59	81	1	60	68	33	62	68.8	36.7
58	67	1	38	49	64	36.7	49.1	68.8
57	66	1	52	43	51	52.8	47.8	53.4
56	64	1	59	57	32	59.8	57.3	34.4
55	62	1	20	73	41	20.3	74	43.4
54	60	1	57	34	57	55	40	59.6
53	59	1	28	70	31	27.8	70.7	34.4
52	58	1	39	87	58	39.4	85.4	60.2
51	57	1	53	64	66	53.1	64	67.8
50	51	1	30	66	23	31.5	66.5	25.4
49	48	1	36	61	33	37.5	62.6	35.1
48	46	1	15	64	50	15	64.1	51.8
47	44	1	58	46	59	52.4	47.2	62.5
46	44	1	31	81	43	32.2	81.5	45.4
45	43	1	31	39	38	31.7	38.5	40
44	41	1	49	46	68	45.9	45.5	70.3
43	40	1	26	55	29	28.6	57.7	31.4
42	39	1	53	31	32	52.8	29.8	33.6
41	36	1	55	71	56	54.9	71.8	57.3
40	36	1	64	83	37	63.6	84.6	38.1
39	34	1	49	56	54	51.8	59.7	55.8
38	33	1	52	67	36	51.8	69	37.6
37	33	1	44	56	49	44.4	57.8	51
36	32	1	39	45	48	39.8	42.8	50.2
35	31	1	38	58	62	38.5	59.7	64.8
34	28	1	58	93	28	58.2	92.7	29.8
33	27	1	39	93	44	38.8	91.8	46.1
32	25	1	38	74	33	38	74.1	34.8
31	23	1	51	55	26	52	56.1	27.1
30	21	1	21	45	23	22.4	45.4	25.4
29	21	1	30	43	30	31.5	44	32.3
28	20	1	28	69	40	29.9	66.1	42.8
27	20	1	37	61	23	36.8	60	24.2
26	18	1	69	28	42	68.6	29.1	43.6
25	18	1	35	79	50	34.7	79.8	51.4
24	17	1	21	76	38	20.9	78.1	39.2
23	17	1	20	69	20	19.2	70.4	22.2
22	16	1	61	48	57	61.7	47.8	60
21	16	1	41	49	49	40.5	50.9	50
20	15	1	24	66	39	23.7	66.8	39.9
19	15	1	37	65	54	36.6	63.9	56.3
18	15	1	54	64	15	53.9	64.8	17.4
17	14	1	62	61	58	62.3	61.6	60.6
16	14	1	65	71	60	63.7	69.1	62.2
15	13	1	26	56	25	26.2	57.7	25.5
14	13	1	66	25	44	66	25.1	45.1
13	13	1	68	42	44	66.8	41.4	46.2
12	13	1	52	65	36	52.3	63.5	39.5
11	13	1	17	60	31	17.2	60.4	32.3
10	13	1	34	65	59	36.1	66.1	59.7
9	12	1	68	61	48	68.8	61.2	49.6
8	12	1	15	53	19	15.3	54.4	19.4
7	12	1	71	61	16	71.2	62.1	17.4
6	11	1	40	96	27	41.2	96	28.8
5	11	1	26	40	47	25.6	39.8	48.7
4	10	1	22	45	33	23.9	45.3	34.8
3	10	1	32	74	38	32.3	74.3	40.3
2	10	1	59	60	11	58.2	59.7	12.4
1	10	1	60	69	48	59.9	69.6	49.1
