global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
9591.997013996535	n/a	n/a	92006406.71651845	8651.067933685925	n/a	n/a	74840976.39324886	6179.557907817464	n/a	n/a	38186935.93606936	6347.025420623151	9032.791020819792	n/a	n/a	n/a	n/a	0.0267615393	-0.1008184183	0.0427654307	-0.082657661	0.0364001613	-0.0491753525	0.0288730453	0.1289566632	-0.0222262939	0.1598316525	-0.0590984835	0.0478728336	-0.1597867316	-0.0532892294	0.2485930025	-0.1373122352	0.1470132918	-0.0688136386	0.1491215405	-0.1629229639	0.0762722399	-0.1144340444	0.1485910643	-0.2024670611	0.0732888018	-0.1526881146	0.1038294213	-0.125333991	-0.0421861837	0.0093450192	-0.0268726507	0.0201057519	0.0182783811	-0.0015905781	0.060028147	-0.0641555026	0.0455675271	-0.1306686396	0.0962490059	-0.0536067314	0.0796483458	-0.0640671824	0.0095524463	-0.0118645958	0.0242967103	-0.0019779678	-0.0005910151	-0.0318781133	0.0731701861	-0.000322768	-0.0340011347	0.048910565	-0.0217211699	-0.085862498	0.034116126	-0.078523985	-0.0171505696	-0.0205201342	0.001380142	0.0905162306	-0.0538775636	0.0101419731	0.0420780297	0.0617860711	0.174070979	-0.0415081488	-0.0325527132	-0.0751444413	0.1624978202	0.1088099034	-0.1257140532	-0.0181028776	-0.0472747884	0.0694118895	0.0220130241	-0.0226195458	-0.0207267904	-0.0448453938	-0.0239837473	0.0212814931	0.0195520503	0.0650302769	-0.1222384011	-0.0234738837	-0.0852847084	0.0797109282	-0.0593493548	-0.0088363993	0.0865369539	-0.0451953128	0.0297823311	-0.1050442792	0.0773670224	-0.1285008473	0.0383415748	-0.0454489032	0.0478004183	-0.0903507298	0.0492575925	-0.0090491031	0.0410543652	-0.0912379755	0.051345699	-0.1691784148	0.03795942	-0.003386711	-0.0420963542	0.0543969738	-0.0190998404	-0.0595131472	0.1022547903	-0.0953084833	-0.0338305237	0.1416411575	0.0373298771	-0.0605503987	-0.1152546949	0.0612270458	0.0041225533	0.0801118371	-0.0804404978	-0.0456040085	-0.0632632204	0.1179795157	0.0089787849	-0.0794636885	-0.0060217773	-0.015757459	-0.0214387493	0.1537045522	0.0843451527	0.0886414464	-0.0475296937	-0.1329513492	0.0168652851	0.0777788749	0.0232564407	0.1396038053	-0.0101338014	-0.101261427	-0.1273063799	0.0157493371	0.1236900501	-0.0615948205	-0.0615723235	-0.0092949696	0.0817970674	-0.1002986093	0.1710134275	-0.1447220998	0.0237695162	-0.0724778422	0.0049865884	-0.0572714957	0.1058979001	-0.1369481713	0.0894533099	-0.0784942205	0.024568794	-0.1648226762	0.0985805957	-0.1417499994	0.0357044299	-0.0668360376	0.0578836109	-0.086294919	0.0327950254	-0.0126757277	0.0947637828	0.1186709048	0.1186491225	0.1186128217	0.0101092	n/a	n/a	0.00010219592464	-0.00717758	n/a	5.15176546564e-05	n/a	0.0879526999999999	n/a	0.0077356774372899	n/a	0.000177476	n/a	n/a	3.1497730576e-08	1.8525900000000003e-24	n/a	3.4320897081000014e-48	n/a	-0.000312489	n/a	9.7649375121e-08	n/a
9562.042020055263	-29.954993941271823	897.3016620216316	91432647.59330256	8456.841766668826	-194.2261670170992	37723.80395415412	71518172.6664743	6178.7290652397205	-0.8288425777436714	0.686980018680774	38176692.861638114	6335.346433488954	8911.169655825603	1.095053	41.626064	0.057548455	0.0387855	0.0005922273	0.067942084	0.0443802516	-0.074646978	0.0330135299	-0.0745352222	-0.1528679543	-0.0884845169	0.0223256563	-0.0452655257	-0.0731254254	-0.1472998633	-0.0098980894	-0.1952307471	-0.0170451839	-0.0862796695	-0.0304040863	-0.0243985256	0.1493765633	-0.0570857232	0.0494378524	0.0856393683	0.1190169667	-0.0081749816	-0.1030445138	0.039601876	-0.1436770945	0.2299454432	0.0911683982	-0.058207836	0.0297568639	0.0120688427	0.0341841243	0.0643929046	0.1116447888	-0.0577833708	-0.0066773813	-0.0480074655	0.0903047158	-0.0914448371	0.0077967706	-0.1314016118	0.0625583734	0.0333516531	0.0720933724	-0.0393636219	-0.0368111572	0.0638022407	0.0116284911	0.147935152	-0.0118168572	-0.0404184877	0.0580240252	0.0190841886	-0.0120950822	-0.0996488128	-0.0789616062	0.082071574	-0.0310769274	-0.0166860165	0.0273384614	0.1311950543	0.0068999848	0.0117030971	0.023461648	-0.0622736896	-0.2133723605	-0.0456449664	0.0436774054	0.0576763403	0.0069536587	0.1312811869	0.0993916002	0.0470396369	-0.056035669	-0.0453391073	0.1130415611	-0.062991393	-0.0073311103	-0.0304541961	0.0308498044	0.009821786	0.0038320456	-0.0723345289	-0.0432130938	-0.0095893147	-0.0094309936	0.0865860045	0.0857674516	-0.0312001834	-0.0371320269	-0.0446864893	0.0083226575	-0.1051078993	0.0228899712	0.0803197463	0.0019438316	-0.0879445105	0.0342355146	0.0232354297	0.1333587769	-0.0652806825	0.01407682	-0.0626041595	0.0783173864	0.1460028851	-0.0054414741	0.0884980583	-0.0881305874	0.0498269992	0.0075789817	-0.0283533436	0.1253194031	-0.0439576591	0.0960461885	0.0599479927	-0.0648088954	-0.0426977434	0.0736038675	0.068793643	-0.0129283172	-0.0887185706	0.0014743214	0.04509862	0.0400944366	-0.0838546696	0.0914377986	-0.022037291	0.0362849483	-0.1364087511	0.0951877549	-0.1576528574	0.0241805113	-0.122929484	-0.1005811779	0.0137594873	0.0286807664	-0.0400798504	0.0691500042	-0.096318693	0.0637506312	-0.0132773455	0.0511026317	-0.0429528441	0.0046718789	-0.0729687699	-0.0386251351	0.0697376538	0.0825427952	0.074763828	0.1617150262	-0.0696845765	-0.1861262718	0.0591811914	0.1669456574	-0.1243897967	0.1233921984	0.0362718988	-0.0937690517	-0.0847807852	0.1725663755	-0.1527389366	0.0131149064	-0.1713641525	0.0555190584	-0.1260055328	0.0690775219	-0.0232692688	0.1366512958	0.1186128217	0.1184168613	0.1180905004	0.00529393	-0.00481527	2.318682517290001e-05	2.8025694844899995e-05	0.0300418	0.03721938	0.00090250974724	0.0013852822475844	0.0883362	0.0003835000000001	0.00780328423044	1.470722500000813e-07	-4.66841e-05	-0.0002241601	5.024775043201e-08	2.1794051928100003e-09	-0.0	-1.8525900000000003e-24	0.0	3.4320897081000014e-48	-0.000234043	7.8446e-05	5.4776125849e-08	6.153774916e-09
9552.119669472364	-9.922350582899526	98.45304108996656	91242990.17992082	8484.757668475715	27.91590180688945	779.2975736918937	71991112.69275746	6180.166773153027	1.43770791330644	2.0670040439839577	38194461.3439847	6338.7493570185225	8899.665979530102	1.064378	40.46003	0.12056833	0.0859179999999999	0.076322532	-0.0606667927	0.0028282475	-0.0909106042	0.0223599838	0.0277986673	0.0423920736	0.0327478234	-0.0065276854	0.1620179502	-0.0401797972	0.0765402993	-0.1008957664	-0.0678377573	-0.0307915928	-0.0601672517	0.0054906852	-0.0018138017	0.0812992756	0.072743277	0.017664908	0.0675190876	-0.0361063986	-0.0335446922	-0.0816969747	-0.0273636394	0.0038627859	-0.0438861302	-0.013587575	-0.0670367915	0.0132295619	-0.018014514	-0.0363514617	0.0317109202	-0.0391647873	-0.0878375428	-0.056298049	0.0194846638	-0.0376145504	-0.0135694587	0.034869915	-0.0918647494	0.0569771819	0.0822003539	-0.0074388007	-0.0709281682	-0.1793763364	0.047881442	-0.1017082355	0.0088389619	0.0813676256	-0.0648956659	0.0349309503	-0.0355135498	-0.0953828962	-0.0241750969	-0.1303475284	-0.0507093385	-0.0010242718	0.0206839523	-0.0586523011	0.1125426495	-0.0323175253	-0.1763426182	-0.0827229969	0.0184723395	-0.0160439433	-0.0084743797	0.1133331146	-0.0826620319	0.2129903224	-0.1411588647	-0.0158249516	0.0409440727	0.0800890072	0.0137185905	-0.0033864301	0.058422903	0.034739699	0.0180841843	-0.0092245917	0.0129676461	0.0282664782	0.0152343386	-0.1338871131	-0.0751570529	0.0277954944	-0.0299992749	0.1109083767	0.0008100867	0.1019996952	-0.0955556023	0.0380657432	-0.0387255265	0.0651477863	-0.0673885337	0.0145945085	0.0085757767	-0.0806250618	-0.0436361493	0.0539197895	-0.0237093634	0.0714454296	0.0201520791	-0.0382411515	0.1328348248	0.0686499231	0.1229833292	-0.1114527851	0.090832265	-0.0021503152	0.0874030022	-0.0864770434	-0.0811786903	-0.1506618274	-0.1035068901	0.0549758142	-0.0424559265	0.0285585618	-0.0165030008	0.1707104563	0.034301174	0.0726815312	-0.1342342069	0.0183485868	0.0180110426	-0.0390413678	0.0264646813	0.0516681807	0.0859360414	0.0318530989	0.010540736	0.1288453014	-0.0003694327	-0.0012597902	-0.1028763373	-0.0903855705	0.0689167578	-0.0486893059	-0.0499699792	0.0444614584	-0.0901791319	0.0775868749	-0.1216974206	-0.0646278868	0.0676437404	0.1439429598	-0.0987457764	0.0796959718	-0.0882207123	0.0420345633	-0.0024818873	-0.0467764485	0.0232501702	0.0765494062	-0.0660893713	0.1051205743	0.0398867716	0.1595290136	-0.0364160042	0.0693101233	0.0095684411	0.0219176375	0.010895013	0.0058243684	0.046768552	-0.0497329646	0.0450577455	0.0340749489	0.118496684	0.1179527935	0.1170481578	0.0140366	0.00874267	7.643427872890002e-05	0.00019702613956	-0.0532571	-0.0832989	0.00283631870041	0.00693870674121	0.103314	0.0149778	0.010673782596	0.0002243344928399	-5.25083e-05	-5.8241999999999975e-06	3.392130563999997e-11	2.75712156889e-09	-0.00019632	-0.00019632	3.85415424e-08	3.85415424e-08	-0.000165208	6.8835e-05	2.7293683264e-08	4.7382572250000005e-09
9547.530566480078	-4.589102992285916	21.05986627380755	91155339.9178714	8387.468837504484	-97.28883097123072	9465.1166317487	70349633.50010882	6179.242759213862	-0.9240139391649792	0.8538017597711817	38183041.07729694	6335.641068758928	8934.64226642598	1.049643	39.899879	0.11168822	0.0772590999999999	-0.0152014358	0.0415823052	0.0583785242	-0.0869820716	0.0473474803	0.0185887718	-0.1356104157	-0.0856639979	0.0988138346	-0.0463030052	-0.090668211	-0.12938886	0.0620115154	-0.1585259643	-0.0426017434	-0.1567762336	0.0916368167	0.0118786286	-0.0672701729	-0.0291693918	-0.0438504843	-0.0434755224	-0.0394452563	0.0945520002	0.0857096698	-0.0941195152	-0.0846192254	-0.0155621807	0.0066211737	0.0216192039	0.02155863	0.0447773617	-0.1112704288	0.0357593725	0.0330467317	-0.0642627796	0.0285587385	-0.0005020182	0.0654965529	0.0657626583	0.0236000358	0.1322279314	0.014812266	-0.0830190552	-0.0373570547	0.1127939439	-0.0029511021	0.0384735527	0.1095582605	0.1526252003	0.0037094296	0.0239401413	0.049248077	-0.0357708996	0.1176104377	0.07113549	-0.0521494672	0.1860406793	0.016137613	-0.2038544871	-0.0746617453	0.0096579834	-0.0468384523	-0.0421459825	0.0384170279	-0.0179351772	0.0477170686	-0.0058128984	0.1333583	0.1212293247	-0.0197056461	-0.0213572131	-0.0110450909	-0.1240457411	0.0356625493	-0.0326248617	-0.0595166013	0.0467466966	0.0811737934	0.0032610027	-0.0872861487	0.0299337755	0.0292308719	-0.077284629	-0.0377786012	-0.0967499974	-0.0469895574	0.0831321914	0.1112282688	-0.0187864147	0.039209769	0.0211350053	0.0667816844	-0.0109658668	-0.1257884833	0.0212560544	-0.0184789384	-0.0662284073	0.0691184039	0.0779694351	-0.0021302618	0.1151085794	-0.0722868093	-0.1619553993	-0.0702628814	-0.0105096478	-0.1072713629	0.0041505128	0.0321899658	0.0216174237	0.0426614061	-0.0409585542	0.2366328131	-0.0108286384	0.0822549481	0.0707251269	0.056214029	-0.1343506184	-0.0168296035	-0.0442202345	0.0227737604	0.0326867535	0.0722820612	-0.1768899111	-0.0505659057	-0.0214250497	0.0834967843	0.0717770266	0.0599449447	0.1459422154	0.0599957932	-0.01269945	-0.1523757532	-0.0977187474	0.0234244428	-0.1053492683	0.0586471192	0.0469582932	0.0256502068	0.0796023072	0.0424760205	0.0109409371	0.02931829	-0.0211863648	-0.0469836568	-0.0669204302	-0.0529713558	0.0642181413	0.1140892148	-0.0158604557	0.1514774212	-0.000431486	-0.152135892	0.0333462904	0.0725745612	-0.0213551768	0.0362258449	0.086472512	-0.0165909464	-0.0394709723	0.1255290031	0.1170397233	0.1587201975	0.0309167406	0.0393069589	0.031289575	-0.0883458155	-0.0453256298	-0.0197337998	0.1183225485	0.1172578276	0.115490384	0.017375	0.0033384	1.1144914560000013e-05	0.000301890625	0.0210825	0.0743396	0.00044447180625	0.00552637612816	0.0838340999999999	-0.0194799000000001	0.0070281563228099	0.00037946650401	-9.8896e-05	-4.63877e-05	2.1518187112899997e-09	9.780418816e-09	-0.000252031	-5.571100000000001e-05	6.3519624961e-08	3.103715521000001e-09	2.32997e-05	0.0001885077	5.4287602009e-10	3.553515295929e-08
9542.724289381304	-4.806277098774444	23.10029955020369	91063586.8631479	8455.930212215502	68.46137471101792	4686.959827322405	71502755.75385891	6178.497153697382	-0.745605516480282	0.555927586205828	38173827.078246646	6342.672732242678	8926.557336028094	1.041926	39.606564	0.137769485	0.0882772	0.0689076426	-0.0408133439	-0.0392248861	-0.0800364715	0.0352315088	0.0473894068	0.0206419812	0.0012826049	-0.0495480655	0.034505604	-0.1315483449	0.0264420393	-0.1160364716	-0.0237688446	-0.0066262444	-0.0360880318	-0.0227259685	0.1097460808	0.0296051513	0.017948608	-0.0316764486	0.0904069751	-0.0293336313	0.0789430009	0.1515816683	0.0140678074	-0.0460596903	0.0430940337	0.0241130714	0.0096716503	0.0277963147	-0.0699969479	0.0641790319	0.1695360186	0.0439149273	-0.1239779238	0.0949606791	0.2381799142	0.0352579885	0.0024774244	0.0280129245	0.1183364332	-0.0128981936	0.2065653168	0.0869309033	-0.0533589673	0.0825230667	-0.0121478739	0.0142070328	-0.0092537158	-0.0062674882	0.0942992967	-0.0458596157	-0.0214572666	0.0732179079	0.0553594882	0.0799098421	-0.0674405257	0.0320560187	-0.2072238891	-0.1658580005	-0.0213729264	-0.0585370605	-0.0972154354	0.0417038747	-0.0001133662	0.0564854882	-0.2038650032	-0.0483852371	-0.0982715742	0.0594448232	0.1200132807	0.0651531618	-0.0079083669	-0.0591229039	-0.133473589	-0.0543615556	0.0722503644	-0.0209799991	-0.0875209651	0.0918634862	-0.0204040879	-0.0960984928	-0.0091873498	0.001401647	0.037833984	0.023702257	0.0488622589	0.1283716554	0.0134163531	0.1815078313	-0.0347417971	-0.1278295283	-0.0169075492	-0.0613820409	-0.0611103384	0.1640244409	0.2246847865	0.1647907986	-0.0349102122	0.0704006287	-0.0086869667	0.0149908242	0.1482674161	0.0028534941	-0.0036439403	-0.0262017242	-0.0745924323	-0.0077532545	-0.0677375078	0.0690311483	-0.0568858369	0.0050614272	0.0272592049	0.0623182088	0.017035502	-0.0132206181	-0.111437037	-0.0978504832	-0.0779139171	-0.0783454766	0.2193030728	-0.0729425301	-0.0494731099	-0.0562294843	0.0653065257	0.0383931657	0.0671721606	0.1608590301	-0.0430456083	-0.012935251	0.0131959979	0.051820263	0.0334262628	-0.2343115726	0.1363988364	0.0423908211	0.0859334994	0.0445588534	0.0918647992	0.0404686454	-0.00742908	-0.0334041349	0.0162655844	0.0718505966	0.0913449653	0.1414037815	-0.0891057831	0.0549045854	-0.0672550567	0.064137907	-0.0021367725	-0.0834823506	0.0345450823	0.0759248505	-0.0510058025	0.106397042	0.0720538875	0.1119656476	0.0637451143	0.0003477704	0.0082638296	0.0327901226	0.0461045575	-0.0169690771	0.0386007482	-0.1749065905	0.0502058821	-0.0551691667	0.1180905004	0.1163333239	0.1134240387	0.0157723	-0.0016027	2.5686472900000064e-06	0.00024876544729	-0.0643031	-0.0853856	0.00413488866961	0.00729070068736	0.0973165	0.0134824000000001	0.00947050117225	0.00018177510976	0.000294449	0.000393345	1.54720289025e-07	8.6700213601e-08	-0.000320933	-6.890200000000003e-05	1.0299799048900003e-07	4.747485604000003e-09	-0.000260429	-0.0002837287	6.782326404100001e-08	8.050197520369e-08
9528.569151679632	-14.155137701671263	200.36792335327527	90793630.07834072	8347.36344598264	-108.56676623286148	11786.742730260792	69678476.49932718	6178.277113642092	-0.220040055289246	0.0484176259316944	38171108.09295367	6337.14348685527	8775.232506692431	1.028224	39.085697	0.12085739	0.0788132	-0.0676380137	0.0308989501	-0.034931125	-0.0852151519	0.0827231696	0.0437930154	-0.1206348119	-0.0683467302	0.0950748787	-0.0706335463	-0.0418618364	-0.0789763303	0.0476123078	0.0065314616	-0.0340153032	-0.1409543347	-0.0639741229	0.0036679669	-0.0933136448	0.0952371073	0.0224049514	0.0784900269	0.1149429624	-0.0039268166	0.2342341266	0.0764054944	-0.0032829475	0.0473187975	0.1545745769	-0.0730289577	0.010320882	0.0369736294	0.0056426015	0.0829675747	-0.2415452787	-0.065878167	0.0969719908	-0.0356183713	-0.0354561031	-0.0140134291	0.0499299172	0.1208081853	-0.0533860095	-0.0523646655	0.0029111969	-0.0558771807	-0.0031470243	0.0464862268	0.0589603352	-0.0431428917	-0.0111231408	-0.0197556667	-0.0904224163	-0.1128599345	0.1142859368	-0.0058855232	0.0246431589	-0.2253371006	-0.1234238171	0.1152394307	-0.0806832703	-0.0012537887	-0.0449350899	0.0511075067	0.1208631413	-0.183427429	-0.0150511377	0.0526917821	-0.0412814763	0.0360369029	0.0090947103	-0.0491835634	0.0327864987	0.0826443742	0.055611208	0.0270211248	0.0523458043	-0.1026116439	-0.0085602771	0.1146454968	-0.0132692206	0.0571532814	-0.0797366615	-0.0650129525	0.0401620982	-0.0053667961	0.0174131471	0.1948618148	0.0797805898	0.0248379613	0.0995949795	-0.0063010017	0.0615474035	0.1803135211	-0.1123915521	-0.0242612002	-0.010510903	-0.0467753867	0.1371476244	0.0134338256	0.1431080073	0.0314956142	0.0663619956	-0.0420768719	-0.058527981	-0.0426976499	0.0201416474	0.025856739	-0.0981537215	-0.0355076554	-0.0272031723	-0.0349122228	-0.0343545015	0.037843294	0.0133070024	-0.1982494989	-0.0281117304	0.0610528072	-0.0840954641	-0.0164855297	0.024103449	-0.0291902502	0.0381807349	0.106600549	-0.130249219	0.1057618864	-0.1268151457	0.0007944107	-0.1417796317	-0.0081514911	0.0930027695	-0.0341235611	0.0018670391	-0.0042117765	0.1112909632	0.1375045684	0.0758261566	-0.101383017	-0.0029082123	-0.1425977961	-0.1325217908	0.0846289808	-0.0415450297	0.0576230628	0.0174071773	-0.0283600047	-0.0409462369	0.0431254916	0.0950876529	-0.0929735123	0.10654984	0.0603891249	-0.08966036	0.0194583508	0.0920513739	-0.0022942722	0.0656907533	0.0067289705	-0.0609147381	-0.0655539167	0.0598557688	0.0625574376	0.1135857656	0.013805007	0.0255892676	0.0753490624	-0.094909091	-0.0681440612	-0.0758138492	0.1178006533	0.1151810923	0.1108582214	0.0118965	-0.0038757999999999	1.502182563999999e-05	0.00014152671225	0.0120557	0.0763588	0.00014533990249	0.00583066633744	0.0882889	-0.0090275999999999	0.00779492986321	8.149756175999994e-05	5.28052e-05	-0.0002416438	5.839172607844001e-08	2.78838914704e-09	-0.0	0.000320933	0.0	1.0299799048900003e-07	-0.000191102	6.932700000000002e-05	3.6519974404e-08	4.806232929000003e-09
9530.741397844124	2.1722461644912983	4.718653399147156	90835031.59257977	8427.1921003692	79.82865438655972	6372.614061168801	71017566.69652505	6168.271061484299	-10.00605215779342	100.12107978448236	38047567.88794464	6325.363300879397	8807.718790168969	1.051581	39.97356	0.0944438149999999	0.0644977	0.076314552	-0.0055236962	-0.088983053	-0.0171015495	0.0783925083	0.060817346	0.1003583111	-0.0159395918	-0.1237750838	0.0283272481	-0.0923394684	0.0359477219	-0.0909743657	0.0801118074	-0.0262658157	0.0570976969	-0.0335091879	0.1383849743	-0.1855764273	-0.2177082914	-0.1357269945	0.1443391123	0.1346878435	-0.0496303417	-0.0107194363	0.1034783174	-0.1130519235	0.0286430617	-0.03664776	-0.0064703765	-0.0384403147	0.0262240696	0.0078475026	-0.0761921035	-0.0488342624	-0.0132086539	-0.0368876277	0.1158443105	0.0794373601	0.0012780295	0.0842623867	0.0090963008	-0.0579033166	0.0475111827	-0.0597076498	-0.0726398093	-0.0021387502	-0.1107175433	0.0202004691	-0.1472723656	0.0148577847	-0.0261048506	-0.0454256639	0.0499414887	0.0549813603	0.1762533584	0.0497936973	-0.019894878	-0.0132069731	0.1389385801	0.1535726529	-0.016218327	0.0401118887	-0.1151132926	-0.0196416185	0.0653437847	-0.0751820019	0.0733190242	-0.1544287525	-0.1086957228	0.0166852053	0.1238887117	0.0581818577	-0.074862638	0.1796212704	0.1058359746	0.1314090224	0.0494693759	0.1053229665	-0.0388863876	-0.0820587679	-0.0781681004	0.0306502188	0.0239100367	-0.0610257304	-0.0219295821	0.0895227737	-0.0108401453	-0.0503906605	-0.028089331	0.1637958321	-0.0034011978	-0.050366823	-0.0167016072	0.0634953285	-0.0497531588	0.007912776	0.0390550051	0.0371063558	0.0609289828	-0.061120771	-0.0022244039	0.0042291108	0.0087334948	-0.0760056645	-0.0540373045	0.1404716041	-0.0253878113	-0.0168937037	-0.1179254863	0.0227197505	-0.0306472861	-0.0434637087	-0.0058287393	-0.0197337185	0.0722157972	0.1925402432	0.1029266551	-0.0093345102	-0.0851461765	0.074464795	-0.0739694666	-0.0582165733	0.1676480991	0.0372734908	-0.0232977294	0.0379494476	-0.1263084883	0.0486545042	-0.0476554525	-0.049987517	-0.0972618546	0.0639136438	-0.0238462209	-0.0006834245	-0.0881616389	0.005350948	-0.1952757832	0.0916616993	0.1033594921	0.0837395568	0.130996399	-0.060447895	-0.035543893	-0.0624075772	0.0796655886	0.1402050408	-0.0623134409	-0.042315809	-0.0626486899	0.019389492	0.0804026596	-0.0238064671	0.0211914076	0.0780827973	-0.0468351938	0.1093760906	0.0734674531	0.0351224551	0.0187231474	0.0529532743	-0.0780947192	-0.0534776161	-0.0236512649	-0.0593391291	0.06843852	-0.1060779729	-0.0198500452	-0.118057551	0.117453149	0.1138033884	0.1078042307	0.0133277	0.0014311999999999	2.0483334399999967e-06	0.00017762758729	-0.048638	-0.0606937	0.002365655044	0.00368372521969	0.109466	0.0211770999999999	0.0119828051559999	0.0004484695644099	6.57615e-05	1.2956300000000003e-05	1.6786570969000008e-10	4.32457488225e-09	-0.00011723	-0.00011723	1.37428729e-08	1.37428729e-08	-0.000283752	-9.265000000000004e-05	8.051519750400001e-08	8.584022500000005e-09
