global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
9916.017139476173	n/a	98327395.91038522	n/a	8747.10098407452	n/a	n/a	76511775.62559742	6218.580841859213	n/a	n/a	38670747.68673844	6378.420225363173	7167.519989894375	n/a	n/a	n/a	n/a	0.0848015623	-0.0725970845	0.0040242334	-0.080930084	0.1346471456	-0.0365516074	0.0607750039	0.0150617678	-0.0465701547	-0.0894198695	0.0709045598	-0.1675000979	0.1883514039	-0.0484405034	0.1080761629	-0.1660734132	0.0490064576	-0.1389451853	0.3368948608	-0.0931947381	0.1114798376	-0.2640149956	0.1009091937	0.1025127791	-0.0553196593	0.1962696196	-0.0386474241	0.002977516	-0.0754784739	0.0689399636	-0.0267145226	0.1620372204	-0.0048196006	0.0753017698	-0.0589504267	-0.0151742416	0.01663263	-0.1068140765	0.0561276733	-0.1372969336	0.0565874532	-0.0046309527	0.0660881662	-0.0744988564	0.0168660315	-0.1338184956	0.0809879221	-0.0512357043	0.039125962	-0.0250631769	-0.1154284533	0.0217981481	0.0224983558	-0.0987120845	0.0319807576	0.0731618429	-0.1013318822	0.0346039638	0.0263347238	0.0389779261	-0.0543181126	0.0370661001	0.0931303468	0.0417441905	-0.0405092928	-0.0602912777	-0.1016788537	0.0526515816	0.0175157571	-0.0263822037	-0.0385236172	0.1112517942	0.0561234905	-0.0145223777	-0.0342733444	-0.0137198127	-0.1281534678	0.0329908734	0.067199078	-0.0293773601	-0.0362157711	-0.0519080275	0.064312737	0.022781533	0.0482611862	0.0074443299	-0.0816019954	-0.025148805	-0.047539088	0.1214241931	0.0462625714	0.0232921235	-0.0049610944	0.1036694138	-0.0635137249	0.0830919534	0.0142485439	-0.0591284193	0.1475408658	-0.0376768108	0.0088201053	-0.0357244231	0.1100595359	-0.097384098	0.030436873	-0.0812125982	0.1093313597	-0.019675084	-0.027916018	0.05976268	-0.0746026826	0.0278170597	0.0530026135	0.0542205086	-0.0962662782	0.1572432478	-0.0344653562	-0.0186920276	0.062563289	0.050657022	-0.0502536936	-0.0304751054	-0.0758337158	0.0829565707	0.0741068926	-0.0485331712	-0.0121434066	-0.0568615064	0.0251913518	0.0505134024	-0.0143592205	-0.0776783749	-0.0858461538	0.1296466903	0.0148878972	0.0322044649	-0.0650537203	-0.0059601211	0.1440382694	0.0169158491	0.0761031712	0.0251646121	-0.0680315106	-0.1065131192	0.0088985314	0.0077974835	0.0315136551	0.0473530521	0.0528614624	0.0372634621	-0.0714796354	0.0818154904	-0.0360450148	0.0417273409	-0.2290631555	0.1052302508	-0.0703575855	0.0051652609	-0.0076963427	0.007527358	-0.112506122	0.000824847	-0.2061327525	0.0273022853	-0.1130079651	0.0309135015	-0.0230212007	0.0935746422	0.0024538381	-0.1528804905	0.0865798606	-0.1511451025	0.099489758	0.1186709048	0.1186491225	0.1186128217	0.0134361	n/a	0.0001805287832099	n/a	0.0646999	n/a	n/a	0.00418607706001	0.0353189	n/a	0.00124742469721	n/a	-0.000200594	n/a	4.0237952836e-08	n/a	-0.0	n/a	n/a	0.0	-0.000217029	n/a	4.7101586841e-08	n/a	0.0	0.0
9887.848428623514	-28.16871085265848	97769546.5474325	793.4762711006795	8567.93464105068	-179.16634302383864	32100.57847253581	73409504.01331626	6212.815148402316	-5.765693456897679	33.243221038912715	38599072.068217285	6368.923669650572	7146.204891916171	1.035878	39.967594	0.102690865	0.0541699	0.0714885562	0.063690156	-0.0631783083	-0.1297232458	0.1407705697	-0.0445319829	-0.0343112297	0.0818857052	-0.1001296829	0.1160099599	-0.0414278103	-0.0789490169	0.0977050216	-0.0292195465	0.0597469935	0.0014996531	0.1220577193	0.054485062	0.1541196566	-0.2272796311	-0.0231501595	0.0108385031	0.0063409443	0.1453959093	0.0444673741	0.0786649694	0.1213407055	-0.1358746677	-0.1379889666	-0.0088161799	0.0990958299	-0.1237189328	0.1290747299	0.1051385138	-0.0742211651	-0.0734821158	-0.0040822649	-0.097695118	0.1364023527	0.0090329073	-0.1278952511	-0.069435524	0.0816808034	-0.0412765193	0.0252910353	-0.0986621427	-0.1066887653	0.0126974804	0.036621475	-0.0143025027	-0.1205142326	0.0529350478	-0.0531441999	-0.048961856	0.0414494778	0.1365973407	-0.0394725693	0.0020023228	0.0528004869	0.0747092085	-0.0046140128	0.1063277239	0.1709408385	0.0683129619	-0.0918079886	0.0485130393	-0.031855101	0.1653182894	-0.1659431319	-0.0542211565	0.0048227592	-0.0800898087	-0.0486306845	-0.1300159102	0.0566276708	-0.0112557815	-0.1031486047	-0.0909663635	-0.1409059726	0.0456723263	-0.0358784709	0.0534184524	0.0658458832	-0.0266865732	0.0201816293	0.0140929819	-0.0285896509	0.006243817	0.0188057986	-0.0320056156	-0.1621986203	0.1656786353	0.0025995036	0.0389708594	-0.0254401497	0.0913924822	-0.0881005144	-0.1210627887	0.1396632052	-0.0264736773	-0.053267109	0.0654905212	0.0726988606	0.0127006441	0.0127565858	0.0682662629	0.0394205186	0.0898477307	-0.1008842924	0.1099415655	-0.069221887	-0.126301598	0.0101574634	0.085606521	-0.0183162419	0.1225206584	-0.0503258337	0.0098425077	0.0513873502	0.0878755371	0.040489202	0.0025340503	0.0548461751	0.0385899908	0.1485442565	0.055642277	-0.0490201552	-0.0189118983	0.0018296498	0.1559770704	-0.0949716496	0.1228813625	-0.0579873482	0.0084210432	-0.0125603491	0.0042712625	0.002856634	0.0256149136	0.0248556066	-0.0581019698	0.1026348712	-0.1462634471	-0.0399504457	0.0101119454	-0.0510182238	0.1414527838	0.1415628021	-0.0224575372	0.0620617504	0.1390246207	-0.0207990832	-0.1306564988	-0.032698635	-0.0633242095	-0.1938864399	0.0636274904	-0.0822935254	0.0350900024	0.0071631792	-0.0115345663	-0.0639737551	-0.0212768483	-0.0829066106	-0.1196888965	-0.0712783306	-0.039371256	-0.0786610218	0.1200549884	0.0002804436	-0.0501414132	0.1521559592	-0.2166056231	0.0330305203	0.1186128217	0.1184168613	0.1180905004	0.0152208	0.0017847	0.0002316727526399	3.185154090000001e-06	0.0184111	-0.0462888	0.00214265300544	0.00033896860321	0.0609163	0.0255974	0.00371079560569	0.0006552268867599	6.46293e-05	0.0002652233	4.17694641849e-09	7.034339886289001e-08	-0.000231001	-0.000231001	5.3361462001e-08	5.3361462001e-08	-0.000301204	-8.4175e-05	9.0723849616e-08	7.085430625e-09	0.0	0.0
9838.340852149544	-49.5075764739704	96792950.72307462	2451.000128326028	8542.28278965094	-25.651851399739822	658.017480234334	72970595.25836666	6203.718358141628	-9.096790260687158	82.75159304693273	38486121.46714346	6360.694540981873	7068.369097665152	1.087412	41.955925	0.1390916	0.10667	0.015662342	-0.0369718678	0.0861110539	-0.0095034832	0.018121664	-0.0310669381	0.01807545	0.1363621202	-0.0962554187	-0.0049465968	-0.0144457488	-0.0298724991	0.1015857791	-0.0758493213	0.0951987472	-0.1342323682	-0.0314892102	-0.0712181121	-0.0883863825	0.1407636363	-0.066313751	0.0364770563	0.0505902957	-0.1816527242	0.1328142866	-0.0261291398	0.1183524019	0.0825313353	-0.0368624526	-0.0169457771	-0.0831631273	-0.0106256419	-0.0453929648	-0.0345368297	0.0224558071	0.0439214659	-0.0374262425	0.0230470672	-0.0395546527	-0.0291887657	-0.0602992053	-0.1141186206	0.0605874212	-0.1590197803	0.0824093297	0.0784166237	-0.0976155015	-0.0170259906	0.0461871975	-0.0289491321	-0.0099774802	-0.0212738865	-0.1212510497	0.0616235962	0.0986704955	0.0361160077	-0.0099980016	-0.077267087	0.0709311112	-0.0523724809	-0.0108129816	-0.0046837793	-0.0087807528	-0.1023123983	-0.0154128304	0.0731742155	0.2006355638	0.003675453	0.0710017439	-0.0264497662	0.0723174004	-0.0626234175	-0.0857973502	0.0979574865	-0.0226149297	0.1244224073	-0.0268834648	-0.0520016125	-0.0073349638	-0.0477855102	-0.0317671215	0.0198191426	0.0655963592	0.0999147056	-0.1124485605	0.1321830519	-0.0532633328	-0.0907758368	-0.051051229	0.0168748147	0.0518350217	0.0188026468	-0.0817533185	-0.06152872	-0.0078093134	0.0176370573	-0.0394631375	0.0627776771	0.0774671267	0.0915742176	0.0867559654	0.0607587404	-0.0127290068	-0.0628164687	0.0323491468	0.1002709627	-0.1170702541	0.1368843001	0.081802001	0.1157571918	-0.0317941059	0.0965894585	0.0410355914	0.0446891951	0.1280365886	-0.0376430979	-0.0338740802	-0.1086587529	-0.0156187913	0.0677260872	0.0385000793	-0.0645113811	-0.0414736829	-0.0161427318	-0.0459836315	0.0660319819	0.0290873597	-0.1074910206	-0.0423812939	-0.0214627401	0.0734838919	0.146531271	-0.0866189158	-0.0010853596	0.0540928474	-0.1061415568	-0.0400215437	-0.0221074868	-0.0733453906	0.1379186503	0.0689401597	0.01178329	-0.0458659308	0.1421725723	0.0187999354	0.1125798671	-0.0224778	0.1024991106	-0.0838962171	-0.0546179765	-0.1373856078	0.0530363461	0.0014800791	0.0676233209	-0.0550676155	0.0256357184	-0.0456640553	-0.0185154289	-0.1045538557	0.1229058762	-0.008587507	-0.0993713794	-0.2009305784	-0.1378022594	-0.0502337387	-0.0856250188	-0.0277615968	0.0364485679	0.0496253982	-0.0585819578	0.0016989552	-0.0523609807	0.0131923476	0.118496684	0.1179527935	0.1170481578	0.0147139	-0.0005068999999999	0.00021649885321	2.5694760999999936e-07	0.121582	0.1031709	0.0106442346068099	0.0147821827239999	0.0357076	-0.0252087	0.00127503269776	0.00063547855569	0.000107504	4.2874700000000005e-05	1.1557110016000002e-08	1.8382399000900002e-09	-7.05307e-05	0.0001604703	2.5750717182090004e-08	4.97457964249e-09	-0.000300447	7.569999999999929e-07	9.0268399809e-08	5.730489999999893e-13	0.0	0.0
9822.133540890938	-16.20731125860584	96474307.29509476	262.67693823333167	8500.194314966446	-42.08847468449494	1771.4397012673714	72253303.39218788	6198.736752251812	-4.981605889816819	24.816397241457626	38424337.32371733	6356.151727973983	6869.160673402736	1.060515	40.918175	0.13237466	0.0891413999999999	-0.0399272884	-0.0237936044	-0.0752125022	0.0932992659	-0.0307393294	-0.0750807249	-0.0838116479	0.1060106124	-0.0077686934	0.0978549784	-0.0476383084	0.0851686259	0.0456006811	0.0824945015	-0.1444866919	0.0022777897	-0.0338862561	-0.0636155002	0.1374251225	0.0640542376	0.0531649284	-0.0171737491	0.0274066315	-0.044666136	0.2584440972	0.1526409075	0.015528595	-0.1158313456	0.0168397828	-0.0938884394	-0.0808154404	0.0869273401	0.0066507628	0.1016729454	-0.1478586565	0.1178632689	-0.0149221346	-0.0672710837	-0.0268968641	0.0763370308	0.0139660095	-0.0331808015	0.0384625892	-0.0165036284	0.0020412414	0.0458071334	0.0543502351	0.0224439118	0.042271087	-0.0008278919	-0.1044449302	-0.1179906564	0.1679604587	0.0564707359	-0.0799955745	-0.0258875558	-0.0346591273	-0.0006203495	0.0576384823	-0.2169755906	0.0322366458	0.0900359471	0.0989323454	-0.086878833	0.0236072361	0.0878048097	-0.0415637637	-0.0940562484	0.1402271802	-0.0054084164	-0.1065621252	0.0396398193	0.1737418567	0.1008973734	0.0713949705	0.0606209168	-0.1077412979	0.0614483503	0.0388548573	0.111559647	-0.0158443176	-0.1687818242	-0.1592955235	-0.0071967092	-0.0088267928	0.0078682883	0.0357740629	-0.0382115243	-0.027571043	0.0740191541	-0.0476461161	0.0775213773	-0.0776066634	0.1235141141	0.0594716598	-0.0581836825	-0.0788037116	-0.0053472765	0.0668589835	0.095135351	0.0380090349	-0.0989548417	0.0098568437	-0.0422943996	-0.0830533069	-0.028126041	-0.0570614914	-0.0462047968	0.110763911	0.0089034626	0.0057137365	0.0962856401	0.1199062682	0.1074165561	-0.0002106728	-0.0218286752	-0.0176921839	0.0211223382	-0.0067370109	-0.0155481819	-0.0996266442	-0.0841950597	0.0830160122	0.0919375777	0.0705929911	-0.2657002053	0.0742764895	-0.0383086508	-0.0545862024	-0.2294360971	-0.0437609006	-0.142760991	-0.0435394755	-0.0385207886	-0.0376054061	0.0026365627	-0.0822487886	0.1093602082	0.1571204774	-0.0479680141	0.0932020026	0.1110942271	0.1439431223	0.0351687332	-0.0606549406	-0.1771584874	-0.0446012505	0.1637416137	0.013635438	0.1488549164	0.0006193374	-0.0246790856	-0.0586663178	-0.0336361928	0.0902333361	-0.0199031232	0.0028133259	-0.0912153917	-0.0931202514	-0.0412341901	0.0321321211	0.0080905047	-0.1823727746	-0.1180356696	-0.0863634054	-0.0700180814	0.1500258008	-0.0389808171	0.017510696	0.0138178306	0.0588337226	-0.0838888725	-0.1083937067	0.1183225485	0.1172578276	0.115490384	0.01265	-0.0020639	0.0001600225	4.259683210000002e-06	0.0413554	-0.0802266	0.0064363073475599	0.00171026910916	0.0748806	0.039173	0.00560710425636	0.001534523929	0.00017075	6.3246e-05	2.91555625e-08	4.000056516e-09	1.51105e-05	8.56412e-05	7.334415137440001e-09	2.2832721025e-10	-0.000369783	-6.933599999999997e-05	1.36739467089e-07	4.807480895999997e-09	0.0	0.0
9811.26496920336	-10.868571687578878	96260920.295917	118.12585052804118	8474.419252366286	-25.7750626001598	664.3538520421564	71815781.66487636	6193.133437934071	-5.603314317741024	31.397131343401558	38354901.78005708	6348.323890871873	6783.623707840669	1.009699	38.957497	0.1404863449999999	0.097482	-0.0456141137	0.0382459028	0.0416704133	0.084050562	-0.0689681323	-0.0196186771	-0.0770399284	0.022406313	-0.0312878772	0.0059428657	-0.0408774786	0.0151242205	-0.0945669149	-0.0772507724	-0.0131774139	-0.1845497685	0.0689918878	0.0472705471	0.0679707491	0.1392603683	0.0271521932	-0.068745116	-0.1636096173	0.1091417938	-0.0818645787	-0.0701428172	-0.0367126297	0.1759457188	0.0168882301	-0.0200117869	-0.1016231448	-0.1428981489	-0.0164851283	-0.1435963118	0.0384177646	0.02732098	0.0361512464	0.004254562	-0.1058247849	-0.028298404	0.0820080581	-0.013863342	-0.1537680322	0.0245470042	-0.0968919799	0.0432499764	-0.0693512848	0.0222455082	0.1747113417	0.0046745047	-0.0539812076	0.0782227601	-0.0323617895	-0.1223775335	0.0429139648	-0.0339501937	0.0763590553	-0.1298225265	0.0849931059	0.0187503534	-0.0206747928	-0.0519372398	-0.0034115823	-0.0744390319	-0.0371638363	0.0016070557	-0.0314392535	-0.0672442875	-0.1803391224	0.1125487182	-0.0427539235	0.1413822118	-0.0489121385	0.0772072478	0.0484934925	-0.0154644741	0.0564859191	0.1524651786	-0.0732551457	0.1603719618	-0.0647104665	-0.0139846752	-0.0283779145	-0.1362938612	0.0907282184	-0.0544903577	-0.1140616137	-0.0491457197	0.1079803299	-0.0279815848	0.0105992189	-0.059723124	-0.0407159767	-0.0918508279	-0.0718517858	0.0182961078	0.1752630102	0.0540861878	-0.058747268	-0.0391024408	-0.0898497467	-0.0632676713	-0.053280704	0.036221272	0.0002459956	-0.0232681453	-0.0009662456	0.0028386892	0.0779313841	0.0359869165	-0.1635460633	0.0553057131	0.0986924737	-0.0143614732	-0.0235179449	-0.0695695364	-0.1643286733	-0.000634973	0.014318396	0.2615966087	0.0313167161	0.0034388224	0.0270543485	0.0809427984	-0.0568122295	-0.0122904726	0.0529833091	0.0667544572	0.1433612867	-0.0062015447	0.00736201	-0.0449367805	0.0597824405	0.0710828195	-0.0942124829	0.1009853216	0.0312998925	0.0560552616	-0.1580041184	-0.0345639164	-0.0250569704	-0.0183856888	0.1923059348	0.0148274107	-0.0644174298	0.0728774706	0.1453595064	0.0079161544	0.0345682092	-0.0076050991	-0.1934265303	0.0301438783	0.0957532867	0.0029994384	0.0813562668	-0.0689107526	0.0980128477	-0.0606611898	-0.0886721275	0.0040126572	0.0415010849	0.0035558838	-0.1342370459	-0.0557516768	-0.1153550515	0.0662722561	-0.0648527481	0.0214763428	0.0035748252	-0.1667806295	-0.0621466402	0.0161405572	-0.1132075031	0.1180905004	0.1163333239	0.1134240387	0.00805818	-0.00459182	6.49342649124e-05	2.10848109124e-05	0.136083	0.0947276	0.00897331820176	0.018518582889	0.0678698	-0.0070108	0.0046063097520399	4.915131664000016e-05	-0.00032713	-0.00049788	1.0701403690000001e-07	2.4788449440000005e-07	0.000186922	0.0001718115	2.951919153225001e-08	3.4939834084000006e-08	-0.000356352	1.3431e-05	1.26986747904e-07	1.80391761e-10	0.0	0.0
9831.614986076393	20.350016873033383	96660653.2344419	414.12318673274336	8420.543161558493	-53.87609080779293	2902.63316072955	70905547.1356695	6202.086809990806	8.953372056735134	80.16287118632552	38465880.798661925	6348.662252138601	6763.661312947218	1.064005	41.052834	0.21944889	0.134459	-0.0458542048	-0.0009451377	-0.0331136016	0.0723328802	-0.0594319781	-0.0337927907	-0.0278042221	0.0725652192	-0.0195830386	-0.0449819274	0.0231481411	0.0670136674	-0.1319236142	0.0476405242	-0.0349597606	0.1481534082	0.0939829755	0.0326942283	0.1218758374	-0.0359130783	-0.2603388302	0.0881989848	0.0644338535	0.0159130656	0.0237669414	0.0135836942	0.0090622104	0.0561933428	0.1020407724	0.0202975944	-0.09010692	0.1631733186	0.08237941	0.0275231035	0.170270668	-0.0057373656	0.0615177099	0.0100710954	-0.0212773608	-0.0767700702	0.0018173206	0.0264658218	-0.0054925973	-0.0988472331	-0.0196545333	-0.0526706393	-0.0126367654	-0.072925684	-0.1138557248	0.0852296839	-0.0303272143	0.0823361269	-0.0411302125	0.0026164315	0.2573438764	-0.1121556737	0.1608745131	-0.0040559871	-0.0384016676	0.024832913	-0.0100200245	-0.0551482217	-0.1818898	0.0847850948	0.001137717	-0.0121700321	0.031957802	-0.0331945896	0.039706178	0.0320507691	0.0442849599	0.0066169542	-0.0380528097	-0.0094288254	0.0203447527	-0.0617706555	-0.1033100558	-0.0892930411	-0.0364554859	0.0320576719	-0.0055955219	-0.0130884883	0.1094142113	0.0606767431	-0.1126408601	-0.0692638812	-0.0759605083	-0.1523300685	-0.1272677983	0.0128276823	0.058442695	-0.0437731474	0.1851701358	0.0449894178	-0.0604939904	-0.0316463103	0.061337713	-0.0324929789	0.0068718775	-0.0185223184	0.0600056611	0.0342238539	-0.1135844868	-0.0596752327	0.057224823	-0.0324040468	0.0267212062	0.1689182963	-0.0796007906	0.0370626752	0.0328538773	0.0651160308	-0.1542493872	-0.0030286459	-0.1064325862	-0.1843631922	-0.0190013135	-0.1057320798	0.0400661795	-0.0444695614	-0.02025657	0.0862271241	-0.0794358583	-0.0700538314	-0.0943298703	0.0514789922	-0.1158197703	0.0616538119	0.102266171	-0.0895332349	-0.1328708231	0.0206733919	-0.1421609484	0.0387928119	-0.1328774838	-0.0499531679	-0.0905320471	-0.050382803	0.0229936585	-0.0360542582	0.0307167836	0.0239058549	-0.0692579071	0.1292179965	0.007582017	0.0699469992	0.0568026733	0.0746521346	0.0860647628	0.2837835089	-0.202691279	-0.0023502634	0.1041324229	0.0100007691	0.040236856	-0.2430280115	-0.0322572217	0.1168456998	-0.1366288667	-0.1315419428	0.0423302601	0.0891584261	0.179553277	0.1972167177	0.0958086557	-0.0250546604	-0.0210990094	-0.0213452542	0.0740399447	0.2422422125	-0.1104098012	0.1024088544	0.1095541081	0.1178006533	0.1151810923	0.1108582214	-0.00368416	-0.01174234	1.35730349056e-05	0.0001378825486756	0.0522164	-0.0838666	0.00703360659556	0.00272655242896	0.165384	0.0975142	0.027351867456	0.00950901920164	-0.000743563	-0.000416433	5.52885934969e-07	1.7341644348900002e-07	0.000260478	7.355600000000001e-05	5.410485136000002e-09	6.784878848400001e-08	-0.000392878	-3.6526e-05	1.54353122884e-07	1.3341486759999995e-09	0.0	0.0
9832.583373612108	0.96838753571501	96679695.79903324	0.9377744193281898	8436.173150478266	15.629988919772586	244.2965536322138	71169017.42485039	6202.953141683978	0.8663316931724694	0.7505306025950776	38476627.67792714	6354.458111761117	6860.345087978941	0.98651	38.062801	0.0887434	0.0616841	-0.014346935	-0.0057892514	0.0063622329	0.0247953044	-0.0095889098	-0.0054431511	-0.0004837794	0.0037711541	-0.1293023894	-0.0471683845	-0.0101802631	-0.0143487479	-0.07406362	0.0571324267	0.0456035685	-0.0510299869	-0.132739921	0.0388006493	-0.0323257524	0.0379596674	0.0463544806	-0.0079383691	-0.1098737429	-0.0521127451	-0.0536915497	-0.0419352944	0.0849555943	0.1174487189	-0.0374378549	-0.0443429309	-0.0677164033	0.2188736966	-0.0334616151	-0.0455155983	0.0039592376	-0.0317922705	0.0125378814	-0.1164968868	0.0409347987	-0.2109316267	-0.0091196013	0.1855978293	-0.1704901561	-0.0472198846	0.1258886363	0.0219527195	0.0506919685	-0.0507252963	0.020133521	0.0030067896	-0.0007957868	0.121952867	-0.0285108795	-0.071036921	-0.0107433176	-0.0445374687	-0.0274277513	0.0512214683	-0.0649239689	-0.033513942	0.0568197221	-0.0404784921	-0.1294289345	0.0409097219	-0.0587954058	0.0207552424	0.0242584719	-0.1893884498	-0.0513936069	0.0387699408	0.1219657436	-0.0559361635	0.0789208331	0.0279078673	0.0377656181	-0.1433067213	0.0097602853	-0.1096297793	-0.0691032296	0.0327838534	0.0208821047	-0.0357069719	0.031172262	0.0129678309	0.0858099977	0.0080801929	-0.0450582216	0.0864621583	0.0443201091	-0.0281557855	0.0194460949	-0.0766272103	0.0226102076	0.0646626506	-0.1356450288	0.0977676129	0.098322405	0.007086876	-0.0089458925	-0.1143042662	-0.0079010606	0.0713353691	0.122787041	-0.0669018906	-0.0651449436	-0.1171388494	-0.069216099	0.099867914	-0.0103928985	-0.1012453963	0.064844795	0.0258674229	-0.0534227719	-0.169863728	-0.1569502262	-0.0136341586	-0.056194238	-0.0530737586	0.0129343919	-0.0916565482	-0.0317715259	-0.0673127444	-0.0170937138	-0.0356170326	-0.0852376386	0.0301407901	0.0887685822	0.0675605097	-0.02404892	-0.102978649	0.0078042144	0.0616979986	0.1015992246	0.0569000573	0.0349458435	0.0339239518	0.0392098848	-0.0384084204	0.0024581061	0.0159359986	-0.0725326313	-0.1265693691	-0.0088351204	0.0491590929	-0.0378797639	0.1005939945	0.035772181	-0.0971017355	0.0715188002	0.1626043241	-0.3207030267	0.0412937459	0.1193958686	0.0194270863	-0.0249010924	-0.1675165034	-0.0596319558	0.128105521	-0.0456036559	-0.1261810431	0.0828042747	0.080139014	0.0966275595	0.137951087	0.0088856525	-0.0330805887	-0.0671978312	-0.1186263383	0.0343126674	-0.0146847378	-0.0910201602	0.1177007488	0.0776287981	0.117453149	0.1138033884	0.1078042307	-0.00389396	-0.0002098	1.51629244816e-05	4.401604e-08	0.108029	0.0558126	0.0031150463187599	0.011670264841	0.141268	-0.024116	0.019956647824	0.000581581456	-0.000656708	8.685500000000005e-05	4.31265397264e-07	7.543791025000008e-09	0.000251411	-9.067000000000029e-06	8.221048900000049e-11	6.3207490921e-08	-0.000469056	-7.617799999999999e-05	2.2001353113600003e-07	5.803087683999998e-09	0.0	0.0
