global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
9883.833485340889	n/a	n/a	97690164.36594582	8725.99181070133	n/a	n/a	76142933.0804267	6171.511971435547	n/a	n/a	38087560.01357227	6341.224291717054	9286.451799677558	n/a	n/a	n/a	n/a	0.0738440702	-0.0071661819	0.1923819135	-0.0137076477	0.0297695589	-0.0161975135	0.0550836182	-0.1801377504	-0.0285656656	0.0203434042	-0.2280848957	0.1327896448	-0.2333493097	0.1445332529	-0.3786415477	-0.0457665596	0.1180555286	-0.1537174996	0.1295443637	-0.1421220127	0.2565852674	-0.2270784529	0.2151248985	-0.0075057056	0.2416894906	-0.0169930577	0.022937	-0.1076374606	0.1292574079	0.0069170092	-0.0178281917	0.0016967167	-0.0834078049	0.1097719707	-0.0110084692	0.1603841741	-0.0513757143	0.0141303813	-0.0250255276	0.0153495833	-0.0683531869	0.1030958079	-0.0157856308	0.0218680172	-0.1760755386	0.0475572766	-0.1770492796	0.0137047139	-0.0181918306	0.0362420406	0.0136582365	-0.018324386	0.0674193724	0.0024439851	-0.0440054862	-0.0976782922	0.0026080933	0.0743216078	-0.0303392827	-0.0555283892	0.0648447749	0.0904397325	0.0199154347	-0.0745029012	0.0614209107	0.0064082345	0.0427919097	-0.0587558447	-0.0138248842	-0.0293389733	0.0273576689	0.0024750137	0.0306857822	-0.0613420522	-0.0461056263	-0.0104771262	0.1315886407	0.0057765533	0.0327305898	0.1004223197	-0.0534391891	-0.0644551423	-0.0692501075	0.0650655778	0.1457451613	-0.0229828759	-0.0049167424	0.0282863519	-0.0469256292	-0.1208708325	0.0863242928	-0.0362929322	0.0713126614	-0.1744509116	0.0801517504	-0.0719382172	0.0210512241	-0.0874732467	0.2035642862	-0.0085397424	0.0137106383	-0.0483231369	0.1158530185	-0.0024684139	0.1015846211	-0.024454125	0.0461052866	-0.0406412181	0.0501660608	0.0414398387	-0.0189281206	-0.0828770485	0.0778805561	0.0216586285	-0.0285675602	-0.0461501375	0.1410933431	-0.0222336726	-0.1121092949	0.0317187523	0.0271421738	0.0066018001	0.0580813992	-0.1556776075	0.0157679794	0.0369377	0.0289807572	0.1485626528	-0.0760628375	-0.1090265879	0.1090387192	0.008594768	0.0157903297	0.085940874	-0.0097103841	-0.121985108	0.1354855489	0.0479677177	0.0172545304	0.0368576718	0.0149747952	-0.1219404382	-0.0226912124	0.0510944696	-0.002183252	0.0686671864	-0.0070594431	0.0536957638	-0.0524399685	0.0612830839	-0.1903540973	-0.0554463787	0.0366523173	-0.0358963086	0.2779573903	-0.1571845408	0.2560381643	-0.1208837894	0.052454257	-0.0942897321	0.0279531721	-0.1869208691	0.0473552751	0.0918128412	-0.0158704149	0.0492724035	-0.112630083	0.1186709048	0.1186491225	0.1186128217	-0.000346607	n/a	n/a	1.20136412449e-07	0.0228554	n/a	0.00052236930916	n/a	0.0709677	n/a	0.00503641444329	n/a	8.363459999999998e-05	n/a	n/a	6.994746317159997e-09	-0.0	n/a	0.0	n/a	-0.000332882	n/a	1.10810425924e-07	n/a	0.0	0.0
9844.406583752176	-39.42690158871301	1554.4805688860604	96912340.98622318	8540.595451822086	-185.39635887924487	34371.80988568176	72941770.6716841	6171.406238818359	-0.1057326171876411	0.0111793863373482	38086254.96452617	6330.082586251152	9188.759335814986	1.06976	40.945698	0.038605313	0.0251653	0.0142849768	-0.0365600751	0.1217043134	-0.0203830704	-0.0258664228	0.0038040394	-0.0089960417	-0.1199015853	-0.0482895196	0.0094520975	0.1161293454	-0.2785500575	0.1006369263	0.0911708751	-0.3299941688	0.2046683918	0.031748836	0.0595633314	-0.0725040435	-0.0923395756	-0.1272470864	-0.0402756584	-0.2121731649	-0.0228477366	0.0243630653	-0.1022762987	0.0282809471	-0.1800580449	0.0041397026	-0.0046657314	-0.0097895227	-0.0757972152	-0.0751682521	-0.0191305599	0.0382156946	0.1967908227	-0.1261610316	0.1462463291	0.1992735005	-0.0783744461	-0.0608736032	0.0329844811	-0.1151929057	0.031244312	-0.0456590842	0.1224258138	-0.0824507273	0.2176074067	-0.0286717757	0.1094024962	0.0457978736	-0.0865286572	-0.0345276678	-0.0654837047	0.0302434842	-0.0539301893	0.0092456767	-0.0091784829	0.0291065493	0.0412817585	0.064494299	0.0578121341	-0.1749226571	0.026572626	-0.012373367	-0.0159023826	0.0134740597	-0.0110395563	0.0235021441	0.112790203	-0.0411042923	-0.1109080052	-0.0017142578	-0.032598694	-0.0403317907	0.0930996331	-0.0739438528	-0.0621889647	0.1187697834	0.0976485927	0.033612945	0.0439152051	-0.0522713212	-0.0115076439	0.1903523216	0.0098299511	0.0146153189	0.0858171718	-0.0130601555	-0.0451826582	0.0621344977	0.0336934551	0.1643796756	-0.1512896011	0.039285267	-0.0788746863	0.2362599791	-0.1370928373	-0.0340021294	-0.1226471035	0.1186223786	-0.1854942229	-0.015063547	-0.0228517399	-0.0301205199	0.1354726428	-0.0494648346	-0.2246251147	0.0281796723	0.0211975129	-0.0423764107	0.0026422614	0.0169890479	0.0956862552	-0.0197667608	-0.0027358294	0.007008858	0.0720287701	-0.0576217286	-0.1372802241	0.0730150019	-0.0013175072	-0.009147811	0.0439824075	-0.0098463175	0.0606929829	-0.0630001465	0.0720124872	0.0881786974	0.0996683531	-0.0251736963	0.0106491602	-0.0119954744	-0.0147021156	-0.006207291	-0.0496895578	0.0099819945	-0.0044877593	0.0277739613	0.0096698923	-0.0030643917	-0.0341747199	0.0621697597	0.063997817	-0.0697503557	-0.0135455493	-0.0168723619	0.0259635825	-0.0921103012	0.0911798024	-0.1614019175	-0.0296721373	0.1111906475	-0.1212053046	0.2569817511	-0.1915081748	0.3554921776	0.1128222506	-0.0122944483	0.0821760329	-0.2493703137	-0.132945082	-0.0810725113	-0.0849799832	0.0030557055	0.1706076359	0.0927481984	0.1186128217	0.1184168613	0.1180905004	-0.00161082	-0.001264213	1.598234509369e-06	2.5947410724e-06	0.0468565	0.0240011	0.00219553159225	0.00057605280121	0.0636814	-0.0072862999999999	0.00405532070596	5.3090167689999935e-05	-2.11414e-05	-0.0001047759999999	1.0978010175999994e-08	4.4695879396e-10	-0.0	0.0	0.0	0.0	-0.000316584	1.6297999999999985e-05	1.0022542905600003e-07	2.656248039999995e-10	0.0	0.0
9815.623236177844	-28.783347574331856	828.4810975847955	96346459.5145944	8431.243448374224	-109.35200344786244	11957.86065806132	71085866.08575326	6162.422043359375	-8.984195458984686	80.71576804524106	37975445.44048153	6322.927064424641	9015.504511691124	1.065317	40.775661	0.044412838	0.0225209	-0.0055019981	0.0237834382	0.0327474104	-0.0843474169	0.0116494134	0.0416728456	-0.0342521676	-0.109104953	-0.0945192785	-0.0252760954	0.0709448997	0.0700333787	0.067541811	0.0639522819	-0.141890388	-0.1402106786	-0.0126968031	-0.0691327582	-0.1835666619	0.0209977278	-0.083265539	0.0743376898	-0.0092206675	0.037000489	-0.2079108418	0.1251381963	0.1718944476	-0.0291426456	-0.0719502545	0.0058768941	0.0381015997	0.0128523434	-0.0036157103	-0.0479090284	-0.0776160879	-0.0576519034	0.0129479796	-0.158949507	-0.0212291577	-0.0142329054	0.227310179	0.1138446094	-0.0892793662	0.0539322966	0.0399226017	0.1004461275	-0.0521536644	0.0004063308	-0.0133354469	0.056082564	-0.0948664908	-0.1148151511	0.0706359587	0.043065065	-0.0150524933	0.0146514318	-0.0461813241	-0.1737171726	-0.0570674011	0.0535108806	-0.086927316	-0.0756772467	-0.1676395457	-0.070666157	-0.0530697097	-0.0742080411	-0.1120881012	0.0511466845	-0.034047607	0.130365886	0.0508518362	-0.118846916	0.0929333837	0.0149270566	0.1029446569	-0.1376144191	-0.1780610599	-0.0678686664	0.0284262981	-0.0386544485	0.1915938765	-0.0725475203	-0.0451743921	-0.1658562384	0.0168928877	0.0045360572	-0.0068054102	-0.0164367546	0.0537721491	-0.0442336184	0.0593832352	0.0847251365	0.0277375757	0.004584385	-0.0382322172	0.0097175175	-0.0242467928	0.2341286486	-0.0380590354	-0.0211570209	-0.0627196025	-0.0752769257	0.1636988878	-0.1322021708	0.0028572802	0.088041482	0.054882853	-0.1276287318	-0.0150860275	-0.1689910179	0.0163135053	0.0409736135	0.0694519085	-0.0472064667	-0.1316262963	0.073681183	-0.1416651627	0.058893647	0.0129499719	0.0345486995	0.0645904207	0.0366257079	-0.1579071723	0.1279816517	-0.0482767237	0.1185190046	0.0587205288	0.0009038013	-0.028540406	0.0975779077	-0.0122026981	-0.2332746002	0.2258813661	-0.1702797131	-0.0864528785	0.0458027599	-0.0224979884	-0.011352486	0.0823976822	-0.1470368745	-0.0543715936	-0.0768192158	-0.0633108097	0.0687965064	0.0611261471	-0.0186139049	0.1004677287	0.0524246366	-0.0737772803	0.1135876056	-0.1041570808	-0.1659933209	0.0766196363	-0.1458708646	0.2214282741	-0.0155358107	-0.096129625	0.1374816088	0.0961793626	0.02579309	-0.2149342782	-0.0254708089	-0.0516346351	0.2731416622	-0.1733888102	0.0082527347	-0.1211460816	0.118496684	0.1179527935	0.1170481578	0.000667848	0.002278668	5.192327854224001e-06	4.4602095110400006e-07	0.0325974	-0.0142591	0.00106259048676	0.00020332193281	0.0787227999999999	0.0150413999999999	0.0061972792398399	0.0002262437139599	0.000215537	0.0002366784	5.601666502656e-08	4.6456198369e-08	8.039069999999999e-24	8.039069999999999e-24	6.462664646489999e-47	6.462664646489999e-47	-0.000296589	1.9995000000000028e-05	8.796503492099999e-08	3.9980002500000105e-10	0.0	0.0
9812.2254098408	-3.3978263370445347	11.54522381671348	96279767.49352545	8492.221311452437	60.97786307821298	3718.2997855852896	72117822.80268694	6170.10665131836	7.684607958984998	59.05319948329557	38070216.08864306	6326.93005330633	9012.369474812122	1.053921	40.339451	0.091109462	0.0657156	0.0041455655	-0.0324770754	0.0104990412	-0.0957879156	0.0125484231	0.0370149881	-0.0973054729	-0.007530086	-0.0332393662	0.0111281531	-0.0292122882	-0.0432357406	-0.0103920607	0.0891183061	-0.0367677268	-0.0113159651	-0.0956850086	-0.2428680784	-0.1596814139	-0.2479228946	0.0121850344	0.082196758	0.0476864287	0.0315306098	-0.1516977326	-0.1279233284	-0.1117211086	0.0592656296	-0.0105362134	-0.0042739582	0.0319712184	-0.0483877435	-0.0163363977	0.0749765504	-0.0763384133	-0.0032276234	-0.1908656844	0.0501718369	0.109537571	0.1464454693	0.0677705082	0.1162553378	-0.0170527242	0.1180724286	0.0539829754	0.0698161956	0.1312295642	-0.1923051068	-0.0460746146	0.0100903047	0.0026569457	0.086142377	0.1580459036	0.0285997738	0.0882068883	0.0324678311	-0.0310422474	-0.1389112284	0.0067962321	-0.1624349153	-0.0585416259	0.1478247424	0.0165509085	-0.0021574976	0.0736316519	-0.0157506155	-0.0030999272	-0.0387687583	0.0564384204	-0.0526514692	-0.0196779144	-0.054257197	0.0374455361	0.0968697861	0.0098452792	-0.0537728006	-0.0158977292	-0.06675622	-0.0089007737	0.018730745	0.1123964197	0.0507781015	-0.1404312072	-0.1482679097	-0.1911066274	-0.0365287656	0.0052402081	0.0575607052	0.0528982684	-0.1671150432	0.0853684816	0.1059806809	0.0201166672	-0.1191504903	-0.1363686938	0.1199800783	0.1898711334	0.0139518209	-0.1035708272	-0.016210857	-0.1250203799	0.044056639	0.0155044099	-0.1750608149	0.02511603	-0.134279562	0.0926915446	0.176709101	-0.0165722728	-0.0701729198	0.1444260792	0.1438395911	0.0959882607	0.034730846	-0.1330632601	-0.0181887177	-0.0259426412	-0.1242133418	0.1272201279	-0.021086415	-0.0055000461	0.0079388574	0.0571887439	-0.0561144518	0.0881760731	0.0076385986	-0.0298939778	0.0001695255	0.0516216525	0.0533494865	0.0073411673	-0.1217237949	-0.0145720226	-0.0571269783	0.0527538352	-0.0302506396	-0.124253591	-0.0794103914	-0.1034165378	-0.2004870511	-0.0718211604	-0.0018654572	-0.0651978421	0.0805054469	-0.0168500606	-0.0165158054	0.0328055577	0.1501380035	-0.0888913482	0.2174324282	-0.09632606	-0.213975722	0.2126634798	-0.2327635266	0.0472010292	0.3146629105	-0.370881928	0.1572423908	0.2225598442	-0.1129100406	0.1614073113	0.1797448273	-0.1436558605	0.0275185625	0.0406584671	-0.1748212252	-0.1803618358	0.1183225485	0.1172578276	0.115490384	0.00513001	0.004462162	1.9910889714244005e-05	2.63170026001e-05	0.0318849	-0.0007124999999999	0.00101664684801	5.07656249999997e-07	0.0182839	-0.0604388999999999	0.0003343009992099	0.0036528606332099	0.000215537	0.0	0.0	4.6456198369e-08	-0.0	-8.039069999999999e-24	0.0	6.462664646489999e-47	-0.000806507	-0.000509918	6.504535410490001e-07	2.600163667240001e-07	0.0	0.0
9809.617931073126	-2.607478767673456	6.798945523867884	96228603.9536314	8411.1084871876	-81.1128242648374	6579.290260218395	70746745.98323926	6164.156807958984	-5.949843359375336	35.40063600110278	37996829.15310709	6325.717360372926	8970.217442844303	1.062779	40.67852	0.14825291	0.0743264	-0.0064492929	0.0103517592	-0.0690979848	-0.0442845647	0.0349005262	0.0182416374	-0.0921653539	-0.0074180704	-0.0935658275	-0.0027258618	-0.0179391623	0.0682905493	-0.0390304349	0.1753003677	0.0653092888	-0.0721877244	0.1282482341	-0.0132872882	0.0752686844	0.2345382739	-0.2578027868	-0.1168949625	-0.0802220569	0.0239433685	0.0508868581	0.0023774604	-0.0669436301	-0.1243388483	-0.2994432671	0.0056222336	-0.012101906	-0.0278194807	-0.1071086804	0.0599243245	-0.0176859154	-0.0386750721	-0.1527496064	0.0303520097	0.0124507548	-0.0566916839	0.1174438041	-0.1433738573	0.067640946	0.0498601339	0.1599583675	0.0497750548	0.1871916144	-0.0195295275	0.0936515394	0.0279648075	0.0497194509	-0.0136611588	-0.0530928529	-0.0142283361	0.022474912	-0.0410762467	-0.0786721077	0.1088321038	-0.104905096	0.0007219881	0.1699646061	-0.1240355752	-0.1158810909	0.0107916569	0.0769924053	0.1059586841	-0.1895552622	0.0829383622	-0.1305047435	-0.165679297	0.1123000952	0.0779813866	0.1073450395	-0.0281791865	0.0436525902	0.0848791338	0.078483677	0.0136294446	0.0471810717	-0.030001459	0.0185903941	0.0737681453	0.0498793113	-0.0494219843	-0.0547790597	0.0307975278	-0.0021256438	0.0059043517	0.0206035093	-0.1414995076	0.0584422014	0.0723073962	0.0863572073	0.0081178046	-0.1544347376	0.0466983557	-0.0027954742	-0.022040264	-0.1924589166	0.0609047126	-0.0975811871	-0.1164117386	-0.0291072492	0.0643979291	-0.2197476749	0.031587586	-0.0625348213	0.1729790427	0.0855979808	0.091974047	-0.0507233147	0.0618182678	0.0749869406	-0.0846909994	0.0769227321	0.0789762017	-0.021563912	0.0894516632	-0.0162899708	-0.0089288944	-0.0348105224	0.0275037772	-0.0246828065	0.0934013444	-0.1746806083	0.0366421785	6.34335e-05	-0.094818268	-0.1150200462	-0.0296447563	-0.0244786362	0.1709916129	0.1525476566	-0.0375603148	0.0362911069	-0.0174757004	-0.1126537554	0.0973137123	-0.1320742449	-0.0263725767	-0.0379486532	0.0856303051	-0.0985277901	0.0905149394	0.08842842	0.0396915626	0.0726498242	0.1102638841	-0.0125276314	0.0656785593	-0.0054302191	-0.2329515036	0.0998404495	-0.1068025744	0.0264058921	0.1401749801	-0.076586818	-0.2657833473	-0.2048921582	0.1314509967	0.0688676587	-0.0407847615	0.0917892722	-0.111316379	0.0328341667	-0.0854218611	0.2226282848	0.1180905004	0.1163333239	0.1134240387	-0.0134472	-0.01857721	0.0003451127313841	0.0001808271878399	-0.0213249	-0.0532098	0.00045475136001	0.00283128281604	0.0660274	0.0477435	0.00435961755076	0.00227944179225	0.000448606	0.000233069	5.4321158761e-08	2.01247343236e-07	0.000198994	0.000198994	3.9598612036e-08	3.9598612036e-08	-0.000664122	0.000142385	4.41058030884e-07	2.0273488225000024e-08	0.0	0.0
9797.82397992634	-11.79395114678664	139.09728365278988	95997354.74161962	8454.84172743194	43.73324024434078	1912.596302269228	71484348.63592431	6159.762828027344	-4.393979931640388	19.307059639658465	37942678.09754742	6321.642797948669	8896.946880744214	1.038017	39.73074	0.06139194	0.0373525	-0.0367705527	-0.0744489782	-0.0415123523	-0.0902922304	0.0494208448	0.0737464368	0.0025229452	0.0201748358	-0.0015055478	0.0125226583	-0.0517935652	0.0209001577	-0.0458965664	0.0042653788	-0.0855441592	0.0390187239	-0.0403821583	0.0136508099	-0.0120922805	-0.0749078049	-0.06101831	0.0146647705	0.0863217789	0.0819124128	-0.0048133687	-0.0582398399	0.1070557919	-0.0506314054	-0.077313895	-0.0092056131	-0.0235454648	-0.0220893912	-0.0917815281	0.0860076375	0.134559855	0.0940183501	0.0919812847	-0.126897608	0.0443090155	0.1109111873	-0.0799098111	-0.0298781482	-0.1187461653	-0.0472984758	-0.0572367184	-0.0409735497	-0.0440220241	0.0714259151	-0.1462023343	0.0982005954	-0.0775536095	0.0047295177	-0.0403306522	-0.1035189208	-0.0377451776	-0.1557945718	0.0533357924	-0.0174883276	0.1113903491	0.0035100581	0.040009278	-0.13377691	-0.1172960625	-0.0452281799	0.1575525945	0.1399572724	0.1561823323	0.0146655946	-0.0533754974	0.00665786	0.1046780212	-0.0035357688	-0.0472888533	0.0295740711	0.0691819499	0.0594860464	0.0910796956	-0.0873496569	-0.1181305661	0.1026276794	-0.1136204139	0.0713359722	-0.0540581033	0.0496643238	0.0145775212	-0.0371464759	0.0104854661	0.0960428127	-0.0333028093	-0.113926975	0.0544726051	0.0240399546	0.0943493622	-0.0481450393	0.0968565541	0.0280395865	0.0504601078	0.0845578741	0.1339732202	0.1582433981	0.1195652279	-0.0543814487	-0.0830733481	0.0292385988	0.0406627622	0.0514075304	0.0375826718	-0.0560397175	0.1440723152	-0.0726392185	-0.0745732467	-0.1243176912	-0.0234943006	0.0660192311	-0.1788370646	-0.0192064191	-0.02298431	-0.0711268399	-0.0348181335	0.0204745102	0.0216603885	0.0679166241	0.0019646302	-0.1782162834	-0.0148963941	0.0058420116	0.0923496528	0.124449175	-0.2339792387	0.07342956	-0.0551576232	0.1416583964	0.0051332351	0.0424581136	0.0844319312	0.0408662363	0.1664490601	0.1162207912	-0.0528652913	0.0995712507	0.114356674	-0.054886659	-0.0486987443	0.0781727377	-0.0682076415	0.0253950275	0.0098100283	0.1009752454	-0.0086831092	0.0982448558	-0.0025011642	-0.132284691	0.0090057922	-0.1561502538	-0.0587633232	-0.0209242876	0.190847591	-0.1270824823	-0.0769010531	0.0638566462	0.1685023157	-0.0119087604	-0.0014679978	-0.1754883145	0.0249260922	0.0277530355	0.045620855	0.1178006533	0.1151810923	0.1108582214	-0.00947746	0.0039697399999999	1.5758835667599996e-05	8.982224805160001e-05	0.0138121	0.035137	0.00019077410641	0.001234608769	0.0543327	-0.0116947	0.0029520422892899	0.00013676600809	0.000299501	-0.000149105	2.223230102500001e-08	8.9700849001e-08	0.000168393	-3.0601e-05	2.8356202449e-08	9.36421201e-10	-0.000632018	3.210399999999992e-05	3.99446752324e-07	1.0306668159999947e-09	0.0	0.0
9783.55987985278	-14.264100073558438	203.46455090848983	95718043.92266496	8490.534299266581	35.69257183464106	1273.9596841710122	72089172.68702225	6153.8390239746095	-5.92380405273434	35.091454455191794	37869734.732992776	6313.531509677582	8904.991809490433	1.026402	39.286148	0.04090813	0.0268276	-0.0831026199	0.0785134908	-0.0610028005	-0.1684684543	0.0389407363	0.14366983	-0.0061992135	0.0273624858	-0.0956448917	0.091786292	0.0691587347	0.0265412573	-0.0271473813	0.046563276	-0.0212492951	-0.0236585578	-0.0417346217	0.0412637699	0.0241079922	-0.1173914806	0.0360879101	0.0917736275	-0.093989867	-0.0358519625	-0.0175906168	0.0883986763	-0.0209703754	-0.0359739891	-0.0617823805	-0.0156081058	0.10486357	0.0402433015	-0.0950803387	0.085762667	-0.0163690769	0.05481527	-0.0094054228	-0.079166811	0.1044292491	-0.0539367838	0.0477688248	0.0211588179	0.01038955	0.101631631	0.0822395066	-0.1720558422	0.0069807825	0.0665443922	-0.0873724571	-0.1704255294	0.1375922125	0.0389721068	-0.2257545458	-0.0264850681	-0.020973833	-0.1643386564	-0.1213650385	-0.1084734115	0.0001342025	-0.1164127945	0.0807601163	0.1480922525	0.1484375637	0.0671318301	-0.1210282549	-0.0531665278	-0.0157648199	-0.0051383736	0.0030603449	0.0179019307	0.0161991921	0.1086141425	0.018174446	0.0269272715	0.0319311278	0.0188662715	-0.2197422159	-0.0181763535	0.049569678	-0.0708625555	-0.1222022746	0.0344302665	0.0903206762	0.1327284854	-0.0486241048	-0.1338141663	0.0101634687	-0.0227178387	0.1115732728	-0.1503856521	0.0388675799	0.0388697305	0.0840287329	0.0019817018	0.0112912	-0.0301566102	0.0174951747	0.0718251331	-0.0024337997	-0.0952240828	0.1212427791	0.1500029633	-0.0630302844	0.0634556734	-0.2321749127	0.0352256949	-0.0563474843	0.0256791451	0.0393525576	0.1777119457	-0.1057662916	-0.1263521001	-0.0580582094	-0.0409212817	0.016544596	0.038037078	0.0331270903	-0.0299596269	0.1715536911	0.1363564128	0.0279912434	-0.0694563838	0.1112221355	0.1572734247	0.156400263	-0.0111867029	-0.1069523757	0.0502284899	0.0943132526	0.0310711034	0.0861747021	-0.0188209126	-0.1725347165	-0.1228251733	-0.1923971917	0.0412517961	-0.0079909082	-0.1064242767	-0.1246112321	0.0882239793	0.0705577874	0.0453561927	0.1149302135	0.0798874627	0.0886493079	-0.0504374292	0.1259738033	0.0733562817	0.0315122923	0.0406720589	0.0058231307	-0.1302765616	-0.0993649898	-0.0996942157	-0.1043958123	-0.0625036361	0.0693954532	-0.024329245	-0.1679591781	0.1816744168	-0.0414799722	0.0121009806	0.1464520829	-0.0900393991	0.1253175998	0.050055795	0.0937746786	0.117453149	0.1138033884	0.1078042307	-0.0124379	-0.00296044	8.764204993599999e-06	0.00015470135641	0.00972136	-0.00409074	9.45048402496e-05	1.6734153747600005e-05	0.0810179	0.0266852	0.00656390012041	0.00071209989904	0.000416155	0.000116654	1.3608155716e-08	1.73184984025e-07	0.000180731	1.2338000000000005e-05	3.2663694361e-08	1.5222624400000008e-10	-0.000646461	-1.4442999999999945e-05	4.17911824521e-07	2.086002489999984e-10	0.0	0.0
