global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
545.1432878735823	n/a	n/a	297181.2043136194	760.6914977837347	n/a	578651.5548004616	n/a	527.1598445334946	n/a	277897.5016885782	n/a	545.7337882948823	491.783230001963	n/a	n/a	n/a	n/a	-0.0105453264	-0.0754908342	-0.0254008121	0.0132185336	-0.1471977432	0.0181526472	-0.0499375226	0.1609821629	-0.2580297775	0.1902097598	-0.0397094937	-0.080515164	0.0611220247	0.2736254384	-0.1633966627	0.2413376796	-0.0214957638	0.0494839065	0.1078000511	-0.0624770031	0.0279191236	-0.3135509218	0.2995188435	-0.1769899182	0.0959140952	-0.0678329936	0.0237538067	-0.1059878906	-0.2405547058	0.1217090408	-0.2669200919	0.1781029444	-0.0689466615	0.1010642937	-0.053273476	0.0429554124	-0.1599346379	0.0742776735	-0.0122935695	0.1114623418	-0.021854015	0.0836210969	-0.0738158029	0.0730036413	-0.0238303948	0.1641221406	-0.0325683147	-0.0393083	0.0593067688	-0.0005924915	-0.033176244	0.0083060921	0.01640901	-0.0047209639	-0.0280398564	-0.0121867382	-0.13207053	0.0119306897	-0.0052077457	0.016708179	-0.0101530067	0.09513112	-0.0142283631	0.027016516	-0.1153131424	0.0261145519	-0.1198037908	0.0382216901	-0.0525106003	0.0276123296	-0.0233886687	0.081319737	-0.0048101914	0.003623202	-0.0055904702	0.0052352044	-0.0912345793	-0.0123717235	0.0110065283	-0.0762885446	-0.0029342813	-0.1650710402	0.1174971114	-0.0348296333	0.0778148381	-0.062562148	-0.0152318639	0.0964496825	0.1217626164	-0.0235429297	-0.0081471807	-0.0443276787	0.0349207834	0.0166740377	-0.1007674717	-0.0563369866	0.0708981832	0.0420493721	0.0822247355	-0.0043256372	-0.0660025414	0.0401468943	0.084455838	0.0098895386	-0.035446994	-0.0436946469	-0.0627468219	0.0291905322	0.000482185	0.1083886884	-0.0501940179	-0.0502253293	-0.0563069434	-0.0065180178	0.1339021969	0.03583695	0.0120062441	-0.094858915	-0.0931434268	-0.0159603419	0.0432295751	0.1043342341	0.0893533833	-0.0080939333	-0.0144941414	-0.021973708	-0.0879970595	0.0863520016	0.0507460972	0.0137064306	-0.0606891347	0.0226562658	-0.0424179706	0.1320133662	-0.0727079618	0.0478094507	-0.0532884988	0.0294432797	-0.0134000557	0.106387307	-0.2347535432	0.1490866961	-0.0844090643	-0.1249098753	0.0019585856	-0.046829425	0.1411261639	-0.0293718208	0.0387961372	-0.0115669301	0.0593291465	-0.0656369769	0.0833742387	-0.0443439952	0.0353120924	-0.1380289452	-0.0774810396	0.0306996868	-0.051619691	0.0846785273	-0.0435816403	-0.0460395555	-0.0896962061	0.0321141736	0.0733531692	-0.0712598715	-0.0742391868	0.0253931663	0.0084212941	0.0652494099	-0.0030238944	-0.023551854	0.0250868531	0.0871334835	-0.0899803583	-0.0106103951	-0.0622310389	-0.0795417645	0.0940823605	0.0562528243	-0.1286694785	-0.0524858804	-0.0026597156	-0.0141808459	0.0241725566	0.1973597677	-0.1562969187	-0.048257315	-0.0279846592	-0.0202485445	0.0313924588	0.0479824801	0.0147726304	0.0146459164	-0.0490900934	-0.0143206433	-0.0605507564	0.1123400839	0.0822056032	0.0829052503	-0.0675809584	-0.1073740369	0.0205847038	0.0158338713	0.0112627635	0.075293035	-0.0646137071	0.038231689	-0.0809877077	0.2098243303	-0.2815466354	0.0773100029	-0.0549174328	0.0305824208	-0.0603821704	0.0903885016	-0.0695586208	0.0052157609	-0.1044415727	0.0942504299	-0.0829655097	0.0500426561	-0.2075051511	0.2229203922	-0.0558488439	0.0593138	-0.2163776763	0.2657795605	-0.1598557603	-0.3037596506	0.1072068848	0.1071937792	0.1071719376	0.107141362	-0.0325542	n/a	n/a	0.00105977593764	-0.0497478	n/a	n/a	0.00247484360484	0.13682	n/a	0.0187197123999999	n/a	-0.00202916	n/a	n/a	4.1174903056e-06	0.000954175	n/a	9.10449930625e-07	n/a	0.000944483	n/a	n/a	8.920481372889999e-07	0.0	0.0	0.0
545.6973578564326	0.5540699828503648	0.3069935458958035	297785.6063714915	751.8383232512384	-8.853174532496269	565260.8643092337	78.37869930284052	526.9859639020725	-0.1738806314220937	277714.2061497965	0.030234473983746	545.0200124942678	533.232569533718	1.476447	68.172775	0.2149282	0.129455	0.0409522494	0.0418303653	0.0032806199	-0.1874636292	0.1838391962	0.0101520178	-0.2393881957	0.0575446605	-0.1979036805	-0.0233643147	-0.0914109348	-0.0236746279	-0.03393601	0.0609355447	-0.1499007624	0.1252335771	0.0118896766	-0.0450338587	-0.083890984	0.0868540269	0.2243636186	-0.1620560784	-0.0161533099	-0.0364992389	-0.0434669779	0.148943009	-0.183760905	-0.0507753785	0.0579908604	-0.0142543034	0.1831166157	0.1248589829	-0.0338920731	-0.1714195592	-0.0780526088	-0.1423418877	0.0417608012	0.0463496816	0.0247150767	-0.083108327	0.0363370326	-0.0386503484	-0.103070888	0.1458775894	-0.0285725469	-0.1177162986	-0.0020279523	0.0133506297	-0.123941097	0.0437656917	0.0031835231	-0.0739484193	-0.102397829	-0.053625766	0.0607828453	0.1804510006	-0.2249889373	-0.0023734242	0.0035281188	0.0418321803	0.0444618241	0.1781117614	0.0280555394	0.0246230475	-0.1395359805	-0.0767342747	-0.14767539	0.1158894932	-0.0084757767	-0.1515125744	0.050968133	0.1073017743	-0.0900990122	0.1842507163	-0.0155783199	0.0125026588	0.0007218914	-0.0678958447	0.0372034209	-0.0352814161	0.0262496455	-0.0890939927	0.039926024	0.0389005581	-0.020090904	0.0389268254	-0.107716146	-0.1879657305	-0.0690240393	-0.0228940874	-0.1112812652	0.0126937514	-0.0546261825	0.0904570868	-0.0686310547	0.1190208391	-0.0191356099	0.0913784698	0.0078521129	0.1378459633	0.088054411	-0.0483838043	-0.1106462253	0.0078415437	-0.0612518957	-0.0116834553	0.1090757426	-0.0651781686	-0.0128306005	0.1892840924	-0.0344944735	-0.067159767	-0.1206788487	0.0869760171	-0.0004228482	-0.1074122761	0.0701341295	-0.2455554762	0.0677931181	0.0126017434	0.042243244	0.0770936061	-0.0246907384	-0.0530140053	-0.0902486139	-0.0121137605	0.0334555719	-0.008006399	-0.0439731108	-0.0006427731	-0.0352153069	0.0154458094	0.0275098375	0.1586696648	-0.0481148615	0.2150718002	-0.1578412582	0.1225025952	0.119872474	0.1491001652	-0.0573504478	0.2183723314	0.0023971493	-0.042042002	0.186287983	-0.0844123372	0.0776152842	0.1176429517	0.0647838389	0.021707905	0.0412640864	-0.1136684974	-0.0467079373	-0.0091947576	-0.0090387339	0.0450232352	-0.1252486025	-0.1518474827	0.0335180778	0.0890518201	0.0277020546	0.0453329634	0.0801299819	-0.039901701	0.0052795223	-0.0521773187	-0.043857866	-0.0747034544	-0.1261049149	0.0254256875	0.1174972495	0.0698571563	-0.0680254724	-0.0550160516	0.00143119	0.1449673272	0.0047498434	0.075404964	0.003473634	-0.0581275464	-0.0944459403	0.0315296239	-0.0268875764	-0.0374382952	-0.1814991669	0.0565511236	-0.011301315	-0.2164781132	0.1461623919	0.062596066	-0.0375071809	-0.0371644746	0.0738920479	0.0635049943	0.0460557679	-0.1770661542	0.0563434799	-0.1114200167	0.0645794254	0.0054991957	0.0304859846	-0.0928357559	-0.0826599847	0.0584869563	-0.0388544598	0.0732512671	-0.0720801462	0.0299591726	-0.0607835838	0.2120101389	0.0147198524	0.199371355	-0.0086245411	0.0642016994	0.0744319302	-0.0715606325	0.0653856485	0.0634949166	-0.0247642153	0.0585395103	-0.0438075048	0.0327256202	-0.0887204056	-0.0626011265	-0.0210361401	-0.170337767	0.054753231	-0.0729244336	-0.111841974	0.0791208316	0.1071719376	0.1070540189	0.1068575839	0.1065827765	-0.0285507	0.0040035	1.602801225e-05	0.0008151424704899	-0.0788463999999999	-0.0290985999999998	0.0008467285219599	0.0062167547929599	0.0271713	-0.1096487	0.0007382795436899	0.01202283741169	-0.000947213	0.0010819469999999	1.1706093108089994e-06	8.97212467369e-07	0.00102938	7.520500000000006e-05	1.0596231844e-06	5.6557920250000105e-09	0.000658087	-0.0002863959999999	8.202266881599998e-08	4.33078499569e-07	0.0	0.0	0.0
544.0299175891893	-1.6674402672433644	2.780357044824622	295968.55123210006	747.1563160761128	-4.682007175125591	558242.5606524282	21.92119118792752	526.6398233001936	-0.3461406018789148	277349.50348565914	0.1198133162690974	544.4575656722678	546.6177967161871	1.301743	60.106064	0.1034125199999999	0.0466303	-0.0954925884	0.0552096437	0.0117433278	-0.2018671097	0.2346116166	-0.0302908743	-0.027504693	0.1075189242	-0.0098679434	0.1213285289	0.0263542482	0.0196261239	0.0431506205	-0.0883500002	0.0502325893	-0.0473788932	0.0528907023	-0.1591386199	-0.0185546985	0.0112852038	-0.0789808909	-0.026537775	-0.0565134515	0.1620981296	-0.0195646303	-0.0669905021	-0.2378534583	-0.0765897062	0.1049103155	-0.0135436269	0.0854446772	0.0693667188	-0.0292143275	-0.012075505	-0.023537136	0.0449708487	-0.0408351881	0.1229714382	-0.0449236561	-0.1639546583	0.0176050589	0.1290885459	0.0782059209	0.0634457021	0.0423870527	-0.0041895947	-0.0761943331	-0.0442600978	0.206730623	-0.0244086103	0.0406649268	0.0682802706	0.1280747006	0.1057936911	-0.1706229974	0.1561667014	-0.1410459273	-0.120171454	-0.0395407788	-0.0859995108	0.0571015323	0.0913235514	0.0884402239	-0.14766156	-0.0073266408	-0.0527204297	-0.0993499433	0.1302614332	0.0700371651	0.0096052213	0.1577252959	-0.0919536362	0.0144438122	0.0222335984	0.0058011119	-0.0621799277	0.0514832456	0.086256269	0.0119814233	0.164095755	0.0819100022	0.0364983941	-0.1283131039	-0.0464881051	-0.0199518619	-0.0095812866	0.179337506	-0.0678216287	-0.1042403394	-0.0266140046	0.0241316328	-0.1038508199	-0.2320240316	0.0347360125	-0.0431495141	-0.0970698128	0.014366068	-0.0379592986	-0.069106365	0.1414224426	-0.0587957396	0.065041358	-0.0192265863	-0.0562845114	-0.0135039129	0.0273357891	-0.0073714456	-0.0948637473	0.012073162	-0.0510342726	0.1620117486	0.1778500867	0.1300354778	-0.0389821126	0.0221643147	0.0969127631	0.0167251604	-0.1193211434	0.027435584	0.1506922839	-0.1024170857	-0.0602279255	-0.1452593053	-0.1528486848	0.0414915734	-0.0669980053	0.039957095	0.0360636015	0.0388904305	0.1151812651	-0.036172901	-0.0889954845	-0.0049979042	0.0453872036	0.0413629818	0.1879950053	-0.0967227788	0.0743153684	-0.0151611704	0.1270867506	-0.0077107978	-0.0081449582	-0.033594935	0.0513084363	0.0498824266	0.1450688588	-0.1853168563	0.0537737755	0.0892611006	-0.1481396871	-0.1810071869	0.1713712834	-0.1268131116	-0.0719910391	-0.0418122341	0.0676250377	0.0949813726	-0.0580577021	-0.0382040038	-0.1243226598	0.0269665605	-0.0249454812	0.1311185465	0.091944365	0.1181237373	-0.1547502101	0.1394599943	-0.0969309957	-0.1248172897	0.0585006698	0.009378237	-0.0122110638	0.1468797224	0.0598898816	0.0585201811	0.1138720708	0.0082398226	0.0100195167	-0.100510555	0.0212713117	0.0366009236	-0.0780338558	0.0934466581	-0.0955872624	0.0772365041	-0.1051815087	0.0508336741	0.1098410203	-0.0331822336	-0.1161957847	0.0445657055	-0.0963556749	0.06600489	0.0006316145	-0.0084977727	-0.0145306651	0.0311432858	-0.126614942	0.0887983378	-0.0982486508	0.0813372065	0.046334538	-0.0895919111	0.1366999228	0.0553688727	-0.1028033241	-0.0569139548	-0.0157843613	-0.0309247299	0.1273373797	0.0419386013	0.1490329518	-0.1716949921	0.0965681899	0.0904272153	-0.0496285734	-0.0128095108	-0.1226390922	0.1755880998	-0.142241322	0.0270280606	0.0395137467	-0.1172154666	-0.1753123671	-0.0244594641	-0.172097317	0.0316349244	-0.1716701993	0.0497141671	0.0519759355	0.1071020547	0.1067746807	0.1062297984	0.1054685178	-0.0179777	0.0105729999999999	0.0001117883289999	0.00032319769729	-0.0535474	0.0252989999999998	0.0006400394009999	0.00286732404676	0.00686998	-0.0203013199999999	4.71966252004e-05	0.0004121435937423	-0.00044176	0.000505453	2.55482735209e-07	1.9515189760000002e-07	0.00122311	0.0001937299999999	1.4959980720999998e-06	3.7531312899999936e-08	0.000903688	0.000245601	6.031985120100002e-08	8.166520013440001e-07	0.0	0.0	0.0
542.6146635445788	-1.4152540446104922	2.002944010786357	294430.6730935964	748.4930084795765	1.336692403463644	560241.7837428073	1.7867465814774133	525.5380996468033	-1.1017236533903088	276190.29418037337	1.2137950084396891	543.2161184120364	527.3145633349466	1.285256	59.344814	0.06410455	0.0302486	0.0748050276	0.037984395	0.0505043698	-0.1751266749	0.1867943757	-0.0198730749	-0.1644186686	0.1565025538	-0.009798849	-0.0191278864	-0.1916599052	-0.0090455311	-0.1010795546	-0.0473100378	0.1220722652	-0.0530210557	0.0745362379	0.0627431914	0.0608124558	-0.0461856236	0.1255704957	-0.1611770077	-0.0816979605	-0.1236685425	0.0781745105	-0.0851064418	-0.1312987478	0.0094567311	0.0158354962	0.0358375189	-0.0384741997	-0.0044812115	-0.0709841143	0.0334229342	0.0507407914	-0.051195881	-0.0457301917	0.0895056701	0.1281015295	0.0537672497	0.035019097	-0.0776527487	-0.0143348612	-0.1718259728	-0.0048255518	0.0918638291	-0.060273834	0.0031467936	0.0126946277	0.0863417002	0.0373212926	0.0752503622	0.0308268158	-0.0437558615	0.0704551132	-0.0892151986	-0.1865111521	-0.1868877434	0.0065335338	0.0828144679	-0.0906642194	0.1805524	0.1983749914	0.0237007976	-0.0754376453	-0.0571053466	0.0094823211	0.0813774921	-0.0259903398	0.1732582967	-0.0894238724	-0.098492501	0.0438183861	-0.0321879438	-0.024629828	-0.0058324001	-0.067913092	-0.0689385812	-0.0346943366	-0.1126246922	-0.0267400758	0.0770209946	-0.0186257346	0.1003782575	-0.0054420839	-0.1729435435	-0.0118731014	-0.0084541667	0.0334878076	0.0029495398	0.1510966694	-0.0907221254	0.1074937035	-0.05968511	0.0570557574	-0.1005318375	0.1625698773	-0.1169408432	0.0307791305	-0.1707417745	0.0113750012	-0.0136793045	-0.0257459699	-0.0530865537	-0.0308459894	0.0340319353	-0.0303816659	0.2217576887	0.0656156443	-0.104520683	0.1506754854	0.0212537712	0.0609345125	-0.0393416441	-0.0573872925	-0.0281213638	-0.0154934714	0.0796259334	0.0847519129	0.124133402	0.1010168096	0.1123057348	0.1197628298	0.1588327302	-0.0766855156	0.060237516	0.0120530488	0.0220372132	0.0818204111	-0.0190292452	-0.0359053571	-0.0054553345	0.1392664868	0.1306945446	0.061109082	0.1129067134	-0.2712326987	0.0728403981	-0.0696017116	0.0520643516	-0.0501493139	-0.0243402082	0.0572782314	-0.0191740218	-0.1993219968	0.1425607618	0.0593965237	-0.0825251248	0.0085048029	-0.0037407019	-0.0078863613	0.165540839	-0.070804692	0.0746924444	0.0026518869	-0.0021361149	-0.0301047913	0.1044869138	0.129191035	0.0583111451	-0.1519492729	-0.0850528498	0.010756192	-0.1122549553	-0.0018359651	-0.0190248664	-0.0513207185	0.0684101278	0.0191624622	0.0189258901	-0.1773530185	-0.0690632756	-0.0384014794	0.0084401427	-0.0536705478	-0.1007614527	-0.2114694862	-0.0171258943	-0.0401341512	-0.0101013935	0.1139875453	0.0661335833	0.0334365397	0.1310866545	-0.0032144263	-0.0383688311	-0.0288640861	0.0707856198	-0.0487461195	-0.0312289427	-0.0259873637	-0.0613200502	-0.042493321	0.0355510864	-0.069154937	-0.0304970646	0.0782069637	0.0276501697	0.0348378475	0.0802052337	0.1004780018	0.0871999817	0.0099999582	-0.3027857484	0.1559133715	-0.006803057	-0.0605060373	0.0242382524	-0.0452786924	0.1395883062	0.040489632	0.2144095916	0.0285825779	-0.0282635438	0.1040734019	-0.1445632527	0.04142239	-0.027143862	0.1097025164	-0.0208594656	-0.0582815906	0.1076352675	0.0290085385	-0.1702500714	0.0217111945	0.0096062122	0.1888302933	-0.1323283717	0.1437454023	-0.096832262	0.1069972587	0.1063561286	0.1052904227	0.1038043951	-0.00844072	0.0095369799999999	9.095398752039996e-05	7.124575411840001e-05	-0.0296065	0.0239409	0.00057316669281	0.00087654484225	0.0165226	0.0096526199999999	0.0002729963107599	9.317307286439996e-05	-0.00036899	7.277000000000005e-05	5.295472900000007e-09	1.3615362009999998e-07	0.00102938	-0.0001937299999999	1.0596231844e-06	3.7531312899999936e-08	0.000750707	-0.000152981	2.3403186361000017e-08	5.635609998489999e-07	0.0	0.0	0.0
541.6551083618934	-0.9595551826853352	0.9207461486182872	293390.2564145345	744.8997485047289	-3.593259974847569	554875.6353224084	12.911517246841557	525.9244288813553	0.3863292345520221	276596.50489417976	0.1492502774695513	543.4054978573121	483.0699944296156	1.406087	64.924026	0.1317899629999999	0.0777409	-0.0563054827	-0.0892754097	-0.0770859967	-0.0399297584	-0.0849973235	0.1355263119	-0.0791004218	0.0757336481	-0.0253019958	-0.0413158777	0.071610538	-0.0397850114	0.0681202849	-0.2242238059	-0.0107937829	0.0892822308	0.1600879329	0.0748756875	0.0261078531	-0.0247906043	-0.0261969047	-0.0193943239	0.1506097118	-0.0946415848	-0.0022782274	0.0076649948	-0.1076244238	0.1535855617	0.0087885386	0.1373152283	-0.0102884905	-0.0920113817	-0.1102185191	-0.0210079075	0.1093730073	-0.0058500307	-0.0855900814	0.0195480873	-0.0778156571	-0.0382769084	0.0037332491	0.0844206971	0.0117539117	-0.0939912724	-0.0565031052	-0.1212340403	-0.0036312326	0.0456566964	-0.0987396868	-0.0435342944	0.034985516	-0.1495406711	-0.0735557289	0.017963675	-0.0169514529	0.0529126179	-0.2085245365	-0.0396152065	0.056277762	-0.0296515644	0.0047626921	0.0233394065	0.0424877926	-0.0515649482	0.0249056914	0.2093183953	0.1044506983	-0.0832999034	-0.0831822982	-0.0512271456	-0.0594524375	-0.1733726952	-0.0137332403	0.0631046067	-0.067804359	-0.0358819197	-0.162782632	-0.0574073847	0.0026413753	0.0880131404	-0.0118256914	-0.0063397186	-0.0137048474	-0.0255266493	0.0134110735	0.140383491	-0.1165448041	0.0339953319	-0.0259829476	-0.0001460066	0.0936453137	0.0129678913	0.0434632408	0.0541893101	-0.1529999915	0.13444998	-0.1013156233	0.1432298569	0.174817447	-0.1148346943	0.0493602636	-0.1048053773	0.1368171557	-0.1083500916	0.0411485489	0.0701957897	0.1629900652	0.0094341179	-0.0273607104	0.0012229386	0.0746253302	-0.0044002997	-0.0529214229	-0.070532789	-0.156279591	0.0322793825	0.0032373381	0.0992578238	0.1035906354	0.0201035839	-0.0954870481	0.1156272454	0.0953829812	-0.0602045352	0.0749394187	-0.006485593	-0.1021005911	-0.0230165446	-0.1616215965	-0.112371562	0.0374099352	-0.0080399758	-0.0484685818	0.1916032809	0.0464134782	0.0430282079	-0.0693635446	0.0643265123	-0.1418296139	-0.0656353953	-0.0859038711	-0.1447896506	-0.1044493963	-0.0333374337	0.0900955885	-0.0659535027	-0.0199091952	-0.0536837043	-0.032156109	0.0449990629	0.0754631634	0.1354126508	-0.0239111164	-0.0053781902	-0.0295702588	0.1088765371	0.0757984047	0.0929037597	0.0806977658	-0.0028310314	-0.046668515	-0.1255602669	-0.1436891336	-0.0688167049	-0.0145534401	0.1247958178	-0.0660394018	-0.112075717	-0.0356655804	-0.0822833183	-0.0110724024	0.1300032811	-0.0041675393	-0.0283688431	0.0499690802	0.0984169191	0.1252908746	-0.0702310531	0.2816925026	-0.0034034912	0.0514366908	0.0408512345	-0.0444896647	0.0602987575	0.0725745442	-0.0325331771	0.0521762183	-0.084808904	0.0985820985	0.0296833564	-0.0576528458	0.0927664081	-0.0146517014	0.117721052	0.0066767333	-0.0429312551	0.0752518484	0.1116896145	0.0343465782	-0.057252374	0.1141451738	-0.0458698848	0.0843943854	0.0231671353	-0.1426115192	-0.0881831754	-0.0639583001	0.0450497324	-0.0931451569	0.1376199899	-0.1271234083	0.0794222429	0.0274011995	0.0201038407	-0.0771225457	-0.0626471216	-0.0002504757	-0.1796886246	0.0513147626	0.0389867635	0.0848875657	0.0923625466	0.0603498147	0.0803997649	0.0580773706	0.0370991671	-0.0014877106	0.0051137475	0.0631125235	-0.2123296541	0.1068575839	0.1057989085	0.1040422119	0.1015990844	-0.0210835	-0.01264278	0.0001598398861284	0.00044451397225	-0.000395367	0.029211133	0.0008532902911436	1.56315064689e-07	0.0852625999999999	0.0687399999999999	0.0072697109587599	0.0047251875999999	-0.000589176	-0.0002201859999999	4.848187459599999e-08	3.47128358976e-07	0.00102938	0.0	1.0596231844e-06	0.0	0.000954442	0.000203735	4.1507950225000016e-08	9.10959531364e-07	0.0	0.0	0.0
