global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
549.6869408069683	n/a	n/a	302155.73289372347	764.7488844896508	n/a	584840.8563281653	n/a	528.8979324473645	n/a	279733.02294709696	n/a	547.0212458958056	628.8041602687032	n/a	n/a	n/a	n/a	0.036470918	-0.0615338204	0.0988764892	-0.0559688329	0.1202537891	-0.0411406952	0.1583645734	-0.0167924938	-0.0517377376	0.1430444288	-0.1867602801	0.1109902827	-0.0388920731	0.0531576942	-0.0467939237	0.026470445	-0.0255015376	0.180631509	-0.0965132194	0.0765782626	-0.2003960792	0.322354115	-0.04193481	0.0755933909	-0.0512928175	0.0113370401	-0.2363897787	0.154643376	-0.0636936395	0.1961233961	-0.1024128215	0.0665768815	-0.1056046279	0.0539741945	-0.0703528167	0.0509456816	-0.006558999	0.054024652	-0.0687424372	0.1695483925	-0.0923327221	-0.0571028576	0.0194189238	0.0146173259	0.0313592266	-0.1892954484	0.1165079281	0.1144011104	-0.0028517769	-0.1097700755	0.0154945696	-0.0956476226	0.0303181354	-0.0607593515	-0.0592312624	0.0695146855	-0.08264398	0.0524622296	-0.0190507681	0.0345791282	-0.2229405062	0.0832350755	-0.1123342191	0.0293091022	-0.038449435	0.0129293849	0.0380624324	-0.0273613989	0.0187491885	0.0202504585	-0.0269373812	0.1181159191	0.0150184062	-0.0453695743	0.0365413035	0.0322873388	-0.0622325864	-0.0738562733	0.0588860016	0.014596804	0.0183477268	0.0061760152	-0.0520793381	0.060292313	0.0197580967	0.0380110476	-0.0375004004	-0.0089019356	0.1911495336	9.24059e-05	0.0210352609	0.0145474178	0.0077332067	-0.1011725361	-0.0242931247	0.0084452658	0.0031751506	0.0077287087	0.0722176818	-0.0058630366	-0.032631235	-0.0068613186	0.0673330812	0.078459863	-0.1060700957	-0.096276311	0.055242292	0.0452544816	0.016217633	0.0016865448	0.0518556814	-0.0600286222	-0.0585909265	0.0280251519	-0.0760957005	-0.0405513548	0.0205426892	-0.0064283181	0.0849903498	-0.0764914713	0.0008074323	0.0211285716	-0.0284905184	0.0982591688	-0.0831903925	0.1742874938	-0.0995481863	0.0594667644	-0.092902325	0.0084086839	-0.0524965683	0.1318160616	-0.021059384	0.0246081623	-0.0071882888	-0.0744414077	0.1005977609	-0.0125681453	-0.0858588242	0.0600762456	0.0869753243	-0.0338869041	-0.0132861226	0.0107495152	0.0299183691	0.0402479646	-0.0299763586	-0.0944500494	0.0411837536	0.0338587174	0.0449523124	0.0624380871	-0.056671735	-0.1663997128	0.0493875642	0.022770283	0.1457438568	-0.0408482081	-0.0835374826	-0.0373005589	0.078102313	0.0795308311	0.0166602815	0.0746023557	-0.0673615725	-0.0619918883	0.0277023292	0.0334331962	0.0091594754	0.028569626	-0.0654223438	-0.0061587016	-0.0359758532	0.053090404	0.0362223663	0.1423880756	0.0586691548	-0.0157263856	0.0582128128	-0.0636111858	0.0088300437	-0.0378902351	0.0475222085	-0.0754154235	0.2032531582	-0.0627783686	0.0347330208	-0.0095717847	0.0517138506	-0.1393023988	0.0557930084	-0.0489707863	0.1199918865	-0.0471517391	0.0413430256	0.0484432742	0.0369672483	-0.0893828267	0.142915681	-0.0780562415	0.1186709048	0.1186491225	0.1186128217	0.0280266	n/a	n/a	0.0007854903075599	-0.0527387	n/a	n/a	0.00278137047769	-0.0521194	n/a	0.00271643185636	n/a	0.000300201	n/a	n/a	9.0120640401e-08	-0.0013181	n/a	1.73738761e-06	n/a	0.000772935	n/a	n/a	5.97428514225e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
547.4231930724893	-2.263747734479012	5.124553805358857	299672.1523136799	754.2710765038673	-10.477807985783445	568924.8568503029	109.78446018694729	529.1627539822827	0.2648215349181555	280013.2202021138	0.0701304453564078	546.7880987609076	600.7652799497657	1.355128	62.180702	0.08641555	0.0462078	-0.0067213396	0.0008918119	-0.1739394507	-0.0314746372	-0.0774666557	0.0456857314	0.0236619044	0.0355833158	-0.1982441581	-0.1910004521	0.1123921664	-0.11182836	0.0449694006	-0.134989439	0.0539561701	-0.014771698	-0.0179371861	0.0806410442	0.1464476038	-0.103808514	-0.036036299	-0.0053959746	0.0637755417	0.0727015311	-0.1155977252	-0.1029963485	-0.136666334	0.1002496559	-0.0294997678	0.1216855977	-0.0865006713	0.0328729067	0.0620696616	0.0797689433	0.0166145809	-0.0869568289	-0.0461182023	0.0582142053	0.0334151331	0.1054813101	-0.1393691402	-0.0538944486	0.0379287257	0.1528440575	0.0588242739	0.0540391069	0.0400007588	0.0300826387	-0.0126912804	-0.0443576525	-0.1095412217	0.0142033182	-0.0695140275	-0.0563771024	-0.0907593891	0.0931364955	0.1044541645	0.1049664221	0.0881585217	-0.0050892836	-0.156233817	0.002347	-0.1505389194	0.1094150695	0.082850735	0.0282741791	0.0350698772	0.0591190545	0.1636669666	-0.0037693981	-0.1161735604	-0.0436789232	0.0285933205	-0.1160421835	-0.0301795744	-0.0316155595	-0.1110054901	0.0394990246	-0.091761224	-0.0216314953	-0.076447015	0.1370602826	0.0270461306	0.1558766227	0.1150349552	-0.0610836648	-0.0407714047	-0.0813006346	-0.0099912542	0.1574527869	0.0247043719	-0.1290488273	-0.0229189238	-0.081893253	-0.0311344331	0.0823495368	0.0246720014	-0.0805955705	0.0682806744	0.0120239041	-0.0286913668	0.0317903494	0.1587373266	0.1068961916	-0.0246101317	0.0579562655	0.0640199321	-0.1164440935	0.0469344641	-0.1780817878	0.0834103146	-0.0688127687	-0.0352221682	-0.0140062526	0.1121260484	-0.0969736797	-0.0948205414	-0.0055135157	-0.120435263	0.0251971973	0.0021119413	0.0905232022	-0.0255320034	-0.0249780356	-0.1121950657	0.1858177027	-0.0424856442	0.1251201519	-0.1691989039	-0.0096728912	-0.0873193285	0.0388687217	-0.1774928179	0.0253766303	-0.1073161846	0.0985926812	0.0322042244	-0.0753473477	0.0117220084	-0.0205305913	-0.0112645652	-0.116989123	-0.0462802908	-0.0386408555	0.0319599461	-0.0199240025	-0.0373276753	-0.1685848726	0.0957743687	0.0001968862	-0.1273397967	-0.0936167086	-0.0022662516	-0.0619220514	0.1500241443	0.0601742354	-0.0683492054	-0.0776397306	-0.0971660024	0.0617615602	-0.051507242	0.142711577	-0.1107812671	0.1517937543	-0.026387187	-0.0080791509	-0.0603906275	0.0770007832	0.0385694653	0.0616987549	1.14621e-05	0.1554755422	0.0298503415	-0.0243518549	0.1317594785	-0.0340209515	-0.0373553158	0.0644906612	-0.0573980369	0.0555446823	-0.1402202854	0.125504449	0.0422132197	-0.0264202574	0.1331979716	0.0573516794	0.1543167162	-0.061404771	-0.0030221865	-0.1844314107	0.2307657141	0.0476312068	0.0947118531	-0.0200382148	-0.1042787147	0.1404386799	0.0038130707	-0.1062231852	0.1357088545	0.0627741314	0.1186128217	0.1184168613	0.1180905004	0.0262271	-0.0017994999999999	3.2382002499999966e-06	0.00068786077441	-0.0283738	0.0243649	0.0005936483520099	0.00080507252644	-0.0179094	0.03421	0.0003207466083599	0.0011703241	0.0	-0.000300201	9.0120640401e-08	0.0	-0.00128489	3.32100000000001e-05	1.6509423120999998e-06	1.1029041000000063e-09	0.000960347	0.0001874119999999	3.5123257743999994e-08	9.22266360409e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
546.8621308509627	-0.5610622215266403	0.3147908164244088	299058.1901588554	753.1591543330192	-1.1119221708481746	567248.7117556286	1.2363709140237171	528.5059458704416	-0.6568081118410873	279318.53482041013	0.4313968957802543	546.1214163145637	603.5477137056349	1.186837	54.458557	0.101618	0.0548984	-0.1255927445	-0.0760027265	0.017940712	0.1118110843	-0.005885101	0.0281356616	-0.0190014802	0.1133327177	-0.0583067759	-0.1128229715	0.0674348582	0.078647325	0.0311736471	0.0396213324	0.0854725622	0.0090729996	-0.1480876197	0.0617493353	0.0871258531	-0.027323432	0.1264559247	0.0568006294	-0.0756489838	-0.0161634361	0.0228373125	-0.2333851578	-0.1629168267	-0.1020066108	-0.161737754	-0.1535199734	-0.0088818958	-0.0068555854	-0.1471208232	0.0256680189	0.0203121979	-0.1066477669	0.0495087494	-0.0639906061	0.0128572644	0.0559999097	-0.0037068873	0.0451082428	-0.1608470224	0.1036889078	0.0233053802	0.171447596	0.0073809589	0.1160993069	0.103806979	-0.0273678637	-0.0616356965	-0.1183099228	0.0317795515	0.0161696335	-0.0466603981	-0.0091990769	0.0755101878	0.0578462926	-0.124556859	0.0185050378	0.0917066114	-0.1389574553	-0.0002268373	0.0590943465	0.1547080472	-0.0313521903	-0.1169617237	0.0408416056	-0.0743598343	-0.1049698578	-0.0340151602	-0.1503921109	-0.0093415522	-0.0089408329	-0.1765047571	-0.1722428304	0.0702943365	0.0276014667	-0.1019880897	-0.0843460965	-0.0657898384	-0.1425647344	-0.0802806489	0.0338909462	0.017234073	0.1711300414	-0.2089021261	-0.0382457804	-0.0042044669	0.00970958	0.0103357458	-0.0637386978	-0.0428480358	-0.1192733008	0.1754330725	0.0547283999	0.0509389335	-0.0744608199	0.0125402765	0.0193642144	0.0172894044	0.0094469902	-0.0062824767	-0.0444937786	-0.13824485	0.1229135258	-0.1497264474	-0.0271721447	-0.1093380532	-0.0384984487	-0.087483136	0.0723208117	0.0754348718	-0.0429078934	-0.1117942361	-0.1251165837	0.0514556214	-0.0153429499	-0.0092956068	0.0238330199	-0.0221358321	-0.1063023341	-0.0872378841	-0.1345404143	-0.0455569505	-0.0191000537	0.0145812475	-0.0143959716	-0.0203269013	-0.217681934	0.0457445426	-0.1436884603	-0.112659397	-0.1119657585	-0.0084499421	0.1237651291	-0.0431207346	-0.0717418732	0.1408548124	0.0976116934	-0.1271182646	-0.1567890184	0.0420837139	0.2017272716	-0.0866511389	0.0383181884	0.1893452771	-0.0798083846	0.0502885787	0.0260937124	0.0956760461	-0.0041977937	0.0899875541	-0.1093352089	0.1616434768	-0.0832469068	0.0743980231	-0.0319496811	-0.0146501592	-0.0163510766	-0.0778530131	-0.092370505	-0.0642506543	-0.0662979888	0.1870986659	-0.0092636395	0.1094208615	-0.1290907248	-0.0689826004	-0.0524443734	0.0759220269	-0.0091132285	0.0589775453	0.0576622052	-0.1090935109	-0.0673258552	0.0834836008	0.0052956377	0.0253686688	-0.0680888464	-0.0113770029	-0.1266983411	0.0296109415	0.0212603116	0.1582012198	-0.1265966989	0.0427612612	0.0555354028	0.0286958293	-0.0020142808	0.2421292405	0.046970684	0.0163852595	0.114722683	-0.096835797	0.0374072631	-0.0452376509	-0.0727677225	0.0105242607	-0.017306768	0.118496684	0.1179527935	0.1170481578	0.0250654	-0.0011616999999999	1.3495468899999958e-06	0.00062827427716	-0.0695983	-0.0412245	0.0016994594002499	0.00484392336289	-0.0292752	-0.0113658	0.00085703733504	0.00012918140964	0.00060456	0.00060456	3.654927936e-07	3.654927936e-07	-0.00121857	6.631999999999992e-05	1.4849128449e-06	4.398342399999989e-09	0.000673907	-0.00028644	8.204787360000002e-08	4.54150644649e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
544.9202882222679	-1.9418426286947577	3.770752794616168	296938.12051623955	753.8659677049375	0.7068133719183152	568313.8972637019	0.4995851427225385	527.7934918450095	-0.7124540254320664	278565.97003394814	0.5075907383543555	545.3242653198265	591.0016650040476	1.22422	56.173897	0.0528977499999999	0.0314889	0.0753493397	-0.0773434219	-0.1067148784	-0.0178175406	-0.0422763239	0.0349696948	-0.1299692293	-0.0267438301	0.0551712724	-0.1962902035	0.0372815059	-0.0592025031	-0.0869416092	0.0043625555	-0.0399472389	-0.0068871462	0.0083527792	-0.1414385218	0.0550310627	-0.1248430599	-0.0089259966	0.0082345559	0.0390209229	0.0525783585	-0.0692548334	-0.0276800455	-0.1442714654	0.0572400522	0.0407990409	-0.0475778433	-0.046185388	-0.0138086553	-0.0961155445	-0.0113262826	0.1424423285	-0.0861504225	-0.0467389858	0.0212337832	0.0509839255	-0.084618789	-0.0437722215	-0.0929135768	0.0420585834	0.0764673558	-0.1999907492	0.0602507965	0.0177167997	0.1063247709	-0.079538988	0.0802712492	-0.0192490607	-0.0109112383	0.1431755983	-0.0309187515	-0.0599434062	0.0388736964	0.1488851691	0.1901847521	0.0319512918	0.0121042962	-0.0128041128	0.1827535273	0.0635106129	0.0874333509	0.0121442943	-0.0505749058	0.0381437385	-0.0038826378	-0.2066202693	0.0351634515	0.0232829773	0.0528766037	0.0303767179	0.0537474512	0.0030214186	-0.1075886985	0.0920536004	0.050504613	0.1035429816	0.1782585078	-0.1035346356	-0.0468176716	-0.1687205687	-0.0744126663	0.0180469693	0.1225982505	0.1488818667	-0.1157880036	0.0621373782	-0.0931494224	0.0419973615	0.0512244344	-0.0191513304	-0.1337199227	0.0728464363	0.083140272	0.0356034745	0.1478472115	0.0364689101	-0.1172553456	-0.0124378838	-0.0291938335	0.0256010766	0.0991474928	-0.0678296535	0.0308091254	-0.0364235056	0.0974300862	0.1884634819	0.0207669919	0.1322408202	0.0055354993	0.1365056009	0.1369624178	0.0160945766	0.0040762606	-0.0044567593	-0.0096531364	-0.1182779542	-0.0095145864	-0.0353026382	0.0488891151	0.0122123047	-0.1184546376	-0.017906111	0.0034141487	-0.1602702578	-0.0757323576	-0.0334181464	-0.0967099663	-0.1631721964	-0.0893975272	0.1581742179	-0.0707357215	-0.014747991	0.0224308844	0.1050785483	-0.0928184772	0.0723038451	-0.0300733435	0.0606532087	-0.0181517705	0.1154112825	0.1349502115	0.1476094326	0.0169109292	-0.066002944	0.0337046584	0.0245026596	0.0748023749	0.2813960218	0.0699224928	-0.0811032822	-0.1275491807	0.0118570938	0.0386148306	0.0939899681	0.1838547492	0.0101141352	0.0429387492	0.044753918	-0.0396993538	0.074269821	0.0233207654	-0.0016739501	-0.035517973	-0.0826305466	0.1298299194	-0.1264160734	-0.1315286018	0.0875375132	0.0476498547	0.0607250956	0.0346795876	-0.0822056278	0.02412658	0.0024934681	0.0314564878	-0.0575596706	0.0394542796	-0.0655483816	0.0260485437	0.0900811952	-0.1305918239	0.0948574722	-0.1200441501	0.1882504884	-0.0929354854	0.1052192258	0.080060666	0.1130143297	-0.0571061123	0.0364587387	-0.0276993849	-0.0139030408	0.0562689204	-0.0024219312	0.155419664	0.0275560796	0.1881281587	0.1183225485	0.1172578276	0.115490384	0.0301244	0.0050589999999999	2.5593480999999976e-05	0.0009074794753599	-0.0407767	0.0288216	0.00083068462656	0.00166273926289	-0.0203571	0.0089181	0.00041441152041	7.953250761000004e-05	0.000458905	-0.0001456549999999	2.1215379024999992e-08	2.1059379902500002e-07	-0.00124878	-3.020999999999992e-05	1.5594514883999995e-06	9.126440999999948e-10	0.000647791	-2.6115999999999965e-05	6.82045455999998e-10	4.19633179681e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
545.4484707160669	0.5281824937990223	0.2789767467557542	297514.03420649614	750.7996415967419	-3.06632610819554	563700.1018217962	9.402355801801605	527.8881457563305	0.094653911320961	278665.8944300568	0.0089593629283563	545.2202210471908	608.1441499858626	1.290982	59.237324	0.0613361999999999	0.0307496	-0.0958831907	0.0615040747	-0.0711610851	0.1240546284	-0.0216855394	0.0085093925	0.0193781057	0.0600306868	0.1684740837	-0.0441761163	-0.0277596448	-0.0442724825	0.086574969	0.0473778409	0.1282902545	-0.1075963105	-0.067410124	-0.0729539408	-0.0173790054	0.1224572717	0.1066019328	0.0139673334	-0.0049837773	-0.1577902701	-0.0456204642	0.0392646203	0.0084735714	-0.0239379799	0.0285393277	-0.1711129799	-0.0598624766	-0.1453118821	-0.039399735	-0.1529681808	0.0548191673	-0.1088276788	-0.0220721266	-0.0215516677	-0.1582778035	-0.1782228083	0.0766273358	-0.0375686029	0.060275459	-0.0095797071	-0.0186655955	0.0874448693	-0.0201355068	-0.0473739847	-0.0229781365	-0.2492078799	-0.0411401054	0.0187189504	0.0397017359	0.0268307221	0.0128562157	0.1150365401	-0.0788920048	0.2827986351	-0.001025596	0.0276652285	0.0777593616	-0.1038445111	0.0790876874	-0.0015069991	0.1241025625	-0.0289236242	-0.1412070363	0.1893688083	-0.2167432259	0.0019386915	0.0292475474	0.0052004988	-0.0682203117	-0.0152776581	0.0012185995	0.0422658944	-0.1520579292	0.0456702534	-0.0708341531	0.115075723	0.1333505775	0.1661398125	0.1044979082	-0.0223555269	-0.0285288429	-0.0622508475	0.0162549473	0.0277392377	-0.0202502907	0.0436807058	-0.1089274722	0.0303129688	-0.073660689	-0.0790365183	0.0909009426	0.0234876585	-0.1363516673	-0.0037729475	-0.1138801471	0.0617064348	0.1258761175	0.0059736796	0.0350617539	-0.0483950543	0.0951869022	-0.0719835018	-0.0546637376	-0.0015362502	0.0046389636	0.0651527757	0.1810271977	0.1079164868	-0.0686264025	-0.064096302	0.0113327373	0.0238254027	0.0102568633	0.0036991192	0.0855462271	-0.0250465449	-0.1004708891	-0.1852461658	-0.0836793865	-0.2546716816	-0.1448463812	-0.0424099596	0.0550247614	-0.108989897	-0.0665201349	-0.0628449787	-0.2157708953	-0.160589079	0.0959310635	-0.0789610478	0.0525546282	0.0766248104	-0.0928105018	0.0640100826	0.0549171477	-0.0568238931	0.128278146	-0.0338830561	-0.1187246887	-0.058699074	0.1130683653	-0.0183530366	0.005184839	-0.0460416886	0.0210069253	-0.0688812364	-0.096456474	-0.01605257	-0.0726407031	0.1730661645	-0.0011058921	-0.0926210169	-0.0004108193	-0.0279066519	0.0930326405	0.0183827628	-0.0175800199	-0.0519879574	0.0101255099	0.131496359	0.098723641	0.0489342832	-0.0890807623	0.1114996737	0.0683329849	0.0365645879	0.0645134244	-0.140060433	-0.0647371435	-0.05298732	0.0193384646	0.194668452	0.060640185	-0.0134786163	0.029257142	-0.0097812954	-0.0973352071	-0.092452715	0.1544333107	0.0773622779	0.1129616091	-0.1384427866	0.1099087526	0.099392464	0.0913148663	0.0058549187	0.005472235	0.0431104033	-0.1046804035	0.0438894285	-0.026061036	0.0244855993	0.0704069871	0.0510394934	0.0700215613	-0.0671612736	0.1180905004	0.1163333239	0.1134240387	0.0332795	0.0031550999999999	9.954656009999984e-06	0.0011075251202499	-0.0623324	-0.0215557	0.00046464820249	0.00388532808976	-0.0372007	-0.0168436	0.00138389208049	0.00028370686096	0.000523956	6.5051e-05	4.231632601e-09	2.74529889936e-07	-0.0011731	7.567999999999984e-05	1.3761636100000002e-06	5.727462399999977e-09	0.000902696	0.000254905	6.497655902500002e-08	8.14860068416e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
545.0674056452169	-0.3810650708500134	0.1452105882219257	297098.4766968074	748.9324713607836	-1.8671702359583835	560899.8466585709	3.4863246900488845	527.7487825991043	-0.1393631572261711	278518.7775348366	0.0194220895920464	544.9195810033407	584.9607763164589	1.273518	58.435951	0.04811825	0.0257135	-0.0089439393	-0.1482925236	-0.0297774991	0.0457314597	0.1116774262	0.0448717492	0.0139254324	-0.0808279963	-0.0310001112	-0.1275410247	-0.0001779451	0.114876055	-0.0774656467	0.0260335674	-0.041532966	-0.0672259266	0.0037601416	-0.0726855714	0.0491095216	0.0550417896	-0.1444670954	0.0149735187	-0.046864458	-0.1114986568	-0.0421969363	-0.1013545838	-0.0428328445	-0.0074144368	0.1117799017	0.0221314416	0.0896183874	-0.1627128905	0.1147765402	-0.0193561751	0.0023143471	0.067560232	-0.0067939252	-0.0380661769	-0.1064129558	-0.0052713152	-0.0062773118	-0.1051318863	0.0082926348	-0.0338229795	0.0604930563	-0.0405227367	-0.0562262432	0.1066168478	-0.0099117636	0.0794368353	0.02246671	-0.0165900826	0.1576117312	0.1271887493	-0.0671455265	0.0229534309	-0.0540986194	0.0566210948	-0.124628023	0.0479597565	-0.043382634	0.0229978206	0.0364423249	-0.0682742843	0.2465871181	0.0347652593	-0.0234571984	0.0200041817	-0.1775081808	0.0576051383	-0.0353983917	0.0223389786	0.0243516443	0.1644268337	0.0640024913	-0.0322389582	0.1727778769	-0.0065359756	-0.0254544226	-0.0185625748	0.1098397196	0.0156376354	-0.1077518718	0.030630119	-0.0851911472	-0.0243048265	-0.041194992	0.1125138489	0.0280468601	0.1363979714	-0.0902332206	-0.0757049966	0.0767915771	0.162198613	0.039748918	-0.033584105	-0.058036041	-0.1199944167	-0.1172593984	-0.0387943935	0.0553835195	0.1429459831	-0.0121420045	-0.0088461267	0.0102942955	-0.0643699265	0.0561509753	0.0239466291	-0.1852462563	-0.1744317471	-0.0341767708	-0.0417698271	-0.0892738053	0.0596983295	-0.0819180565	0.0826411028	-0.0005900725	-0.0772660783	0.0722726774	-0.1439024357	-0.0337555444	-0.0202824115	-0.0204970799	-0.1073853529	-0.051144939	0.0865062996	-0.1019287482	-0.1636365819	0.0331908152	-0.050195986	-0.0035415236	0.026277675	0.0274517937	-0.2072439357	0.0937671171	-0.1349134014	-0.2396085212	0.0028956889	0.030135258	-0.0172441252	0.0015257738	0.0888248472	0.0498970789	0.0980047401	-0.0763795422	0.1163793748	0.0537932718	-0.0681557193	0.0500750772	-0.0397990598	-0.0166353062	-0.0949894638	-0.1277772485	0.077894988	-0.0448782995	-0.098744334	-0.1116411838	-0.0665038246	-0.0015255469	0.1266991162	0.0314356581	-0.0437837089	-0.0024599464	0.0255287226	-0.0641477844	0.0822529999	0.061351957	-0.02234505	0.0339915615	0.0731178551	0.0450573285	0.0307128431	0.1522095389	0.0446573405	0.0122586257	-0.0418415446	0.0486366408	0.0198249102	-0.0951274019	0.0301487787	-0.0608829397	-0.1144446144	0.119999229	-0.1056960319	0.1442048289	-0.0074033325	0.1204885511	0.0099802906	0.0788032143	-0.1119072167	-0.0054651498	-0.0026407486	0.1164094407	-0.0454261377	-0.0807344565	-0.0646225255	0.1446845468	0.1683673094	0.0719500337	-0.0089353715	0.1178006533	0.1151810923	0.1108582214	0.0318303	-0.0014491999999999	2.100180639999993e-06	0.00101316799809	-0.0451602	0.0171722	0.00029488445284	0.00203944366404	-0.0197263	0.0174744	0.0003891269116899	0.00030535465536	0.000469274	-5.4682000000000016e-05	2.990121124000002e-09	2.20218087076e-07	-0.00123078	-5.767999999999984e-05	1.5148194083999996e-06	3.3269823999999813e-09	0.000774609	-0.000128087	1.6406279569000008e-08	6.000191028809999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
