onset	duration	node	response_time	accuracy
12	1	5	0.459	1
16	1	13	0.322	1
20	1	7	0.317	1
24	1	10	0.340	1
28	1	2	0.400	1
32	1	11	0.402	1
40	1	4	0.339	1
44	1	1	0.351	1
56	1	6	0.393	1
60	1	9	0.382	1
64	1	12	0.328	1
68	1	8	0.431	1
76	1	3	0.414	1
80	1	7	0.533	1
84	1	1	0.426	1
92	1	10	0.441	1
100	1	5	0.339	1
108	1	2	0.411	1
112	1	12	0.451	1
116	1	13	0.472	1
124	1	9	0.375	1
128	1	4	0.423	1
132	1	8	0.317	1
136	1	11	0.368	1
140	1	6	0.396	1
144	1	3	0.557	1
148	1	4	0.413	1
156	1	1	0.394	1
164	1	3	0.438	1
168	1	10	0.485	1
172	1	6	0.439	1
176	1	11	0.595	1
180	1	8	0.507	1
184	1	9	0.917	1
188	1	12	0.448	1
192	1	13	0.470	1
196	1	2	0.399	1
204	1	5	0.622	1
208	1	7	0.450	1
216	1	13	0.379	1
220	1	12	0.416	1
224	1	3	0.469	1
232	1	2	0.450	1
236	1	4	0.382	1
240	1	7	0.389	1
244	1	1	0.357	1
248	1	8	0.500	1
252	1	9	0.498	1
256	1	5	0.512	1
260	1	10	0.467	1
264	1	11	0.392	1
268	1	6	0.390	1
