global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
545.0361166858728	n/a	n/a	297064.36849201634	761.5327125147242	n/a	579932.0722300335	n/a	515.3101377625172	n/a	265544.5380808245	n/a	523.4769437016246	568.2795561991296	n/a	n/a	n/a	n/a	0.0733890264	-0.0787903169	0.0522792597	-0.0574321593	0.0447771978	-0.0458034442	0.1287432419	-0.1231247636	0.0223095002	-0.0849982304	0.1131910472	-0.003312457	0.0021961178	-0.0227100898	-0.0391490888	0.0660613815	-0.0632231801	0.006101531	-0.0730255856	0.2083410536	-0.3698652395	0.0967403525	-0.0312825773	0.1034361269	-0.0962212784	0.2742031338	-0.0672224268	0.1224868	-0.1508001157	0.084768107	-0.1373407668	0.1803599183	-0.2416019519	0.1048089556	-0.0476622321	0.1391816465	-0.0823795762	-0.0210243615	0.0461009855	-0.1822945137	0.0386968608	-0.0514730542	0.0009541284	-0.0454765665	0.0247505935	-0.015844953	0.101105123	-0.0454977103	0.01341414	-0.0010523192	0.0392471381	-0.0953914666	0.0514195147	-0.0050877161	0.0454529447	-0.0048466969	-0.0551511963	0.0848336526	-0.0204164844	0.0314264917	-0.0309389619	0.1238065836	0.0201621676	0.0319492396	-0.1176033889	0.023931568	0.0416212238	0.0051036139	0.0573943562	-0.0221019069	-0.0707894108	0.0137473332	0.0309228506	0.0661674325	-0.0477758279	-0.0706418332	-0.0295597718	0.0002690025	0.0529159443	0.0122984034	-0.0196144203	-0.0866926826	0.0634054203	0.0316259668	0.1590782835	-0.0417293519	-0.0628049347	-0.0821466531	0.0227648532	0.0546188182	0.1191308068	-0.0154455881	-0.1376030014	-0.0363033167	0.0083898501	0.0007457425	0.0363838728	0.0744306916	-0.0126177241	-0.0470531505	-0.0266396162	0.0278709508	0.0522777285	-0.1353931133	-0.041139023	0.1361213748	-0.0053073518	0.0017400525	-0.0283075214	0.0398971531	-0.1161085142	0.0196489269	-0.0104098034	0.0373139234	-0.1022923462	0.0228470358	-0.0144920421	0.0560365376	-0.0714064395	0.0290231821	-0.0677560558	0.0212006084	-0.0846965916	0.0245799641	-0.0329335049	-0.0458816033	0.0370018132	0.0304589344	-0.0752651316	0.0103098054	0.1131946036	-0.0565528233	-0.0644924455	-0.0412463913	-0.0590317145	0.0880457343	0.0032801921	-0.0042277659	-0.0112897075	-0.0341522589	0.1052276498	0.0026587922	0.0230094007	0.1235679094	-0.0792506882	-0.0098994364	-0.0404368007	0.0081218823	0.0765662232	0.1287133551	-0.085142713	-0.0622193063	-0.0735958714	0.0179268522	0.0539487266	0.1183187109	-0.1133905308	-0.00686802	-0.0050706709	-0.0074220602	-0.0062618258	0.0196229387	0.0396836752	0.0540752772	-0.0818781966	-0.033126881	0.1160660296	-0.0531264919	0.0936860286	-0.167282229	0.016339628	-0.0316102374	0.080588542	-0.0113264479	0.0333351732	-0.0680721578	0.01867812	-0.0454164822	0.1662022933	-0.089227453	0.0217950921	-0.0686201839	0.0855485992	-0.0337776843	0.0653657892	0.0151320123	-0.0483916667	0.0878170881	0.0167146801	0.1186709048	0.1186491225	0.1186128217	0.0650489	n/a	0.00423135939121	n/a	-0.0311494	n/a	n/a	0.00097028512036	0.073145	n/a	0.005350191025	n/a	-0.000351444	n/a	n/a	1.2351288513600004e-07	0.00061762	n/a	3.8145446440000004e-07	n/a	0.00073015	n/a	5.331190225e-07	n/a	0.0
543.5304164361016	-1.5057002497711665	2.267133242160953	295425.3135912021	748.8886535200379	-12.644058994686247	560834.2153710554	159.8722278611062	515.4795904542268	0.16945269170958	265719.2081748574	0.0287142147276219	523.3936666921419	557.4942598498025	1.1125	57.021519	0.1845463	0.124371	0.0083812512	0.0739956231	-0.0464225803	0.0134445689	0.0206021298	-0.0539663251	0.1371613113	0.0506512667	-0.0017463888	-0.0432874919	0.2913643688	0.0968157614	-0.0438990584	0.0005946286	0.010529701	0.0100327173	0.0701939617	0.1425773787	-0.088664051	0.0385005922	-0.2635426084	-0.1498241397	-0.0185112886	-0.1210659477	0.0679005033	-0.0151321245	0.0021296536	0.0799273247	-0.0329280103	-0.0055094784	0.1125948181	-0.0111830548	-0.1691944417	-0.0148815113	0.04125917	0.1409267117	0.0328356458	0.0963915348	0.0983486978	-0.23928023	0.0346550518	0.0636617034	-0.1264050566	0.0075767478	0.044824389	0.0999103965	0.0916986154	0.023279254	-0.0181414535	0.1592659043	-0.0653370789	0.0575691004	-0.0644860528	-0.1163822713	0.0337236469	-0.0296622447	0.0212273237	-0.0139103213	-0.0274887568	-0.1735943492	-0.1173345402	-0.0671306375	-0.0772226217	0.0992791196	-0.1449104524	0.0178295321	-0.0175784724	0.1442880842	-0.0099887462	-0.051761723	0.0001490298	-0.0266697963	-0.0649590574	0.046843635	0.0051521857	-0.0634245138	0.0523304727	-0.0817846777	-0.0180143397	-0.0794705467	-0.0665274351	-0.1237026485	0.0426454547	0.0077498014	-0.0262322486	-0.0281931504	0.0787028563	-0.0442494416	0.0037355916	-0.0609521373	-0.0407444587	0.013300048	-0.121761327	0.1590288736	-0.0833350575	-0.2379093911	-0.0102091278	-0.0112135427	-0.0117384955	0.0482581244	-0.0191779422	-0.0222397927	0.0623700894	-0.0692604844	-0.2383476713	0.1404056475	0.0060312517	-0.0468632239	0.0082018584	-0.0551223021	-0.19449633	0.0354087381	-0.1379962665	-0.0439256753	0.126588963	0.007864489	0.0304860419	-0.0389834483	0.0240168079	-0.106949963	-0.0789961561	-0.0052357228	0.1016200146	-0.1126428659	-0.1063517257	0.0117359553	-0.1044465269	0.1350845011	-0.0212878446	-0.0900740226	0.0158003475	-0.1076689332	0.0263901895	-0.0925517542	-0.0213275421	-0.0045295794	-0.0152879193	-0.0336669838	-0.0516932749	-0.0051118339	-0.0074279934	0.083707444	0.0925911253	0.1393927489	-0.0245250477	-0.0542149505	-0.0450263641	-0.0539233791	-0.0652819987	-0.0002854992	-0.0991842615	-0.0357093131	0.0160497184	-0.0219535558	0.1106390323	-0.1529425532	0.0038116335	0.0505429275	-0.1169807805	-0.1075357819	0.1226878995	0.0106409219	-0.0256120955	0.1665690781	0.0177250506	-0.1563371325	0.0434553282	-0.0398528263	-0.1127562549	-0.2727259106	-0.0533801013	-0.0421610817	0.0831779825	-0.1142970369	0.0543070674	0.0090443937	0.0067827659	0.065796084	0.1008807459	-0.1565623143	0.1633422953	-0.2598217545	-0.0764072881	-0.0073087685	0.2049958802	-0.1066331769	-0.1020437674	0.0205530436	-0.0508195688	0.1186128217	0.1184168613	0.1180905004	0.0686524	0.0036034999999999	0.00471315202576	1.2985212249999969e-05	0.0861066	0.117256	0.013748969536	0.00741434656356	0.102648	0.029503	0.010536611904	0.000870427009	-0.000542242	-0.0001907979999999	3.640387680399998e-08	2.94026386564e-07	0.000322107	-0.000295513	1.0375291944900003e-07	8.732793316900002e-08	0.000927515	0.0001973649999999	8.602840752249999e-07	3.8952943224999966e-08	0.0
544.2599954795336	0.7295790434319542	0.5322855806150854	296218.942679382	747.1425333261747	-1.7461201938632485	558221.965105054	3.0489357314170284	516.3790898631751	0.8994994089482589	266647.36444792105	0.8090991866982671	524.139426210516	555.7711763154153	1.130228	57.930145	0.1812607	0.132724	0.0595664512	-0.1097554692	0.0042107673	-0.0031472655	-0.0413018467	0.0395996634	0.1026355355	-0.1349324728	-0.0187083345	-0.0780946375	0.1322877704	0.0324537541	-0.108424365	-0.0283782732	-0.1474883113	-0.0646282302	0.009007238	0.0235470512	-0.1350122174	0.099733259	-0.0706881596	-0.0542562997	-0.1551976019	0.0419028075	0.0407133291	-0.01554999	-0.0743074235	0.0835415022	0.1591391163	-0.0628418709	0.1443211133	-0.1969019376	0.203365464	0.034964736	0.0529886424	0.0167516306	-0.052272255	-0.0332317975	0.0877425582	-0.2295650344	-0.1028415921	-0.1063400332	0.0063919469	0.0371081549	0.0280087503	-0.029811149	0.0467547244	0.0495137502	-0.0347771534	0.1440470818	0.050947141	0.1720607561	-0.074749547	0.0337423635	-0.1550981411	0.0484606055	0.0763510772	-0.033573432	0.1740500084	-0.0299824049	0.0548015721	-0.2352633243	0.008884247	-0.0597699992	-0.0713681685	-0.0080948767	-0.0284145554	0.0473343725	0.0486425936	0.078905592	0.0007473967	-0.0012141032	0.0968743047	0.0306891938	0.0531908834	-0.007576862	0.0338938649	0.098430332	-0.0955618556	-0.0121447875	0.1109308308	0.0474585757	-0.0950369875	-0.0286409312	-0.1089989573	-0.0505421836	0.021163495	-0.071981914	0.0566815692	0.1029613159	0.0320468312	0.1090372999	0.0202559582	-0.0350369695	-0.0237558229	-0.038122953	-0.0932175648	-0.0211229382	0.0049730925	-0.1273861772	0.0058516716	-0.0930762649	0.0857006199	-0.0734092349	-0.0268263177	0.2368982069	-0.0684572828	-0.0050354197	0.0611451048	0.0693593849	-0.0775635724	0.0827703647	-0.0981564283	-0.0604493242	0.167391324	0.0432875023	0.0174339509	-0.0702580539	0.217259792	0.0830367808	0.2057166492	-0.0829137279	0.0678911113	-0.020409948	0.0238186252	0.1340457627	-0.144130528	-0.1000427958	-0.0374111802	-0.0264822002	0.018260839	-0.0079971273	0.0500119503	0.0212898183	-0.0651099941	0.0403327708	-0.0203134195	0.045661623	0.0231002518	-0.1148136091	-0.0275148781	0.0162832821	-0.0624910819	-0.0457071749	0.1896175522	-0.0107557838	0.0127811768	0.0263933164	0.0107924035	-0.0652841175	0.0411686271	0.0033297767	-0.0330676229	-0.0238932283	-0.0761888742	0.0494521571	0.0571583934	-0.1181909814	-0.135316046	0.0411935933	0.1058654194	0.0153445152	-0.1120422626	0.0247891609	0.029227182	-0.0380851576	0.1469518634	-0.0566193961	0.0921395326	-0.2519467861	-0.0299287306	-0.0361961707	-0.0100478043	-0.027049206	-0.0526436995	0.0333512388	0.0015926355	-0.1070895143	0.1379806235	-0.0635083512	-0.0491058099	0.0336954159	-0.2034841926	0.0281849272	0.077246475	0.0022350447	-0.1111702158	0.0878971249	-0.1683782196	0.118496684	0.1179527935	0.1170481578	0.0650557	-0.0035967	0.00423224410249	1.293625089000006e-05	-0.0410704	-0.127177	0.016173989329	0.00168677775616	0.0655522	-0.0370958	0.00429709092484	0.0013760983776399	-0.000652921	-0.000110679	1.2249841041000009e-08	4.26305832241e-07	0.000383601	6.149399999999999e-05	1.4714972720100002e-07	3.781512035999999e-09	0.0008318639999999	-9.565100000009996e-05	6.919977144958337e-07	9.149113801019121e-09	0.0
544.4831265616806	0.223131082147006	0.0497874798200939	296461.8751103831	748.254173923084	1.1116405969092966	559884.3087933168	1.2357448166968572	515.9662156455454	-0.4128742176296782	266221.13568758545	0.1704651195833189	523.7447271582149	550.0394128543788	1.136776	58.265759	0.20454205	0.122503	0.0145252424	0.1018422019	3.2674e-06	-0.0171560875	0.0157735716	0.0937344475	0.083357472	0.0705886024	0.0420593728	-0.0324068073	0.0697582224	0.004468388	-0.1650292021	-0.0772887897	-0.0217740316	-0.0748148536	-0.1298190952	-0.0200955332	-0.1176470634	0.0168901314	-0.1567871451	0.0313083923	-0.0308098493	0.0555613655	-0.0712400788	0.0658989538	0.0162382404	-0.0409884626	0.0567126229	0.1538856449	-0.1068359744	-0.0425429363	0.0533353553	-0.0091316553	0.0196352731	-0.0014946135	-0.0554480489	-0.0869704717	-0.0787974382	-0.2124819972	-0.13835761	0.0179022583	-0.020918728	0.0584243893	0.0254228904	-0.0293913465	0.0464577737	0.0149419372	0.0579225083	0.0052411613	-0.0544862733	-0.1540929037	0.0052441429	0.0657776764	0.0207692796	-0.0045674705	-0.0827349054	-0.1598053774	-0.0665971974	0.142487072	0.013677997	0.0763469424	0.066368739	0.130598686	0.0224407316	-0.0164248193	0.0387442387	-0.0453774246	-0.1672237076	0.0442475449	-0.1900508053	0.1032324163	0.1425384846	0.0015564452	0.0458079469	0.0500314803	-0.1114028431	0.0950883391	0.1094706681	0.0780742743	-0.0040054638	0.0646745322	-0.0305644385	0.0224177402	-0.0372625172	0.0951325864	-0.0203558837	-0.0136380268	-0.0578389658	-0.0442334219	0.0662620048	-0.0127951061	0.0646673539	-0.0637442172	-0.0914549442	-0.0498725111	0.0587799063	0.1485806882	0.0449606702	-0.1826921877	-0.2034319272	-0.0254787684	-0.0944688815	-0.010428343	-0.1017548422	0.1814212045	-0.1437355414	0.0298371855	0.0153332979	0.0730634586	-0.0270082958	0.0735664084	0.007369854	0.0404742225	-0.0666806456	-0.123360042	-0.0254913937	0.1347425204	-0.0967609942	-0.0817179456	-0.0085238973	0.0178097747	0.0360480227	0.1737570739	0.0724453895	0.0645473302	0.0516259206	0.0405236351	0.080094729	0.0198364737	-0.0128443302	-0.0627408477	-0.0960598482	0.0563470465	-0.0907027485	0.0739942777	0.2082367598	0.1355590246	0.0113614381	-0.0377052016	0.1367745547	-0.025753232	-0.1053616764	-0.1125170506	-0.0951773566	0.0237594328	0.0411366985	0.0796958067	0.0166442539	0.0451478824	0.0114813841	0.0634325691	-0.0044362589	-0.0100119719	-0.0755039483	-0.0872356055	-0.0599466895	-0.0397044	0.0851576158	0.0978236876	0.0874402668	0.0379500873	-0.0029633192	-0.0515639948	-0.12618399	0.0737259955	0.2210340129	-0.0222652189	-0.0071752554	-0.1689484273	0.0924796138	-0.0534524864	-0.0125595922	-0.0174075739	-0.0900301648	-0.1211751025	0.1054236312	-0.1745652243	0.1186326115	0.0344950251	-0.3520094683	0.1920943312	0.0855646271	-0.0580370517	-0.1404999567	0.107058051	0.027883301	0.1855928718	-0.0422642584	0.1183225485	0.1172578276	0.115490384	0.0475827	-0.0174729999999999	0.00226411333929	0.0003053057289999	-0.152985	-0.1119146	0.01252487769316	0.023404410225	0.0500754	-0.0154768	0.00250754568516	0.00023953133824	-0.000233191	0.00041973	1.761732729e-07	5.4378042481e-08	0.000870412	0.0004868109999999	7.576170497439999e-07	2.3698494972100003e-07	0.000544852	-0.0002870119999999	2.96863701904e-07	8.237588814394262e-08	0.0
543.8114616810528	-0.671664880627759	0.4511337118687017	295730.9058556832	746.2654556165024	-1.988718306581518	556912.130246506	3.95500050293246	515.6153512756415	-0.3508643699038885	265859.1904711032	0.1231058060680526	523.3480628775742	556.4417331876494	1.119802	57.395763	0.09280682	0.0570275	0.0261632692	-0.1025185674	-0.070249278	0.0535319085	-0.0570970734	0.0816376529	0.0449050104	-0.0612984564	-0.1132070606	-0.0599953268	0.0453217966	0.0653518878	-0.1535319075	0.0090873535	-0.1170968216	-0.0325432634	-0.2135106216	0.0784811004	-0.0882074936	-0.0403772409	0.1235973557	0.118546314	0.0958068991	0.0106545514	0.0033803489	-0.1025082187	0.06335795	0.0523487238	0.0329088038	-0.0667111464	-0.0001083734	-0.0461695047	0.0255611396	-0.023959293	-0.2275740945	0.1285805962	0.0031868143	-0.1204042697	-0.0311470969	-0.1651577546	-0.1320107612	-0.0696315567	0.0444979312	-0.049666563	0.0290804153	0.0540645092	0.0679738118	-0.1708945034	0.0337639043	-0.1429968859	-0.1298374685	-0.0025513452	0.0622711386	-0.0220738664	0.0476778187	-0.1746143472	-0.0490323377	-0.1397878459	-0.0471312046	-0.0894815276	0.0103872776	0.0378145642	-0.0048454631	-0.1022650424	0.0898200222	0.1383973393	-0.1489021169	0.0255532273	-0.0277442598	0.0212444767	-0.0720279861	-0.0328207377	-0.0917778812	-0.1451469016	0.1643701408	-0.0033211177	-0.0394556368	-0.1603747954	0.1251649123	0.1805803021	0.0121961093	-0.0076325436	-0.0450871468	-0.0320431533	-0.0501851712	-0.0544948675	0.0151291588	0.0628345932	0.0083646687	-0.0885443048	-0.1226853111	0.0165036863	-0.067652077	0.1259502907	0.0271899732	-0.0252753299	-0.0114757132	0.0913759914	0.0537601561	0.101415292	0.0954359611	-0.0840945733	0.0047173505	0.0258092939	0.0252678322	0.217997544	-0.0417009054	0.0672235877	0.0471629951	0.1239895656	-0.0919792271	-0.1464191914	0.1260035599	0.0848382066	-0.0069911835	-0.1136826009	-1.89719e-05	-0.0585197461	-0.1372757184	-0.1064712641	-0.1000591116	-0.1059035884	0.0667981469	-0.0766063365	0.018963151	-0.0416610024	0.0445120343	-0.0279538694	-0.0658590677	-0.0065829804	-0.3100348811	-0.0925568833	0.0359925656	0.0781088574	0.0005617596	0.0339197584	-0.0183032253	0.0006288878	-0.176632443	0.0382756759	0.03398948	-0.1992046723	0.0181585476	0.0351336895	-0.011681176	0.0677984834	0.0561616686	0.0450099381	-0.0015515064	-0.0175132431	-0.0116079962	0.0232948485	0.1306154204	-0.0513559341	0.1274247835	-0.097395688	-0.0054354587	0.0492469132	0.1133068133	-0.0631197075	-0.0184177126	-0.1187162573	-0.0254030216	0.0071667733	0.0776228122	0.0214384492	0.1788695574	0.0776543552	0.111906035	-0.1301279642	0.0039262827	-0.0866642233	-0.050898091	-0.007519024	-0.0862922264	-0.1940044386	0.0860658523	-0.0514885333	0.0735527461	-0.0005088743	-0.1727832961	0.0895123488	0.0798770096	-0.1165850225	-0.1461207185	-0.0544005393	0.1039037087	0.0041968347	0.1034556849	0.1180905004	0.1163333239	0.1134240387	0.0516236	0.0040409	0.0026649960769599	1.632887281e-05	-0.0997354	0.0532496	0.00283551990016	0.00994715001316	0.0656853	0.0156099	0.00431455863609	0.00024366897801	9.09624e-05	0.0003241534	1.0507542673156e-07	8.27415821376e-09	0.000801075	-6.933699999999994e-05	6.417211556250001e-07	4.8076195689999915e-09	0.00054949	4.63800000000006e-06	3.0193926010000005e-07	2.1511044000000556e-11	0.0
543.8295173674053	0.0180556863524543	0.0003260078096582	295750.54396006494	742.7714970044592	-3.4939586120432296	551709.4967622453	12.207746782671052	515.3511474121153	-0.264203863526177	265586.8051389838	0.0698036815021587	522.9923002939122	546.9092133068849	1.202623	61.640793	0.29309797	0.197876	0.0462489806	0.075439691	0.063536458	-0.0422320419	0.0637009552	0.0369824664	-0.101872845	0.0037133843	0.1454804524	0.0180223763	0.1622505592	-0.000800349	-0.086126878	0.1448765534	0.0276401335	-0.082447193	-0.0725354764	0.0242468236	-0.1362264931	-0.1039242293	0.0856364333	-0.1094440696	-0.0562417569	-0.1827636878	-0.0993035262	-0.0213487872	-0.0687054497	0.0303518578	0.0101887161	0.0996136034	0.0842200667	0.034379571	0.0507674512	-0.0012050435	-0.0966571619	-0.1546485334	0.1128535367	0.0176063287	0.113951839	-0.2296920444	0.0465125303	-0.044393994	-0.118291931	-0.1105506616	0.2136738137	0.0965176725	0.0006518461	-0.0558458829	-0.0283595306	0.0485300573	0.0224117601	-0.0063186226	0.0614482911	0.0975460048	0.0883103451	-0.0859946084	-0.0069410405	-0.0096497419	0.136955161	0.0133534141	-0.0495306938	-0.1089474164	-0.0744957747	-0.1576469065	-0.0481377757	0.0113866322	-0.0586720685	-0.1059034075	0.1255321219	0.0342019365	-0.030988348	-0.0682720356	-0.0267963789	0.0737520523	-0.0949935481	-0.0253329348	0.028246305	-0.033413323	0.0609277431	-0.0256900661	0.0156198222	0.0144608629	0.0698863465	-0.09001596	-0.0895402464	0.0891830824	-0.0271615151	-0.0016286386	-0.0443602592	-0.0762137212	0.049207985	-0.127319157	0.0734527831	0.0536144644	0.0854831989	0.1296519153	0.0203212282	-0.0906189731	0.0355035321	0.0661123015	-0.0417824257	0.1727114106	0.0718099927	-0.1506532379	-0.1609441592	0.0933038816	-0.0765514566	-0.1516989367	-0.1132368695	0.1170047682	-0.1082858469	-0.1355784731	-0.0158643709	-0.0313742507	0.0727565902	-0.0419346267	-0.0248414088	0.0244347206	-0.1102452066	0.1463207279	0.0444383738	-0.079658408	0.0699379184	-0.0150831248	-0.0169547885	-0.012367388	-0.1491822286	-0.0852695241	-0.1091777567	0.0201076871	-0.0140458499	0.0662226282	-0.0930530901	0.007869884	-0.0659347259	0.0085500775	-0.1343488084	-0.0398692827	0.0444210099	-0.0064895279	-0.1016514674	-0.0412042695	0.0676689832	-0.0485817019	-0.0503541556	0.0432512737	0.0028368038	-0.1290350593	-0.0367889861	-0.0653202842	0.0324608166	0.1157876618	-0.0034013792	0.0053804011	-0.0819954654	-0.0093972251	-0.0918606332	0.1288577237	-0.0377594796	-0.1032314681	-0.2115484081	0.0407134363	0.0747087247	-0.0605762875	-0.1021648329	-0.1473113965	0.0474349714	-0.1010766569	-0.0650490149	-0.1973335947	0.0203505897	0.0645854513	0.0246984024	-0.0625951952	-0.0203332622	-0.0635605394	0.1032720115	0.1982307827	0.0426547585	-0.2460510385	0.1771995218	-0.0997386107	-0.1521554016	-0.1132825181	-0.0025263726	-0.0357067925	0.0410283455	-0.1475905636	0.0230912959	0.1178006533	0.1151810923	0.1108582214	0.0545738	0.0029502	0.00297829964644	8.70368004e-06	0.0855101999999999	0.1852455999999999	0.0343159323193599	0.0073119943040399	0.116344	0.0506587	0.013535926336	0.00256630388569	-0.000324553	-0.0004155154	1.7265304763716e-07	1.05334649809e-07	0.0004715	-0.000329575	2.2231225000000002e-07	1.0861968062500004e-07	0.000889269	0.000339779	7.90799354361e-07	1.15449768841e-07	0.0
